–	barrennig verr
🍠	dous, patatez, patatez dous rostet, rostet
🍢	beriad, beriad pesked, pesked
🍣	pesked, sushi
🍤	bignez, bignez chevr, chevr
🍥	krokedenn, krokedenn besked, pesked
🥮	diskaramzer, gouel, gwastell-loar
🍡	beriad, beriad madigoù, madigoù
🥟	gyōza, jiaozi, pierogi, pouloud
🦀	krank, loen
🦞	biskennad, boued-mor, legestr, loen
🦐	boued-mor, chevr, kresteneg, loen
🦑	blotvil, boued, stivell
🦪	istr, perlez
🍦	dibenn-pred, dienn-skorn, dienn-skorn mod Italia, skorn
🍧	dibenn-pred, greunitad, skorn
🍨	dibenn-pred, dienn-skorn, skorn
🍩	dibenn-pred, donut
🍪	cookie, dibenn-pred
🎂	deiz-ha-bloaz, dibenn-pred, gwastell, gwastell deiz-ha-bloaz
🍰	dibenn-pred, gwastell, sablegenn
🧁	dibenn-pred, gwastellig
🥧	dibenn-pred, tartezenn
🍫	barrenn chokolad, dibenn-pred
🍬	dibenn-pred, madig
🍭	dibenn-pred, sunig
🍮	dibenn-pred, dienn war e cʼhenoù, koaven war e cʼhenoù
🍯	mel, pod, podad mel
🍼	babig, bured, evaj, laezh
🥛	evaj, gwerenn, gwerennad laezh, laezh
☕️	evaj, evaj tomm, kafe, te, tomm
🫖	evaj, pod-te, te, tomm
🍵	evaj, tasenn, te, tomm
🍶	evaj, sake
🍾	boutailh, boutailhad champagn, champagn, evaj, stouv
🍷	evaj, gwerenn, gwerennad gwin, gwin
🍸️	evaj, gwerenn, koktel
🍹	evaj, koktel, koktel trovanel, trovanel
🍺	bier, chop, chopad bier, evaj
🍻	bier, chop, chopadoù bier, evaj
🥤	chug-frouezh, gobeled gant plouzenn, soda
🧃	brikennigad, brikennigad evaj, chug-frouezh, evaj
🧉	evaj, mate
🧊	skorn, skornenn, yen
🥢	bizhier
🍽️	asied, fourchetez, kontell, kontell ha fourchetez gant asied
🍴	kontell ha fourchetez, preti
🥄	loa
🔪	arm, kegin, kontell, kontell-gegin
🏺	añforenn, evaj
🌍	Afrika, Europa, bed, boul, boul douar o tiskouez Europa hag Afrika, douar
🌎️	Amerika, bed, boul, boul douar o tiskouez Amerika, douar
🌏	Aostralia, Azia, bed, boul, boul douar o tiskouez Azia hag Aostralia, douar
🌐	bed, boul, boul douar gant hedredennoù, douar, hedredennoù
🗺️	bed, kartenn, kartenn ar bed
🗾	Japan, kartenn, kartenn Japan
🧭	magnetek, merdeiñ, nadoz-vor
🏔️	ercʼh, menez, menez ercʼhek
⛰️	menez
🌋	dislonkadenn, menez-tan
🗻	Fuji, menez, menez Fuji
🏕️	kampiñ
🏖️	disheolier, traezhenn, traezhenn gant disheolier
🏜️	dezerzh
🏝️	didud, enezenn, enezenn didud
🏞️	park, park broadel
🏟️	stad
🏛️	savadur, savadur klasel
🏗️	savadur, savadur war sevel, sevel
🧱	brikenn, brikennoù, morter, pri
🪨	maen, rocʼh
🪵	kef, keuneud, koad
🛖	foukenn, ti, yourt
🏘️	savadurioù, tiez
🏚️	dilezet, ti, ti dilezet
🏠️	savadur, ti
🏡	liorzh, ti, ti ha liorzh
🏢	savadur, savadur burevioù
🏣	japanat, post, ti-post, ti-post japanat
🏤	europat, post, ti-post
🏥	medisinerezh, mezegiezh, ospital, savadur
🏦	bank, savadur
🏨	leti, savadur
🏩	hotel, love, love hotel
🏪	gourstalig, stal
🏫	savadur, skol
🏬	stal, stal vras
🏭️	labouradeg, savadur
🏯	japanat, kastell, kastell japanat
🏰	europat, kastell
💒	chapel, eured, karantez
🗼	Tokyo, tour, tour Tokyo
🗽	Frankiz, delwenn, delwenn ar Frankiz
⛪️	iliz, kristen, kroaz, relijion
🕌	islam, moskeenn, muzulman, relijion
🛕	hindou, templ, templ hindou
🕍	relijion, sinagogenn, templ, yuzev
⛩️	relijion, santual, santual shinto, shinto
🕋	islam, kaaba, muzulman, relijion
⛲️	feunteun
⛺️	kampiñ, teltenn
🌁	brumennek, latar
🌃	noz, stered, stergann
🏙️	gweledva kêr, kêr
🌄	beure, heol, menez, mintin, sav-heol, sav-heol war ar menezioù
🌅	beure, heol, mintin, sav-heol
🌆	gweledva, gweledva kêr da serr-noz, kêr, serr-noz
🌇	heol, kuzh-heol, serr-noz
🌉	noz, pont, pont en noz
♨️	andon, andon tomm, tomm
🎠	kazeg, kazeg-vezevenn, manej
🎡	rod, rod vras, tachenn ar cʼhoarioù
🎢	sav-diskenn, tachenn ar cʼhoarioù
💈	barr-ti, barr-ti barver, barver
🎪	pabell, pabell sirk, sirk
🚂	hent-houarn, stlejerez, tren
🚃	bagon, hent-houarn, tren
🚄	TTB, hent-houarn, shinkansen, tizh, tren, tren tizh bras
🚅	TTB, hent-houarn, shinkansen, tizh, tren, tren tizh bras
🚆	hent-houarn, tren
🚇️	hent-houarn, metro
🚈	hent-houarn, metro skañv
🚉	hent-houarn, porzh-houarn, tren
🚊	tramgarr, trollebus
🚝	karbed, unroudenn
🚞	hent-houarn, tren ar menezioù
🚋	bagon tramgarr, tramgarr, trollebus
🚌	bus, karbed
🚎	bus, tramgarr, trolle, trollebus
🚐	bus, minibus
🚑️	ambulañs, karbed
🚒	pomper, sammgarr pomperien
🚓	karr polis, polis
🚕	karbed, taksi
🚗	karr, karr-tan
