_	Unterstrich
🧑🏽‍🦯	Barrierefreiheit, Person mit Langstock, Person mit Langstock: mittlere Hautfarbe, blind, mittlere Hautfarbe
🧑🏾‍🦯	Barrierefreiheit, Person mit Langstock, Person mit Langstock: mitteldunkle Hautfarbe, blind, mitteldunkle Hautfarbe
🧑🏿‍🦯	Barrierefreiheit, Person mit Langstock, Person mit Langstock: dunkle Hautfarbe, blind, dunkle Hautfarbe
👨‍🦯	Mann mit Gehstock
👨🏻‍🦯	Mann mit Gehstock, helle Hautfarbe
👨🏼‍🦯	Mann mit Gehstock, mittelhelle Hautfarbe
👨🏽‍🦯	Mann mit Gehstock, mittlere Hautfarbe
👨🏾‍🦯	Mann mit Gehstock, mitteldunkle Hautfarbe
👨🏿‍🦯	Mann mit Gehstock, dunkle Hautfarbe
👣	Abdruck, Fuss, Fussabdrücke
🦳	weisses Haar
🦣	Aussterben, Mammut, Stosszahn, gross, wollig
🐻‍❄	Eisbär
🦤	Aussterben, Dodo, Mauritius, gross
💐	Blumen, Blumenstrauss, Bouquet
🌶️	Chili
🫑	Gemüse, Paprika, Peperoni
🍗	Geflügel, Poulet, Pouletschenkel
🍝	Nudeln mit Tomatensaue, Pasta, Spaghetti
🍠	Geröstete Süsskartoffel, Süsskartoffel, geröstet
🍡	Dango, Mochi-Kugeln auf einem Spiess, Restaurant, japanisches Gericht
🧁	Cupcake, Gebäck, Konditorei, Muffin, süss
🍬	Bonbon, Süssigkeit
🍭	Lolli, Lutscher, Süssigkeit
🍮	Dessert, Nachspeise, Nachtisch, Pudding, Sauce, Schokolade
☕️	Getränk, Heissgetränk, Kaffee, Tee, dampfend, heiss, trinken
🫖	Kanne, Tee, Teekanne, Teekrug, trinken
🍻	Bier, Bierkrüge, anstossen
🥂	Champagner, Getränk, Sekt, Sektgläser, anstossen, feiern
🫗	Flüssigkeit ausgiessen, Getränk, Glas, ausgiessen, giessen, leer, trinken
🏺	Amphore, Gefäss, Krug, Vase, Wassermann, kochen
♨️	Dampf, Heisse Quellen, Quellen, dampfend, heiss, heisse Quellen
🚃	Eisenbahnwagen, Fahrzeug, Strassenbahn, Strassenbahnwagen, Tram, Wagen, Wagon, Zug
🚊	Strassenbahn, Tram
🚋	Strassenbahn, Strassenbahnwagen, Tram, Tramwagen
🛣️	Autobahn, Schnellstrasse
⭐️	Stern, weisser mittelgrosser Stern
🌌	Galaxie, Milchstrasse
🌥️	Sonne, Sonne hinter grosser Wolke, Wetter, Wolke, grosse Wolke
🔥	Feuer, Flamme, heiss
💧	Schweiss, Tropfen, Wasser, Wassertropfen
⚽️	Ball, Fussball
🥌	Curlingstein
🥽	Augenschutz, Schutzbrille, Schweissen, Schwimmen
🎒	Ranzen, Rucksack, Schule, Schulranzen, Schulsack, Tornister
🩴	Flipflops, Zehensandale, Zehensandalen
⛑️	Helm, Helm mit weissem Kreuz, Hilfe, Kreuz
🪫	Akku leer, Batterie leer, schwache Batterie
🔍	Lupe nach links, Suche, Vergrösserungsglas
🔎	Lupe nach rechts, Suche, Vergrösserungsglas
📆	Abreisskalender, Kalender
📌	Reisszwecke, anpinnen
📍	Reisszwecke, anpinnen, rund, runde Reisszwecke
🩼	Krücke, Stock, verletzt
🩻	Arzt, Bildgebung, Knochen, Röntgen
🛗	Lift
🪠	Klempner, Pümpel, Sanitär, Saugglocke, WC
🫧	Schaum, Seife, Seifenblasen, sauber
🪪	Ausweis, ID, Sicheriet
🚼️	Baby-Symbol, Symbol „Baby“, Wickelraum
🛅	Gepäck, Gepäckaufbewahrung, Schliessfach
🚸	Kinder, Kinder-queren-die-Strasse-Schild, Vorsicht
🚷	Fussgänger-verboten-Schild, verboten
☢️	radioaktiv
➕	Plus
➖	Minus
❔	Satzzeichen, weiss, weisses Fragezeichen
❕	Satzzeichen, weiss, weisses Ausrufezeichen
⭕️	Kreis, grosser Kreis, hohler roter Kreis, o, rot
✅	Weisses Häkchen, abgehakt, erledigt
➰	Looping, Schleife
🔠	Eingabesymbol lateinische Grossbuchstaben, Grossbuchstaben, lateinische Grossbuchstaben
🅰️	Blut, Blutgruppe, Grossbuchstabe A in Quadrat, a, negativ, positiv
🆎	Blut, Blutgruppe, Grossbuchstaben AB in rotem Quadrat, ab, negativ, positiv
🅱️	Blut, Blutgruppe, Grossbuchstabe B in Quadrat, b, negativ, positiv
🆑	CL, Grossbuchstaben CL in rotem Quadrat
🆔	Grossbuchstaben ID in lila Quadrat, ID
🆖	Grossbuchstaben NG in blauem Quadrat, NG
🅾️	0, Blut, Blutgruppe, Grossbuchstabe O in Quadrat, negativ, positiv
