¬	negatzione
📒	cuadernu, cuadernu a aneddos
📃	documentu, pàgina, pàgina pinnigada, pìnniga
📜	pabiru, paperi, pergamena, ròtulu
📄	documentu, pàgina
📰	cuotidianu, diàriu, giornale, noas, novas
🗞	alloturadu, cuotidianu, diàriu, giornale, giornale alloturadu, noas, novas
📑	etichetas, etichetas sinnalibru, marcadore, marcadores, sinnalibros, sinnalibru
🔖	marcadore, sinnalibru
🏷️	eticheta
💰️	dinare, dinari, dòllaru, sacu, sacu de dinare, sacu de dinari
🪙	ascusòrgiu, dinare, dinari, metallu, moneda, oro, prata, siddadu
💴	banconota, banconota in yen, dinare, dinari, moneda, yen
💵	banconota, banconota in dòllaros, dinare, dinari, dòllaros, dòllaru, moneda
💶	banconota, banconota in èuros, dinare, dinari, moneda, èuro, èuros, èuru
💷	banconota, banconota in isterlinas, dinare, dinari, isterlina, isterlinas, moneda
💸	banconota, dinare, dinare bolende, dinare chi bolat, dinare cun is alas, dinare cun sas alas, dinari, dinari bolende, dinari chi bolat, dinari cun is alas, dinari cun sas alas
💳️	carta, carta de crèditu, crèditu, dinare, dinari
🧾	contabilidade, iscontrinu, retzida, retzida de pagamentu, retzida fiscale
💹	dinare, dinari, gràficu, gràficu artziende, gràficu chi àrtziat, gràficu chi àrtziat cun su sìmbulu de su yen, gràficu in artziada, mercadu in artziada, mercadu in pesada, yen
✉️	busta, email, lìtera, lìtera eletrònica, posta, posta eletrònica
📧	email, lìtera, lìtera eletrònica, posta, posta eletrònica
📨	email, lìtera, lìtera eletrònica, lìtera in intrada, messàgiu in intrada, posta, posta eletrònica, posta in intrada
📩	busta, busta cun fritza, email, fritza, lìtera, lìtera eletrònica, posta, posta eletrònica
📤️	cartella, cartella de essida, email, lìtera, lìtera eletrònica, posta, posta eletrònica, posta imbiada, posta in essida
📥️	cartella, cartella de intrada, email, lìtera, lìtera eletrònica, posta, posta eletrònica, posta in intrada, posta retzida
📦️	iscàtula, pacu
📫️	banderedda, cassita postale, cassita postale serrada cun sa banderedda artziada, posta, serrada, tancada
📪️	banderedda, cassita postale, cassita postale serrada cun sa banderedda abbassada, posta, serrada, tancada
📬️	banderedda, cassita postale, cassita postale aberta cun sa banderedda artziada, posta, serrada, tancada
📭️	aberta, banderedda, cassita postale, cassita postale aberta cun sa banderedda abbassada, posta
📮	cassita de sas lìteras, imbiare posta, posta
🗳️	eletziones, ischeda de votu, ischeda eletorale, urna eletorale cun ischeda, votu
✏️	lapis
✒️	penninu, pinna, pinnina, pinninu, pinninu nieddu, temperedda, temperedda niedda
🖋️	penninu, pinna, pinna istilogràfica, pinnina, pinninu, temperedda
🖊️	pinna, pinna a isfera
🖌️	pintare, pintura, pintzellu
🖍️	pastellu, pastellu a cera
📝	apuntos, apuntu, làpis, nota, punta de billete
💼	documentos, ufìtziu, valigedda
📁	archìvios, cartella, cartella de archìvios, cartella de documentos, documentos
📂	archìvios, cartella, cartella aberta, cartella de archìvios aberta, cartella de documentos aberta, documentos
🗂️	documentos, ischedàriu, ordinare, partzidores, partzidores pro ischedàriu, ìnditze
📅	calendàriu, data
📆	calendàriu, calendàriu de istratzare
🗒️	apuntos, blocu pro apuntos a ispirale, blocu pro notas a ispirale, ispirale, nota, notas
🗓️	calendàriu, calendàriu a ispirale, ispirale
📇	documentos, ischeda, ischedas, ischedàriu, ordinare, rolodex, ìnditze
📈	artziada, balàngiu, crèschida, gràficu, gràficu cara a susu, gràficu in artziada, tendèntzia
📉	achirrada, calada, gràficu, gràficu cara a giosso, gràficu in achirrada, minimada, pèrdida, tendèntzia
📊	barras, colunnas, gràficu, gràficu a barras, gràficu a colunnas
📋️	apuntos, portablocu, punta de billete
📌	puntighedda, puntina, puntina de disinnu
📍	puntighedda, puntina, puntina de disinnu, puntina tunda
📎	brestiedda, fermàlliu, grafeta
🖇️	brestieddas, fermàllios, grafeta, grafetas, grafetas collegadas
📏	aina, geometria, medire, ria, riga, righighedda, traste, trastu
📐	aina, cartabonu, geometria, iscuadra, medire, traste, trastu
✂️	aina, ferros, fòrfighes, fòrtzighes, serritos, traste, trastu
🗃️	archiviare, archìviu, cuntenidore, documentos, ischedàriu, ischedàriu de mesa
🗄️	archiviare, archìviu, armàriu, documentos, ischedàriu, ischedàriu de ufìtziu, mòbile
🗑️	botu de s’arga, botu de s’àliga
🔒️	luchete, luchete serradu, luchetu, morisca, moriscu, serradu, tancadu, tancadura
🔓️	abertu, luchete, luchete abertu, luchetu, morisca, moriscu
🔏	critografia, luchete cun pinna istilogràfica, luchete cun pinninu, luchete serradu cun pinninu, luchete tancadu cun pinninu, luchetu, morisca, moriscu, penninu, pinninu, riservadera, serradu, tancadu, tzifradura
🔐	crae, luchete, luchete serradu cun crae, luchetu, morisca, moriscu, seguru, serradu, serradu a crae, tancadu, tancadu a crae
🔑	crae, crae de intrada, serrare, serrare a crae, tancare, tancare a crae
🗝️	crae, crae antiga, crae betza, serrare, serrare a crae, tancare, tancare a crae
🔨	marteddu, traste, trastu
🪓	buscajolu, buscarinu, istrale, segalinna, segantinu, segare linna, segura
⛏️	iscavare, miniera, piconare, picone, picu, pàstinu, traste, trastu
⚒️	marteddu, marteddu e picu, picone, picu, traste, trastes, trastu
🛠️	crae inglesa, marteddu, marteddu e crae inglesa, traste, trastes, trastu
🗡️	arma, istile, istocu, leputzu, pugnale
⚔️	arma, armas, irrugadas, ispadas, ispadas rugradas, rugradas
🪃	austràlia, boomerang, rebbàtida, rebòtiu
🏹	arcu, arcu e fritza, artzeri, fritza, sagitàriu, zodìacu
🛡️	arma, iscudu
🪚	aina, linna, mastru de linna, serra, serracu, traste, trastu
🔧	crae inglesa, traste, trastu
🪛	catzavite, catziavite, traste, trastu
🔩	bullone, traste, trastu, vite, vite e bullone
⚙️	cumponente, ingranàgiu, mecanismu, roda dentada, traste, trastu
🗜️	fissare, istringone, istrìnghere, sergente, traste, trastu
⚖️	balantza, bilàntzia, giustìtzia, pesare, pratos de sa bilàntzia, zodìacu
🦯	atzessibilidade, bàculu arbu, bàculu biancu, bàculu pro ipovedentes, bàculu pro tzegos, tzegos, tzegu
🔗	cadena, duos aneddos, ligàmene
⛓️	cadena, cadenas
🪝	carabatu, crocu, càncaru, gantzu, grocu, rampinu, satzu, unchinu, ùnchinu
🧰	ainas, cassita, cassita de is trastes, cassita de is trastos, cassita de sos trastes, cassita de sos trastos, mecànicu, trastes, trastos
🧲	atratzione, calamita, magnete, magnetismu, magnètica
🪜	aperrinzada, apiligada, artziare, brocu, iscala, iscalinu
⚗️	aina, chìmica, lambicu, traste, trastu
🧪	chìmica, chìmicu, esperimentos, iscièntzia, laboratòriu, proveta, sièntzia
🧫	batèrios, biòlogu, coltura, discu de Petri, laboratòriu, piastra de Petri
🧬	bida, biòlogu, còdighe genèticu, dna, evolutzione, gene, genes, genètica
🔬	aina, iscièntzia, microscòpiu, sièntzia, traste, trastu
🔭	aina, iscièntzia, sièntzia, telescòpiu, traste, trastu
📡	antenna, antenna parabòlica, antenna satellitare, paràbola, satèllite
💉	agu, dutora, dutore, inietzione, maladia, malàida, malàidu, meighina, mèiga, mèigu, siringa
🩸	donatzione de sàmbene, ferta, flussu de sa madre, gùtiu, gùtiu de sàmbene, meighina, menstru, ministru, regla, sàmbene, tribisu
💊	dutore, maladia, meighina, mèigu, pìllola
🩹	achillo, carta de Brèscia, isparadrapa, liga, tafetanu, tzerotu, tzirone
🩼	agiudu a sa mobilidade, bacheddu, bàculu, disabilidade, ferta, istampella, suportu, tesiddu
🩺	coro, dutora, dutore, isteteoscòpiu, meighina, mèiga, mèigu
🩻	dutora, dutore, ischèletru, meighina, mèiga, mèigu, ossos, radiografia, rajos x
🚪	ghenna
🛗	artziadore, ascensore, atzessibilidade, monta-càrrigos, piga e fala, pigaefala
🪞	ispricu, reflessu
🪟	abertura, bastimentu, bentana, trasparente, ventana, vista, àera frisca
🛏️	albergu, dormire, letu, posada
🛋️	albergu, divanu, divanu cun làmpada, làmpada, otomana, otomana cun làmpada, otomanu, otomanu cun làmpada, posada
🪑	cadira, cadrea, sètzida
🚽	bassa, còmodu, gabinete, latrina, privada, toeleta, tzesso, vasu
🪠	aspiratzione, bagnu, idràulicu, iscàricu, istupa-lavandinos, ventosa
🚿	abba, dòtzia
🛁	bagnera, bagnu
🪤	cassatopis, esca, latzu, ratera, ratonera, sorigàrgiu, trampa, tràpula
🪒	lesorja de barba, lesorja de barbieri, rasoju, resorza, resorza de barba, resorza de barbieri
🧴	ampulla, ampullita de bàlsamu, ampullita de crema, bàlsamu, crema, flacone
🧷	aguzacrica, ispilla de bàlia, ispillabàlia, pannolone, punk rock
🧹	coga, innetare, iscoba, iscobare, limpiare, majàrgia, mundare, sabunare
🧺	banastra, canestra, canistedda, canisteddu, canistru, cofinu, corbe, corbedda, corbulita, discu, discuedda, erone, isportinu, picheddu, pischedda, postura
🧻	carta igiènica, carta suspidora, cartasciuga, pabilu, pabilu de còmudu, paperi, paperi de còmudu, paperi igiènicu, ròtulos de paperi, ròtulu de paperi
🪣	baddidone, cannada, carciga, cartzida, casiddu, coberina, cubedina, istagnale, istangiada, malinzone, malune, maningione, mannirone, puale, sèchia, umpriolu
🧼	bagnu, ispuma, sabone, saboneta, sabunòngiu
🫧	abbajolas, abbajolos, bolloncas, bubbulicas, bullas, in suta de s’abba, lìmpiu, netu, pabeddas, pibisias, rutu, sabone
🪥	bagnu, dentale, dentes, igiene, innetare, ispatzulinu, ispatzulinu de dentes, ispumadoreddu, limpiare, netu, sabunare
🧽	assorbimentu, ispugna, ispòngia, porosa, sabunare
🧯	fogu, frammas, istudadore, istudare, mòrrere
🛒	carreddu, carrellu de is còmporas, carrellu de sas còmporas, carrellu de s’ispesa, carrutzu, còmporas
🚬	pipare, pipòngiu, sigareta, tzica
⚰️	baule, càscia, funerale, interru, morte
🪦	campusantu, losa, tumba, tzimitòriu
⚱️	chisina, funerale, morte, urna, urna funerària
🧿	breve, coco, fortile, iscapolàriu, mumughe, nazar, ogru malu, pastagna, pinnadellu, punga, sebeste
🪬	Fàtima, Maria, Miriam, amparu, breve, coco, fortile, iscapolàriu, manu, manu de Fàtima, mumughe, pastagna, pinnadellu, punga, sebeste
🗿	cara, fatze, istàtua, moai, moai de s’ìsula de Pasca, moyai, ìsula de Pasca
🪧	cartellu, corteu, manifestatzione, pichetu, protesta, signale, sinnale
🪪	carta de identidade, credentziales, documentu de identidade, pantente, seguresa, tèssera
#⃣	tecla, tecla: #
*⃣	tecla, tecla: *
0⃣	tecla, tecla: 0
1⃣	tecla, tecla: 1
2⃣	tecla, tecla: 2
3⃣	tecla, tecla: 3
4⃣	tecla, tecla: 4
5⃣	tecla, tecla: 5
6⃣	tecla, tecla: 6
7⃣	tecla, tecla: 7
8⃣	tecla, tecla: 8
9⃣	tecla, tecla: 9
🔟	tecla, tecla: 10
🏁	bandera, bandera a iscacos, cursa, pòdiu
🚩	bandera, bandera ruja, bandera triangulare, banderedda, banderedda ruja, banderedda ruja triangulare
🎌	Giapone, banderas, banderas de su Giapone, banderas de su Giapone irrugadas, banderas de su Giapone rugradas, banderas giaponesas, banderas giaponesas irrugadas, banderas giaponesas rugradas, banderas irrugadas, banderas rugradas, festa
🏴	bandera a su bentu, bandera isbentulada, bandera niedda
🏳️	bandera a su bentu, bandera arba, bandera bianca, bandera isbentulada, resa
🏳‍🌈	arcu de chelu, bandera de s’arcu de chelu, chirchiola
🏳‍⚧	bandera asulu, biancu e rosa, bandera de sos transgèneres, transgènere, transgèneres
🏴‍☠	Jolly Roger, ascusòrgiu, bandera de sos piratas, botinu, corsaros, corsaru, pirata, piratas, siddadu
🇦🇨	bandera, bandera: Ìsula de s’Ascensione
🇦🇩	bandera, bandera: Andorra
🇦🇪	bandera, bandera: Emirados Àrabos Unidos
🇦🇫	bandera, bandera: Afghànistan
🇦🇬	bandera, bandera: Antigua e Barbuda
🇦🇮	bandera, bandera: Anguilla
🇦🇱	bandera, bandera: Albania
🇦🇲	bandera, bandera: Armènia
🇦🇴	bandera, bandera: Angola
🇦🇶	bandera, bandera: Antàrticu
🇦🇷	bandera, bandera: Argentina
🇦🇸	bandera, bandera: Samoa americanas
🇦🇹	bandera, bandera: Àustria
🇦🇺	bandera, bandera: Austràlia
🇦🇼	bandera, bandera: Aruba
🇦🇽	bandera, bandera: Ìsulas Åland
🇦🇿	bandera, bandera: Azerbaigiàn
🇧🇦	bandera, bandera: Bòsnia e Erzegòvina
🇧🇧	bandera, bandera: Barbados
🇧🇩	bandera, bandera: Bangladèsh
🇧🇪	bandera, bandera: Bèlgiu
🇧🇫	bandera, bandera: Burkina Faso
🇧🇬	bandera, bandera: Bulgaria
🇧🇭	bandera, bandera: Bahrein
🇧🇮	bandera, bandera: Burundi
🇧🇯	bandera, bandera: Benin
🇧🇱	bandera, bandera: Santu Bartolomeu
🇧🇲	bandera, bandera: Bermudas
🇧🇳	bandera, bandera: Brunei
🇧🇴	bandera, bandera: Bolìvia
🇧🇶	bandera, bandera: Caràibes olandesas
🇧🇷	bandera, bandera: Brasile
🇧🇸	bandera, bandera: Bahamas
🇧🇹	bandera, bandera: Bhutàn
🇧🇻	bandera, bandera: Ìsula Bouvet
🇧🇼	bandera, bandera: Botswana
🇧🇾	bandera, bandera: Bielorùssia
🇧🇿	bandera, bandera: Belize
🇨🇦	bandera, bandera: Cànada
🇨🇨	bandera, bandera: Ìsulas Cocos (Keeling)
🇨🇩	bandera, bandera: Congo - Kinshasa
🇨🇫	bandera, bandera: Repùblica Tzentrafricana
🇨🇬	bandera, bandera: Congo - Bratzaville
🇨🇭	bandera, bandera: Isvìtzera
🇨🇮	bandera, bandera: Costa de Avòriu
🇨🇰	bandera, bandera: Ìsulas Cook
🇨🇱	bandera, bandera: Tzile
🇨🇲	bandera, bandera: Camerùn
🇨🇳	bandera, bandera: Tzina
🇨🇴	bandera, bandera: Colòmbia
🇨🇵	bandera, bandera: Ìsula de Clipperton
🇨🇷	bandera, bandera: Costa Rica
🇨🇺	bandera, bandera: Cuba
🇨🇻	bandera, bandera: Cabu birde
🇨🇼	bandera, bandera: Curaçao
🇨🇽	bandera, bandera: Ìsula de sa Natividade
🇨🇾	bandera, bandera: Tzipru
🇨🇿	bandera, bandera: Tzèchia
🇩🇪	bandera, bandera: Germània
🇩🇬	bandera, bandera: Diego Garcia
🇩🇯	bandera, bandera: Gibuti
🇩🇰	bandera, bandera: Danimarca
🇩🇲	bandera, bandera: Dominica
🇩🇴	bandera, bandera: Repùblica Dominicana
🇩🇿	bandera, bandera: Algeria
🇪🇦	bandera, bandera: Ceuta e Melilla
🇪🇨	bandera, bandera: Ècuador
🇪🇪	bandera, bandera: Estònia
🇪🇬	bandera, bandera: Egitu
🇪🇭	bandera, bandera: Sahara otzidentale
🇪🇷	bandera, bandera: Eritrea
🇪🇸	bandera, bandera: Ispagna
🇪🇹	bandera, bandera: Etiòpia
🇪🇺	bandera, bandera: Unione Europea
🇫🇮	bandera, bandera: Finlàndia
🇫🇯	bandera, bandera: Fiji
🇫🇰	bandera, bandera: Ìsulas Falkland
🇫🇲	bandera, bandera: Micronèsia
🇫🇴	bandera, bandera: Ìsulas Føroyar
🇫🇷	bandera, bandera: Frantza
🇬🇦	bandera, bandera: Gabòn
🇬🇧	bandera, bandera: Regnu Unidu
🇬🇩	bandera, bandera: Grenada
🇬🇪	bandera, bandera: Geòrgia
🇬🇫	bandera, bandera: Guiana frantzesa
🇬🇬	bandera, bandera: Guernsey
🇬🇭	bandera, bandera: Ghana
🇬🇮	bandera, bandera: Gibilterra
🇬🇱	bandera, bandera: Groenlàndia
🇬🇲	bandera, bandera: Gàmbia
🇬🇳	bandera, bandera: Guinea
🇬🇵	bandera, bandera: Guadalupa
🇬🇶	bandera, bandera: Guinea Ecuadoriale
🇬🇷	bandera, bandera: Grètzia
🇬🇸	bandera, bandera: Geòrgia de su Sud e Ìsulas Sandwich Australes
🇬🇹	bandera, bandera: Guatemala
🇬🇺	bandera, bandera: Guàm
🇬🇼	bandera, bandera: Guinea-Bissau
🇬🇾	bandera, bandera: Guyana
🇭🇰	bandera, bandera: RAS tzinesa de Hong Kong
🇭🇲	bandera, bandera: Ìsulas Heard e McDonald
🇭🇳	bandera, bandera: Honduras
🇭🇷	bandera, bandera: Croàtzia
🇭🇹	bandera, bandera: Haiti
🇭🇺	bandera, bandera: Ungheria
🇮🇨	bandera, bandera: Ìsulas Canàrias
🇮🇩	bandera, bandera: Indonèsia
🇮🇪	bandera, bandera: Irlanda
🇮🇱	bandera, bandera: Israele
🇮🇲	bandera, bandera: Ìsula de Man
🇮🇳	bandera, bandera: Ìndia
🇮🇴	bandera, bandera: Territòriu Britànnicu de s’Otzèanu Indianu
🇮🇶	bandera, bandera: Iraq
🇮🇷	bandera, bandera: Iràn
🇮🇸	bandera, bandera: Islanda
🇮🇹	bandera, bandera: Itàlia
🇯🇪	bandera, bandera: Jersey
🇯🇲	bandera, bandera: Giamàica
🇯🇴	bandera, bandera: Giordània
🇯🇵	bandera, bandera: Giapone
🇰🇪	bandera, bandera: Kènya
🇰🇬	bandera, bandera: Kirghìzistan
🇰🇭	bandera, bandera: Cambòdia
🇰🇮	bandera, bandera: Kiribati
🇰🇲	bandera, bandera: Comoras
🇰🇳	bandera, bandera: Santu Cristolu e Nevis
🇰🇵	bandera, bandera: Corea de su Nord
🇰🇷	bandera, bandera: Corea de su Sud
🇰🇼	bandera, bandera: Kuwait
🇰🇾	bandera, bandera: Ìsulas Cayman
🇰🇿	bandera, bandera: Kazàkistan
🇱🇦	bandera, bandera: Laos
🇱🇧	bandera, bandera: Lèbanu
🇱🇨	bandera, bandera: Santa Lughia
🇱🇮	bandera, bandera: Liechtenstein
🇱🇰	bandera, bandera: Sri Lanka
🇱🇷	bandera, bandera: Libèria
🇱🇸	bandera, bandera: Lesotho
🇱🇹	bandera, bandera: Lituània
🇱🇺	bandera, bandera: Lussemburgu
🇱🇻	bandera, bandera: Letònia
🇱🇾	bandera, bandera: Lìbia
🇲🇦	bandera, bandera: Marocu
🇲🇨	bandera, bandera: Mònacu
🇲🇩	bandera, bandera: Moldàvia
🇲🇪	bandera, bandera: Montenegro
🇲🇫	bandera, bandera: Santu Martine
🇲🇬	bandera, bandera: Madagascàr
🇲🇭	bandera, bandera: Ìsulas Marshall
🇲🇰	bandera, bandera: Matzedònia de su Nord
🇲🇱	bandera, bandera: Mali
🇲🇲	bandera, bandera: Myanmàr (Birmània)
🇲🇳	bandera, bandera: Mongòlia
🇲🇴	bandera, bandera: RAS tzinesa de Macao
🇲🇵	bandera, bandera: Ìsulas Mariannas setentrionales
🇲🇶	bandera, bandera: Martinica
🇲🇷	bandera, bandera: Mauritània
🇲🇸	bandera, bandera: Montserrat
🇲🇹	bandera, bandera: Malta
🇲🇺	bandera, bandera: Maurìtzius
🇲🇻	bandera, bandera: Maldivas
🇲🇼	bandera, bandera: Malawi
🇲🇽	bandera, bandera: Mèssicu
🇲🇾	bandera, bandera: Malèsia
🇲🇿	bandera, bandera: Mozambicu
🇳🇦	bandera, bandera: Namìbia
🇳🇨	bandera, bandera: Caledònia Noa
🇳🇪	bandera, bandera: Niger
🇳🇫	bandera, bandera: Ìsula Norfolk
🇳🇬	bandera, bandera: Nigèria
🇳🇮	bandera, bandera: Nicaràgua
🇳🇱	bandera, bandera: Paisos Bassos
🇳🇴	bandera, bandera: Norvègia
🇳🇵	bandera, bandera: Nèpal
🇳🇷	bandera, bandera: Nauru
🇳🇺	bandera, bandera: Niue
🇳🇿	bandera, bandera: Zelanda Noa
🇴🇲	bandera, bandera: Omàn
🇵🇦	bandera, bandera: Pànama
🇵🇪	bandera, bandera: Perù
🇵🇫	bandera, bandera: Polinèsia frantzesa
🇵🇬	bandera, bandera: Pàpua Guinea Noa
🇵🇭	bandera, bandera: Filipinas
🇵🇰	bandera, bandera: Pàkistan
🇵🇱	bandera, bandera: Polònia
🇵🇲	bandera, bandera: Santu Predu e Miquelon
🇵🇳	bandera, bandera: Ìsulas Pìtcairn
🇵🇷	bandera, bandera: Puerto Rico
🇵🇸	bandera, bandera: Territòrios palestinesos
🇵🇹	bandera, bandera: Portogallu
🇵🇼	bandera, bandera: Palau
🇵🇾	bandera, bandera: Paraguày
🇶🇦	bandera, bandera: Catar
🇷🇪	bandera, bandera: Riunione
🇷🇴	bandera, bandera: Romania
🇷🇸	bandera, bandera: Sèrbia
🇷🇺	bandera, bandera: Rùssia
🇷🇼	bandera, bandera: Ruanda
🇸🇦	bandera, bandera: Aràbia Saudita
🇸🇧	bandera, bandera: Ìsulas Salomone
🇸🇨	bandera, bandera: Seychelles
🇸🇩	bandera, bandera: Sudàn
🇸🇪	bandera, bandera: Isvètzia
🇸🇬	bandera, bandera: Singapore
🇸🇭	bandera, bandera: Santa Elene
🇸🇮	bandera, bandera: Islovènia
🇸🇯	bandera, bandera: Svalbard e Jan Mayen
🇸🇰	bandera, bandera: Islovàchia
🇸🇱	bandera, bandera: Sierra Leone
🇸🇲	bandera, bandera: Santu Marinu
🇸🇳	bandera, bandera: Senegal
🇸🇴	bandera, bandera: Somàlia
🇸🇷	bandera, bandera: Suriname
🇸🇸	bandera, bandera: Sudan de su Sud
🇸🇹	bandera, bandera: São Tomé e Príncipe
🇸🇻	bandera, bandera: El Salvador
🇸🇽	bandera, bandera: Sint Maarten
🇸🇾	bandera, bandera: Sìria
🇸🇿	bandera, bandera: Eswatini
🇹🇦	bandera, bandera: Tristan da Cunha
🇹🇨	bandera, bandera: Ìsulas Turks e Caicos
🇹🇩	bandera, bandera: Chad
🇹🇫	bandera, bandera: Terras australes frantzesas
🇹🇬	bandera, bandera: Togo
🇹🇭	bandera, bandera: Tailàndia
🇹🇯	bandera, bandera: Tagìkistan
🇹🇰	bandera, bandera: Tokelau
🇹🇱	bandera, bandera: Timor-Est
🇹🇲	bandera, bandera: Turkmènistan
🇹🇳	bandera, bandera: Tunisia
🇹🇴	bandera, bandera: Tonga
🇹🇷	bandera, bandera: Turchia
🇹🇹	bandera, bandera: Trinidad e Tobago
🇹🇻	bandera, bandera: Tuvalu
🇹🇼	bandera, bandera: Taiwàn
🇹🇿	bandera, bandera: Tanzània
🇺🇦	bandera, bandera: Ucraina
🇺🇬	bandera, bandera: Uganda
🇺🇲	bandera, bandera: Ìsulas perifèricas de sos Istados Unidos
🇺🇳	bandera, bandera: Natziones Unidas
🇺🇸	bandera, bandera: Istados Unidos
🇺🇾	bandera, bandera: Uruguày
🇺🇿	bandera, bandera: Uzbèkistan
🇻🇦	bandera, bandera: Tzitade de su Vaticanu
🇻🇨	bandera, bandera: Santu Vissente e sas Grenadinas
🇻🇪	bandera, bandera: Venetzuela
🇻🇬	bandera, bandera: Ìsulas Vèrgines Britànnicas
🇻🇮	bandera, bandera: Ìsulas Vèrgines de sos Istados Unidos
🇻🇳	bandera, bandera: Vietnam
🇻🇺	bandera, bandera: Vanuatu
🇼🇫	bandera, bandera: Wallis e Futuna
🇼🇸	bandera, bandera: Samoa
🇽🇰	bandera, bandera: Kòssovo
🇾🇪	bandera, bandera: Yemen
🇾🇹	bandera, bandera: Mayotte
🇿🇦	bandera, bandera: Sudàfrica
🇿🇲	bandera, bandera: Zàmbia
🇿🇼	bandera, bandera: Zimbabwe
¤	valuta disconnota
֏	dram armenu
؋	afgani afganu
৳	taka bangladesu
฿	baht tailandesu
៛	riel cambogianu
₡	colón costaricanu
₦	naira nigeriana
₧	peseta ispagnola
₪	siclu nou israelianu
₫	dong vietnamesu
₭	kip laotianu
₮	tugrik mòngolu
₲	guaraní paraguayanu
₴	hryvnia ucraina
₵	cedi ganesu
₸	tenge kazaku
₺	lira turca
₼	manat azeru
₾	lari georgianu
🏻	colore de sa pedde, pedde crara, pedde de colore craru, tonalidade
🏼	colore de sa pedde, pedde bastante crara, pedde crara bastante, pedde de colore bastante craru, tonalidade
🏽	colore de sa pedde, pedde de colore mesanu, pedde de colore mèdiu, pedde in colore de olia, tonalidade
🏾	colore de sa pedde, pedde bastante iscura, pedde iscura bastante, tonalidade
🏿	colore de sa pedde, pedde de colore iscuru, pedde iscura, tonalidade
