🏻	odos atspalvis, šviesios odos
🏋‍♀	kelianti svorį, moteris, svorius kelianti moteris
🚴	dviratininkas, dviratis
🚴‍♂	dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas
🚴‍♀	dviratininkė, dviratis, moteris, važinėjimas dviračiu
🚵	dviratininkas, dviratis, kalnas, kalnų dviratininkas
🚵‍♂	dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, važinėjimas dviračiu, vyras
🚵‍♀	dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, moteris, važinėjimas dviračiu
🤸	gimnastika, persivertimas, persivertimas šonu
🤸‍♂	gimnastika, suktukas, vyras, vyras daro suktuką
🤸‍♀	gimnastika, moteris, moteris daro suktuką, suktukas
🤼	imtynininkai, imtynininkas, imtynės
🤼‍♂	imtynės, vyrai, vyrų imtynės
🤼‍♀	imtynės, moteris, moterų imtynės
🤽	vandensvydis, vanduo
🤽‍♂	vandensvydis, vandensvydžio žaidėjas, vyras
🤽‍♀	moteris, vandensvydis, vandensvydžio žaidėja
🤾	kamuolys, rankinis
🤾‍♂	rankininkas, rankinis, vyras
🤾‍♀	moteris, rankininkė, rankinis
🤹	pusiausvyra, reakcija, įgūdis, žongliravimas, žongliruoti
🤹‍♂	sudėtinga, vyras, žongliravimas, žongliruotojas
🤹‍♀	moteris, sudėtinga, žongliravimas, žongliruotoja
👫	laikyti, moteris, pora, ranka, vyras, vyras ir moteris, susikibę už rankų
👬	du vyrai, susikibę už rankų, dvyniai, laikyti, pora, ranka, vyras, zodiakas
👭	dvi moterys, susikibusios už rankų, laikyti, moteris, pora, ranka
💏	bučinys, pora
💑	meilė, pora, pora su širdele
🤳	asmenukė, fotoaparatas, telefonas
💪	bicepsai, komiksas, kūnas, paryškinti bicepsai, raumuo
🦵	galūnė, koja, spyris
🦶	pėda, spyris, trepsėti
🖕	pirštas, ranka, vidurinis pirštas
🤞	kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai
🖖	kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas
🤘	pirštas, ragai, ragų ženklas, ranka, rokas
🤙	gestas paskambink man, ranka, skambinti
✋	iškelta ranka, ranka
👌	GERAI ženklas rankomis, gerai, ranka
✊	iškeltas kumštis, kumštis, ranka, smūgis, sugniaužta
👊	artėjantis kumštis, kumštis, ranka, smūgis, sugniaužtas
🤛	kairėn, kumštis, į kairę nukreiptas kumštis
🤜	dešinėn, kumštis, į dešinę nukreiptas kumštis
🤚	pakelta, pakelta viršutinė plaštakos pusė, plaštaka
👋	mojuoja, mojuojanti ranka, mojuoti, ranka
🤟	MYLIU, ranka, „myliu tave“ gestas
👏	plojančios rankos, ploti, rankos
👐	atviros, atviros rankos, rankos
🙌	gestas, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas
🤲	delnai suglausti, malda
🙏	melstis, prašymas, ranka, suglausti delnai
🤝	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, susitarimas
💅	kosmetika, lakas, manikiūras, nagų lakas, priežiūra
👃	kūnas, nosis
👣	drabužiai, kūnas, pėdsakai, pėdsakas
👀	akis, akys, veidas
👁‍🗨	akis, akis kalbėjimo burbule, kalbėjimo burbulas, liudjimas
🧠	protingas, smegenys
🦴	kaulas, skeletas
🦷	dantis, dantistas
👅	kūnas, liežuvis
👄	burna, lūpos
🦰	raudoni plaukai, raudonplaukis, rausvas
🦱	afro, garbanos, garbanotas, garbanoti plaukai
🦳	baltas, pilkas, plaukai, senas, žili plaukai
🦲	beplaukis, chemoterapija, plikas, skustas
💋	bučinio žymė, bučinys, lūpos
💘	bučinys, lūpos, širdelė su strėle
💝	kaspinas, valentino diena, širdelė su kaspinu
💖	susijaudinimas, žėrinti širdelė, žėrėti
💗	auganti širdelė, didėjimas, pulsas, susijaudinimas, susinervinęs
💓	plakanti, plakanti širdelė, pulsavimas, širdies plakimas, širdis
💞	besisukančios širdelės, suktis
💕	dvi širdelės, meilė
💌	laiškas, meilė, meilės laiškas, paštas, širdis
💔	sudaužyta, sudaužyta širdelė, sudaužyti
🧡	oranžinė, oranžinė širdelė
💛	geltona, geltona širdelė
💚	žalia, žalia širdelė
💙	mėlyna, mėlyna širdelė
💜	purpurinė, purpurinė širdelė
🖤	blogis, juoda, juoda širdis, širdis
💟	širdelės dekoracija, širdis
💤	komiksas, miegas, miego simbolis
💢	komiksas, piktas, pykčio simbolis, supykęs
💥	bum, komiksas, susidūrimas
💦	komiksas, prakaitas, prakaito lašeliai, taškymas
💨	bėgimas, dulkės, komiksas, sukeltos dulkės
💫	apsvaigęs, komiksas, žvaigždė
💬	balionas, debesėlis, dialogas, kalba, kalbos debesėlis, komiksas
💭	balionas, debesėlis, komiksas, minties debesėlis, mintis
🥽	akių apsauga, apsauginiai akiniai, plaukimas, suvirinimas
🥼	bandymas, gydytojas, laboratorinis chalatas, mokslininkas
👔	drabužiai, kaklaraištis
👕	drabužiai, marškiniai, marškinėliai
👖	drabužiai, džinsai, kelnės, trumpikės
🧣	kaklas, skara
🧤	pirštinės, ranka
🧥	paltas, švarkas
🧦	blauzdinė, kojinės
👗	drabužiai, suknelė
👘	drabužiai, kimono
👙	bikinis, drabužiai, plaukti
👚	drabužiai, moteris, moteriški drabužiai
👛	drabužiai, monetos, piniginė
👜	drabužiai, krepšys, rankinė
👝	drabužiai, krepšys, maišelis
🎒	krepšys, kuprinė, mokykla, mokyklinė kuprinė
👞	batas, drabužiai, vyras, vyriškas batas
👟	atletiškas, batas, bėgimo batelis, drabužiai, sportinis batelis
🥾	batas, kuprinė, stovyklavietė, žygiai, žygio batai
🥿	avalynė be raištelių, baleto batelis, lygiapadis batelis, šlepetė
👠	aukštakulnis batelis, batas, drabužiai, kulnas, moteris
👡	batas, drabužiai, moteris, moteriška basutė, sandalas
👢	batas, batelis, drabužiai, moteris, moteriškas batas
👑	drabužiai, karalienė, karalius, karūna
👒	drabužiai, moteris, moteriška skrybėlė, skrybėlė
🎩	aukšta, cilindras, drabužiai, skrybėlė
🧢	beisbolo kepuraitė, reklaminė kepurė
📿	drabužiai, karoliai, melstis, religija, rožinis, vėrinys
💄	kosmetika, lūpų dažai, makiažas
💍	deimantas, žiedas
💎	brangakmenis, deimantas, juvelyrika, romantika
🐵	beždžionė, beždžionės snukutis, veidas
🐒	beždžionė
🦍	gorila, gyvūnas
🐶	naminis gyvūnas, veidas, šuns snukutis, šuo
🐩	pudelis, šuo
🐺	veidas, vilkas, vilko snukis
🦊	lapė, lapės snukis, snukis
🦝	gudrus, meškėnas, smalsus
🐱	katė, katės snukutis, naminis gyvūnas, veidas
🦁	liūtas, liūto snukis, veidas, zodiakas
🐯	tigras, tigro snukis, veidas
🐅	tigras
🐆	leopardas
🐴	arklio snukis, arklys, veidas
🐎	arklių varžybos, arklys, varžytis
🦄	veidas, vienaragio snukis, vienaragis
🦓	dryžis, zebras
🦌	elnias
🐮	karvė, karvės snukis, veidas
🐂	bulius, jautis, tauras, zodiakas
🐃	azijinis, azijinis buivolas, buivolas
🐄	karvė
🐷	kiaulė, kiaulės snukis, veidas
🐖	kiaulė
🐗	kiaulė, šernas
🐽	kiaulė, kiaulės nosis, nosis, veidas
🐏	avinas, avinas (gyvūnas), avis, zodiakas
🐑	avis
🐐	ožiaragis, ožys, zodiakas
🐪	kupra, kupranugaris, vienakupris kupranugaris
🐫	dvikupris kupranugaris, kupra, kupranugaris
🦙	alpaka, guanakas, lama, lamos vilna, vilna
🦒	dėmė, žirafa
🐘	dramblys
🦏	raganosis
🦛	begemotas
🐭	pelė, pelės snukutis, veidas
🐁	pelė
🐀	žiurkė
🐹	naminis gyvūnas, veidas, žiurkėnas, žiurkėno snukutis
🐰	naminis gyvūnas, triušio snukutis, triušis, veidas, zuikis
🐇	naminis gyvūnas, triušis, triušiukas
🦔	ežys, spygliuotas
🦇	vampyras, šikšnosparnis
🐻	meška, meškos snukis, veidas
🐨	koala, meška
🐼	panda, pandos snukis, veidas
🦘	Australija, jauniklis, kengūra, sterblinis gyvūnas, šokinėti
🦡	barsukas, įkyruolis
🐾	letenos, pėdos, pėdsakai, pėdutės
🦃	kalakutas, paukštis
🐔	paukštis, višta
🐓	gaidys, paukštis
🐣	išsiridenti, išsiritęs viščiukas, mažas, paukštis, viščiukas
🐤	mažas, viščiukas
🐥	atsisukęs snapu viščiukas, mažas, paukštis, viščiukas
🐧	paukštis, pingvinas
🦅	erelis, paukštis
🦆	antis, paukštis
🦢	bjaurusis ančiukas, gulbė, paukštis
🦉	išmintis, paukštis, pelėda
🦚	išdidus, mėgstantis pasirodyti, paukštis, povas, povė
🦜	kalbantis, papūga, paukštis, piratas
🐸	varlė, varlės snukutis, veidas
🐊	krokodilas
🐢	vėžlys
🦎	driežas, roplys
🐍	gyvatnešis, gyvatė, zodiakas, žaltys
🐲	drakonas, drakono snukis, pasaka, veidas
🐉	drakonas, pasaka
🦕	brachiozauras, brontozauas, diplodokas, sauropodas
🦖	Reksas, tiranozauras Reksas
🐳	banginis, purkšti, purškiantis banginis, veidas
🐋	banginis
🐬	delfinas, fliperis
🐠	tropinė, tropinė žuvis, žuvis
🐡	fugu, žuvis
🦈	ryklys, žuvis
🐙	aštuonkojis
🐚	kriauklė, spiralė, susisukusi kriauklė
🦀	krabas, vėžys, zodiakas
🦞	jūrų gėrybė, omaras, žnyplės
🦐	kiaukutinis, krevetė, maistas, mažas
🦑	kalmaras, maistas, moliuskas
🐌	sraigė
🦋	drugelis, gražus, vabzdys
