‾	kan layi
😩	fuska, gajiya, gajiyayye, gajiyayyiyar fuska
😫	fuska, fuska mai gajiya, gajiya
🥱	fuska mai hamma, gaji, gundura, hamma
😤	an yi nasara, fuska, fuska tare da tururi daga hanci, nasara
😡	fushi, fuska, fuska mai nuna ɓacin zuciya, hasala, haushi, ja, ɓacin zuciya
😠	fushi, fuska, fuska mai fushi, haushi
🤬	fuska tare da alamomi bisa baki, yin ashar
😈	fuska, fuska mai murmushi tare da ƙahoni, labarin aljana, murmushi, tatsuniya, ƙahoni
👿	aljanu, fuska, fuska mai fushi tare da ƙahoni, iblis, labarin aljana, shaiɗan, tatsuniya
💀	dodo, fuska, labarin aljana, mutuwa, ƙoƙon kai
☠️	dodo, fuska, haɗaɗɗun ƙashushuwa, mutuwa, ƙoƙon kai, ƙoƙon kai da haɗaɗɗun ƙashushuwa
💩	dodo, fuska, kashi, mai ban dariya, taki, taroso, tsibin kashi
🤡	cali-cali, fuska, fuskar cali-cali
👹	dodo, fuska, halitta, labarin aljana, tatsuniya
👺	dodanni, dodo, fuska, halitta, labarin aljana, tatsuniya
👻	dodo, fatalwa, fuska, halitta, labarin aljana, tatsuniya
👽️	baƙon sararin sama, dodo, fuska, halitta, halitta a waje da duniya, tatsuniya, ufo
👾	baƙon sararin sama, dodon baƙon sararin sama, fuska, halitta, halitta a waje da duniya, tatsuniya, ufo
🤖	dodo, fuska, fuskar Robot, robot
😺	a buɗe, baki, fuska, fuskar kyanwa mai murmushi tare da baki a buɗe, kyanwa, kyanwa mai murmushi baki a buɗe, murmushi
😸	fuska, fuskar kyanwa mai murmushi baki har kunne tare da idanu masu murmushi, ido, kyanwa, kyanwa baki buɗe idanu masu murmushi, murmushi, murmushi baki har kunne
😹	fuska, fuskar kyanwa tare da hawayen murna, hawaye, kyanwa, murna
😻	fuska, fuskar kyanwa mai murmushi tare da idanun-zuciya, ido, kyanwa, kyanwa mai murmushi da idanun-zuciya, murmushi, ƙauna
😼	fuska, fuskar kyanwa tare da murmushin ɓacin rai, hutsu, kyanwa, murmushi, ɓacin rai
😽	fuska, fuskar kyanwa mai sumbata tare da rufaffun idanu, ido, kyanwa, kyanwa mai sumba da rufaffun idanu, sumba
🙀	fuska, fuskar kyanwa mai gajiya, gajiya, jin mamaki, kyanwa, oho
😿	baƙin ciki, fuska, fuskar kyanwa mai kuka, hawaye, kuka, kyanwa
😾	fuska, fuskar kyanwa mai nuna ɓacin zuciya, kyanwa, nuna ɓacin zuciya
🙈	an hana, biri, biri na kada a ga sharri, biri na kada a gan mamuganci, fuska, gani, sharri
🙉	an hana, biri, biri na kada a ji sharri, fuska, ji, sharri
🙊	an hana, biri, biri na kada a faɗi sharri, faɗa, fuska, iri na kada a faɗi sharri, sharri
💌	mel, soyayya, wasiƙa, wasiƙar soyayya, zuciya
💘	cupid, kibiya, zuciya tare da kibiya
💝	ribon, valentine, zuciya tare da ribon
💖	mai ƙyalƙyali, tsima, zuciya mai ƙyalƙyali
💗	bugun jini, juyayi, mai bunƙasawa, tsima, zuciya mai bunƙasawa
💓	bugawa, bugawar zuciya, zuciya mai bugawa
💞	mai juyawa, zuciyoyi masu juyawa
💕	soyayye, zuciyoyi biyu
💟	adon zuciya, zuciya
❣️	alama, alamar motsin rai, alamar motsin rai na nauyin zuciya, alamomin rubutu
