👨🏿‍🔧	húðtegund 6, karl, karl með skiptilykil, karl með skiptilykil: húðtegund 6, verkfæri, viðgerð, viðhald
👩🏻‍🔧	húðtegund 1–2, kona, kona með skiptilykil, kona með skiptilykil: húðtegund 1–2, verkfæri, viðgerð, viðhald
👩🏼‍🔧	húðtegund 3, kona, kona með skiptilykil, kona með skiptilykil: húðtegund 3, verkfæri, viðgerð, viðhald
👩🏽‍🔧	húðtegund 4, kona, kona með skiptilykil, kona með skiptilykil: húðtegund 4, verkfæri, viðgerð, viðhald
👩🏾‍🔧	húðtegund 5, kona, kona með skiptilykil, kona með skiptilykil: húðtegund 5, verkfæri, viðgerð, viðhald
👩🏿‍🔧	húðtegund 6, kona, kona með skiptilykil, kona með skiptilykil: húðtegund 6, verkfæri, viðgerð, viðhald
👨🏻‍🏭	húðtegund 1–2, iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: húðtegund 1–2, verkfæri, verksmiðja
👨🏼‍🏭	húðtegund 3, iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: húðtegund 3, verkfæri, verksmiðja
👨🏽‍🏭	húðtegund 4, iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: húðtegund 4, verkfæri, verksmiðja
👨🏾‍🏭	húðtegund 5, iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: húðtegund 5, verkfæri, verksmiðja
👨🏿‍🏭	húðtegund 6, iðnaður, karl, karlkyns verksmiðjustarfsmaður, karlkyns verksmiðjustarfsmaður: húðtegund 6, verkfæri, verksmiðja
👩🏻‍🏭	húðtegund 1–2, iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: húðtegund 1–2, verkfæri, verksmiðja
👩🏼‍🏭	húðtegund 3, iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: húðtegund 3, verkfæri, verksmiðja
👩🏽‍🏭	húðtegund 4, iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: húðtegund 4, verkfæri, verksmiðja
👩🏾‍🏭	húðtegund 5, iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: húðtegund 5, verkfæri, verksmiðja
👩🏿‍🏭	húðtegund 6, iðnaður, kona, kvenkyns verksmiðjustarfsmaður, kvenkyns verksmiðjustarfsmaður: húðtegund 6, verkfæri, verksmiðja
👨🏻‍💼	húðtegund 1–2, karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: húðtegund 1–2, skrifstofa, stjórnandi, viðskipti
👨🏼‍💼	húðtegund 3, karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: húðtegund 3, skrifstofa, stjórnandi, viðskipti
👨🏽‍💼	húðtegund 4, karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: húðtegund 4, skrifstofa, stjórnandi, viðskipti
👨🏾‍💼	húðtegund 5, karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: húðtegund 5, skrifstofa, stjórnandi, viðskipti
👨🏿‍💼	húðtegund 6, karl, karlkyns skrifstofustarfsmaður, karlkyns skrifstofustarfsmaður: húðtegund 6, skrifstofa, stjórnandi, viðskipti
👩🏻‍💼	húðtegund 1–2, kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: húðtegund 1–2, skrifstofa, stjórnandi, viðskipti
👩🏼‍💼	húðtegund 3, kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: húðtegund 3, skrifstofa, stjórnandi, viðskipti
👩🏽‍💼	húðtegund 4, kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: húðtegund 4, skrifstofa, stjórnandi, viðskipti
👩🏾‍💼	húðtegund 5, kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: húðtegund 5, skrifstofa, stjórnandi, viðskipti
👩🏿‍💼	húðtegund 6, kona, kvenkyns skrifstofustarfsmaður, kvenkyns skrifstofustarfsmaður: húðtegund 6, skrifstofa, stjórnandi, viðskipti
👨🏻‍🔬	efnafræði, húðtegund 1–2, karl, rannsóknir, vísindamaður, vísindamaður: húðtegund 1–2
👨🏼‍🔬	efnafræði, húðtegund 3, karl, rannsóknir, vísindamaður, vísindamaður: húðtegund 3
👨🏽‍🔬	efnafræði, húðtegund 4, karl, rannsóknir, vísindamaður, vísindamaður: húðtegund 4
👨🏾‍🔬	efnafræði, húðtegund 5, karl, rannsóknir, vísindamaður, vísindamaður: húðtegund 5
👨🏿‍🔬	efnafræði, húðtegund 6, karl, rannsóknir, vísindamaður, vísindamaður: húðtegund 6
👩🏻‍🔬	efnafræði, húðtegund 1–2, kona, rannsóknir, vísindakona, vísindakona: húðtegund 1–2, vísindamaður
👩🏼‍🔬	efnafræði, húðtegund 3, kona, rannsóknir, vísindakona, vísindakona: húðtegund 3, vísindamaður
👩🏽‍🔬	efnafræði, húðtegund 4, kona, rannsóknir, vísindakona, vísindakona: húðtegund 4, vísindamaður
👩🏾‍🔬	efnafræði, húðtegund 5, kona, rannsóknir, vísindakona, vísindakona: húðtegund 5, vísindamaður
