🦵🏻	ben, ben: lys teint, halte, humpe, lys teint, sparke
🛀🏻	bad, bad: lys teint, badekar, lys teint
🛀🏼	bad, bad: medium til lys teint, badekar, medium til lys teint
🛀🏽	bad, bad: medium teint, badekar, medium teint
🛀🏾	bad, bad: medium til mørk teint, badekar, medium til mørk teint
🛀🏿	bad, bad: mørk teint, badekar, mørk teint
🛌🏻	hotel, lys teint, person i seng, person i seng: lys teint, sove
🛌🏼	hotel, medium til lys teint, person i seng, person i seng: medium til lys teint, sove
🛌🏽	hotel, medium teint, person i seng, person i seng: medium teint, sove
🛌🏾	hotel, medium til mørk teint, person i seng, person i seng: medium til mørk teint, sove
🛌🏿	hotel, mørk teint, person i seng, person i seng: mørk teint, sove
🕴🏻	forretning, forretningsmand, jakkesæt, lys teint, mand, svævende forretningsmand, svævende forretningsmand: lys teint
🕴🏼	forretning, forretningsmand, jakkesæt, mand, medium til lys teint, svævende forretningsmand, svævende forretningsmand: medium til lys teint
🕴🏽	forretning, forretningsmand, jakkesæt, mand, medium teint, svævende forretningsmand, svævende forretningsmand: medium teint
🕴🏾	forretning, forretningsmand, jakkesæt, mand, medium til mørk teint, svævende forretningsmand, svævende forretningsmand: medium til mørk teint
🕴🏿	forretning, forretningsmand, jakkesæt, mand, mørk teint, svævende forretningsmand, svævende forretningsmand: mørk teint
🏇🏻	galop, hest, hestesport, hestevæddeløb, hestevæddeløb: lys teint, jockey, lys teint, væddeløbshest
🏇🏼	galop, hest, hestesport, hestevæddeløb, hestevæddeløb: medium til lys teint, jockey, medium til lys teint, væddeløbshest
🏇🏽	galop, hest, hestesport, hestevæddeløb, hestevæddeløb: medium teint, jockey, medium teint, væddeløbshest
🏇🏾	galop, hest, hestesport, hestevæddeløb, hestevæddeløb: medium til mørk teint, jockey, medium til mørk teint, væddeløbshest
🏇🏿	galop, hest, hestesport, hestevæddeløb, hestevæddeløb: mørk teint, jockey, mørk teint, væddeløbshest
🏂🏻	lys teint, snowboard, snowboarder, snowboarder: lys teint, snowboarding, sport
🏂🏼	medium til lys teint, snowboard, snowboarder, snowboarder: medium til lys teint, snowboarding, sport
🏂🏽	medium teint, snowboard, snowboarder, snowboarder: medium teint, snowboarding, sport
🏂🏾	medium til mørk teint, snowboard, snowboarder, snowboarder: medium til mørk teint, snowboarding, sport
🏂🏿	mørk teint, snowboard, snowboarder, snowboarder: mørk teint, snowboarding, sport
🏌🏻	bold, golf, golfspiller, golfspiller: lys teint, lys teint
🏌🏼	bold, golf, golfspiller, golfspiller: medium til lys teint, medium til lys teint
🏌🏽	bold, golf, golfspiller, golfspiller: medium teint, medium teint
🏌🏾	bold, golf, golfspiller, golfspiller: medium til mørk teint, medium til mørk teint
🏌🏿	bold, golf, golfspiller, golfspiller: mørk teint, mørk teint
🏌🏻‍♂	golf, golfkølle, lys teint, mand, mandlig golfspiller, mandlig golfspiller: lys teint
🏌🏼‍♂	golf, golfkølle, mand, mandlig golfspiller, mandlig golfspiller: medium til lys teint, medium til lys teint
🏌🏽‍♂	golf, golfkølle, mand, mandlig golfspiller, mandlig golfspiller: medium teint, medium teint
🏌🏾‍♂	golf, golfkølle, mand, mandlig golfspiller, mandlig golfspiller: medium til mørk teint, medium til mørk teint
🏌🏿‍♂	golf, golfkølle, mand, mandlig golfspiller, mandlig golfspiller: mørk teint, mørk teint
🏌🏻‍♀	golf, golfkølle, kvinde, kvindelig golfspiller, kvindelig golfspiller: lys teint, lys teint
🏌🏼‍♀	golf, golfkølle, kvinde, kvindelig golfspiller, kvindelig golfspiller: medium til lys teint, medium til lys teint
🏌🏽‍♀	golf, golfkølle, kvinde, kvindelig golfspiller, kvindelig golfspiller: medium teint, medium teint
🏌🏾‍♀	golf, golfkølle, kvinde, kvindelig golfspiller, kvindelig golfspiller: medium til mørk teint, medium til mørk teint
🏌🏿‍♀	golf, golfkølle, kvinde, kvindelig golfspiller, kvindelig golfspiller: mørk teint, mørk teint
🏄🏻	lys teint, sport, surfer, surfing, surfing: lys teint
🏄🏼	medium til lys teint, sport, surfer, surfing, surfing: medium til lys teint
🏄🏽	medium teint, sport, surfer, surfing, surfing: medium teint
🏄🏾	medium til mørk teint, sport, surfer, surfing, surfing: medium til mørk teint
🏄🏿	mørk teint, sport, surfer, surfing, surfing: mørk teint
🏄🏻‍♂	lys teint, mand, mandlig surfer, mandlig surfer: lys teint, surfer, surfing
🏄🏼‍♂	mand, mandlig surfer, mandlig surfer: medium til lys teint, medium til lys teint, surfer, surfing
🏄🏽‍♂	mand, mandlig surfer, mandlig surfer: medium teint, medium teint, surfer, surfing
🏄🏾‍♂	mand, mandlig surfer, mandlig surfer: medium til mørk teint, medium til mørk teint, surfer, surfing
🏄🏿‍♂	mand, mandlig surfer, mandlig surfer: mørk teint, mørk teint, surfer, surfing
🏄🏻‍♀	kvinde, kvindelig surfer, kvindelig surfer: lys teint, lys teint, surfer, surfing
🏄🏼‍♀	kvinde, kvindelig surfer, kvindelig surfer: medium til lys teint, medium til lys teint, surfer, surfing
🏄🏽‍♀	kvinde, kvindelig surfer, kvindelig surfer: medium teint, medium teint, surfer, surfing
🏄🏾‍♀	kvinde, kvindelig surfer, kvindelig surfer: medium til mørk teint, medium til mørk teint, surfer, surfing
🏄🏿‍♀	kvinde, kvindelig surfer, kvindelig surfer: mørk teint, mørk teint, surfer, surfing
🚣🏻	båd, lys teint, robåd, robåd: lys teint
🚣🏼	båd, medium til lys teint, robåd, robåd: medium til lys teint
🚣🏽	båd, medium teint, robåd, robåd: medium teint
🚣🏾	båd, medium til mørk teint, robåd, robåd: medium til mørk teint
🚣🏿	båd, mørk teint, robåd, robåd: mørk teint
🚣🏻‍♂	båd, lys teint, mand, mand i robåd, mand i robåd: lys teint, roer, roning
🚣🏼‍♂	båd, mand, mand i robåd, mand i robåd: medium til lys teint, medium til lys teint, roer, roning
🚣🏽‍♂	båd, mand, mand i robåd, mand i robåd: medium teint, medium teint, roer, roning
🚣🏾‍♂	båd, mand, mand i robåd, mand i robåd: medium til mørk teint, medium til mørk teint, roer, roning
🚣🏿‍♂	båd, mand, mand i robåd, mand i robåd: mørk teint, mørk teint, roer, roning
🚣🏻‍♀	båd, kvinde, kvinde i robåd, kvinde i robåd: lys teint, lys teint, roer, roning
🚣🏼‍♀	båd, kvinde, kvinde i robåd, kvinde i robåd: medium til lys teint, medium til lys teint, roer, roning
🚣🏽‍♀	båd, kvinde, kvinde i robåd, kvinde i robåd: medium teint, medium teint, roer, roning
🚣🏾‍♀	båd, kvinde, kvinde i robåd, kvinde i robåd: medium til mørk teint, medium til mørk teint, roer, roning
🚣🏿‍♀	båd, kvinde, kvinde i robåd, kvinde i robåd: mørk teint, mørk teint, roer, roning
🏊🏻	lys teint, sport, svømme, svømmer, svømmer: lys teint, svømning
🏊🏼	medium til lys teint, sport, svømme, svømmer, svømmer: medium til lys teint, svømning
🏊🏽	medium teint, sport, svømme, svømmer, svømmer: medium teint, svømning
🏊🏾	medium til mørk teint, sport, svømme, svømmer, svømmer: medium til mørk teint, svømning
🏊🏿	mørk teint, sport, svømme, svømmer, svømmer: mørk teint, svømning
🏊🏻‍♂	lys teint, mand, mandlig svømmer, mandlig svømmer: lys teint, svømning
🏊🏼‍♂	mand, mandlig svømmer, mandlig svømmer: medium til lys teint, medium til lys teint, svømning
🏊🏽‍♂	mand, mandlig svømmer, mandlig svømmer: medium teint, medium teint, svømning
🏊🏾‍♂	mand, mandlig svømmer, mandlig svømmer: medium til mørk teint, medium til mørk teint, svømning
🏊🏿‍♂	mand, mandlig svømmer, mandlig svømmer: mørk teint, mørk teint, svømning
🏊🏻‍♀	kvinde, kvindelig svømmer, kvindelig svømmer: lys teint, lys teint, svømmepige, svømning
🏊🏼‍♀	kvinde, kvindelig svømmer, kvindelig svømmer: medium til lys teint, medium til lys teint, svømmepige, svømning
🏊🏽‍♀	kvinde, kvindelig svømmer, kvindelig svømmer: medium teint, medium teint, svømmepige, svømning
🏊🏾‍♀	kvinde, kvindelig svømmer, kvindelig svømmer: medium til mørk teint, medium til mørk teint, svømmepige, svømning
🏊🏿‍♀	kvinde, kvindelig svømmer, kvindelig svømmer: mørk teint, mørk teint, svømmepige, svømning
⛹🏻	bold, lys teint, person med bold, person med bold: lys teint
⛹🏼	bold, medium til lys teint, person med bold, person med bold: medium til lys teint
⛹🏽	bold, medium teint, person med bold, person med bold: medium teint
⛹🏾	bold, medium til mørk teint, person med bold, person med bold: medium til mørk teint
⛹🏿	bold, mørk teint, person med bold, person med bold: mørk teint
⛹🏻‍♂	bold, boldspil, boldspiller, lys teint, mand, mand med bold, mand med bold: lys teint
⛹🏼‍♂	bold, boldspil, boldspiller, mand, mand med bold, mand med bold: medium til lys teint, medium til lys teint
⛹🏽‍♂	bold, boldspil, boldspiller, mand, mand med bold, mand med bold: medium teint, medium teint
⛹🏾‍♂	bold, boldspil, boldspiller, mand, mand med bold, mand med bold: medium til mørk teint, medium til mørk teint
⛹🏿‍♂	bold, boldspil, boldspiller, mand, mand med bold, mand med bold: mørk teint, mørk teint
⛹🏻‍♀	bold, boldspil, boldspiller, kvinde, kvinde med bold, kvinde med bold: lys teint, lys teint
⛹🏼‍♀	bold, boldspil, boldspiller, kvinde, kvinde med bold, kvinde med bold: medium til lys teint, medium til lys teint
⛹🏽‍♀	bold, boldspil, boldspiller, kvinde, kvinde med bold, kvinde med bold: medium teint, medium teint
⛹🏾‍♀	bold, boldspil, boldspiller, kvinde, kvinde med bold, kvinde med bold: medium til mørk teint, medium til mørk teint
⛹🏿‍♀	bold, boldspil, boldspiller, kvinde, kvinde med bold, kvinde med bold: mørk teint, mørk teint
🏋🏻	lys teint, løfter, vægt, vægtløfter, vægtløfter: lys teint
🏋🏼	løfter, medium til lys teint, vægt, vægtløfter, vægtløfter: medium til lys teint
🏋🏽	løfter, medium teint, vægt, vægtløfter, vægtløfter: medium teint
🏋🏾	løfter, medium til mørk teint, vægt, vægtløfter, vægtløfter: medium til mørk teint
🏋🏿	løfter, mørk teint, vægt, vægtløfter, vægtløfter: mørk teint
🏋🏻‍♂	lys teint, løfte, mand, mandlig vægtløfter, mandlig vægtløfter: lys teint, vægte, vægtløftning
🏋🏼‍♂	løfte, mand, mandlig vægtløfter, mandlig vægtløfter: medium til lys teint, medium til lys teint, vægte, vægtløftning
🏋🏽‍♂	løfte, mand, mandlig vægtløfter, mandlig vægtløfter: medium teint, medium teint, vægte, vægtløftning
🏋🏾‍♂	løfte, mand, mandlig vægtløfter, mandlig vægtløfter: medium til mørk teint, medium til mørk teint, vægte, vægtløftning
🏋🏿‍♂	løfte, mand, mandlig vægtløfter, mandlig vægtløfter: mørk teint, mørk teint, vægte, vægtløftning
🏋🏻‍♀	kvinde, kvindelig vægtløfter, kvindelig vægtløfter: lys teint, lys teint, løfte, vægte, vægtløftning
🏋🏼‍♀	kvinde, kvindelig vægtløfter, kvindelig vægtløfter: medium til lys teint, løfte, medium til lys teint, vægte, vægtløftning
🏋🏽‍♀	kvinde, kvindelig vægtløfter, kvindelig vægtløfter: medium teint, løfte, medium teint, vægte, vægtløftning
🏋🏾‍♀	kvinde, kvindelig vægtløfter, kvindelig vægtløfter: medium til mørk teint, løfte, medium til mørk teint, vægte, vægtløftning
🏋🏿‍♀	kvinde, kvindelig vægtløfter, kvindelig vægtløfter: mørk teint, løfte, mørk teint, vægte, vægtløftning
🚴🏻	cykel, cyklist, cyklist: lys teint, lys teint
🚴🏼	cykel, cyklist, cyklist: medium til lys teint, medium til lys teint
🚴🏽	cykel, cyklist, cyklist: medium teint, medium teint
🚴🏾	cykel, cyklist, cyklist: medium til mørk teint, medium til mørk teint
🚴🏿	cykel, cyklist, cyklist: mørk teint, mørk teint
🚴🏻‍♂	cykel, cykelrytter, cykle, lys teint, mand, mandlig cyklist, mandlig cyklist: lys teint
🚴🏼‍♂	cykel, cykelrytter, cykle, mand, mandlig cyklist, mandlig cyklist: medium til lys teint, medium til lys teint
🚴🏽‍♂	cykel, cykelrytter, cykle, mand, mandlig cyklist, mandlig cyklist: medium teint, medium teint
🚴🏾‍♂	cykel, cykelrytter, cykle, mand, mandlig cyklist, mandlig cyklist: medium til mørk teint, medium til mørk teint
🚴🏿‍♂	cykel, cykelrytter, cykle, mand, mandlig cyklist, mandlig cyklist: mørk teint, mørk teint
🚴🏻‍♀	cykel, cykelrytter, cykle, cyklist, kvinde, kvindelig cyklist, kvindelig cyklist: lys teint, lys teint
🚴🏼‍♀	cykel, cykelrytter, cykle, cyklist, kvinde, kvindelig cyklist, kvindelig cyklist: medium til lys teint, medium til lys teint
🚴🏽‍♀	cykel, cykelrytter, cykle, cyklist, kvinde, kvindelig cyklist, kvindelig cyklist: medium teint, medium teint
🚴🏾‍♀	cykel, cykelrytter, cykle, cyklist, kvinde, kvindelig cyklist, kvindelig cyklist: medium til mørk teint, medium til mørk teint
🚴🏿‍♀	cykel, cykelrytter, cykle, cyklist, kvinde, kvindelig cyklist, kvindelig cyklist: mørk teint, mørk teint
🚵🏻	bjerg, cykel, cyklist, lys teint, mountainbike, mountainbikerytter, mountainbikerytter: lys teint
🚵🏼	bjerg, cykel, cyklist, medium til lys teint, mountainbike, mountainbikerytter, mountainbikerytter: medium til lys teint
🚵🏽	bjerg, cykel, cyklist, medium teint, mountainbike, mountainbikerytter, mountainbikerytter: medium teint
🚵🏾	bjerg, cykel, cyklist, medium til mørk teint, mountainbike, mountainbikerytter, mountainbikerytter: medium til mørk teint
🚵🏿	bjerg, cykel, cyklist, mountainbike, mountainbikerytter, mountainbikerytter: mørk teint, mørk teint
🚵🏻‍♂	cykelrytter, lys teint, mand, mand på mountainbike, mand på mountainbike: lys teint, mountainbike
🚵🏼‍♂	cykelrytter, mand, mand på mountainbike, mand på mountainbike: medium til lys teint, medium til lys teint, mountainbike
🚵🏽‍♂	cykelrytter, mand, mand på mountainbike, mand på mountainbike: medium teint, medium teint, mountainbike
🚵🏾‍♂	cykelrytter, mand, mand på mountainbike, mand på mountainbike: medium til mørk teint, medium til mørk teint, mountainbike
🚵🏿‍♂	cykelrytter, mand, mand på mountainbike, mand på mountainbike: mørk teint, mountainbike, mørk teint
🚵🏻‍♀	cykelrytter, kvinde, kvinde på mountainbike, kvinde på mountainbike: lys teint, lys teint, mountainbike
🚵🏼‍♀	cykelrytter, kvinde, kvinde på mountainbike, kvinde på mountainbike: medium til lys teint, medium til lys teint, mountainbike
🚵🏽‍♀	cykelrytter, kvinde, kvinde på mountainbike, kvinde på mountainbike: medium teint, medium teint, mountainbike
🚵🏾‍♀	cykelrytter, kvinde, kvinde på mountainbike, kvinde på mountainbike: medium til mørk teint, medium til mørk teint, mountainbike
🚵🏿‍♀	cykelrytter, kvinde, kvinde på mountainbike, kvinde på mountainbike: mørk teint, mountainbike, mørk teint
🤸🏻	gymnastik, lys teint, menneske, person, sport, vejrmølle, vejrmølle: lys teint
🤸🏼	gymnastik, medium til lys teint, menneske, person, sport, vejrmølle, vejrmølle: medium til lys teint
🤸🏽	gymnastik, medium teint, menneske, person, sport, vejrmølle, vejrmølle: medium teint
🤸🏾	gymnastik, medium til mørk teint, menneske, person, sport, vejrmølle, vejrmølle: medium til mørk teint
🤸🏿	gymnastik, menneske, mørk teint, person, sport, vejrmølle, vejrmølle: mørk teint
🤸🏻‍♂	gymnastik, lys teint, mand, mand slår vejrmøller, mand slår vejrmøller: lys teint, vejrmølle
🤸🏼‍♂	gymnastik, mand, mand slår vejrmøller, mand slår vejrmøller: medium til lys teint, medium til lys teint, vejrmølle
🤸🏽‍♂	gymnastik, mand, mand slår vejrmøller, mand slår vejrmøller: medium teint, medium teint, vejrmølle
🤸🏾‍♂	gymnastik, mand, mand slår vejrmøller, mand slår vejrmøller: medium til mørk teint, medium til mørk teint, vejrmølle
🤸🏿‍♂	gymnastik, mand, mand slår vejrmøller, mand slår vejrmøller: mørk teint, mørk teint, vejrmølle
🤸🏻‍♀	gymnastik, kvinde, kvinde slår vejrmøller, kvinde slår vejrmøller: lys teint, lys teint, vejrmølle
🤸🏼‍♀	gymnastik, kvinde, kvinde slår vejrmøller, kvinde slår vejrmøller: medium til lys teint, medium til lys teint, vejrmølle
🤸🏽‍♀	gymnastik, kvinde, kvinde slår vejrmøller, kvinde slår vejrmøller: medium teint, medium teint, vejrmølle
🤸🏾‍♀	gymnastik, kvinde, kvinde slår vejrmøller, kvinde slår vejrmøller: medium til mørk teint, medium til mørk teint, vejrmølle
🤸🏿‍♀	gymnastik, kvinde, kvinde slår vejrmøller, kvinde slår vejrmøller: mørk teint, mørk teint, vejrmølle
🤽🏻	lys teint, polo, sport, vand, vandpolo, vandpolo: lys teint, vandsport
🤽🏼	medium til lys teint, polo, sport, vand, vandpolo, vandpolo: medium til lys teint, vandsport
🤽🏽	medium teint, polo, sport, vand, vandpolo, vandpolo: medium teint, vandsport
🤽🏾	medium til mørk teint, polo, sport, vand, vandpolo, vandpolo: medium til mørk teint, vandsport
🤽🏿	mørk teint, polo, sport, vand, vandpolo, vandpolo: mørk teint, vandsport
🤽🏻‍♂	lys teint, mand, mandlig vandpolospiller, mandlig vandpolospiller: lys teint, vandpolo
🤽🏼‍♂	mand, mandlig vandpolospiller, mandlig vandpolospiller: medium til lys teint, medium til lys teint, vandpolo
🤽🏽‍♂	mand, mandlig vandpolospiller, mandlig vandpolospiller: medium teint, medium teint, vandpolo
🤽🏾‍♂	mand, mandlig vandpolospiller, mandlig vandpolospiller: medium til mørk teint, medium til mørk teint, vandpolo
🤽🏿‍♂	mand, mandlig vandpolospiller, mandlig vandpolospiller: mørk teint, mørk teint, vandpolo
🤽🏻‍♀	kvinde, kvindelig vandpolospiller, kvindelig vandpolospiller: lys teint, lys teint, vandpolo
🤽🏼‍♀	kvinde, kvindelig vandpolospiller, kvindelig vandpolospiller: medium til lys teint, medium til lys teint, vandpolo
🤽🏽‍♀	kvinde, kvindelig vandpolospiller, kvindelig vandpolospiller: medium teint, medium teint, vandpolo
🤽🏾‍♀	kvinde, kvindelig vandpolospiller, kvindelig vandpolospiller: medium til mørk teint, medium til mørk teint, vandpolo
🤽🏿‍♀	kvinde, kvindelig vandpolospiller, kvindelig vandpolospiller: mørk teint, mørk teint, vandpolo
🤾🏻	bold, håndbold, håndbold: lys teint, lys teint, person, sport
🤾🏼	bold, håndbold, håndbold: medium til lys teint, medium til lys teint, person, sport
🤾🏽	bold, håndbold, håndbold: medium teint, medium teint, person, sport
🤾🏾	bold, håndbold, håndbold: medium til mørk teint, medium til mørk teint, person, sport
🤾🏿	bold, håndbold, håndbold: mørk teint, mørk teint, person, sport
🤾🏻‍♂	håndbold, håndboldspiller, lys teint, mand, mandlig håndboldspiller, mandlig håndboldspiller: lys teint
🤾🏼‍♂	håndbold, håndboldspiller, mand, mandlig håndboldspiller, mandlig håndboldspiller: medium til lys teint, medium til lys teint
🤾🏽‍♂	håndbold, håndboldspiller, mand, mandlig håndboldspiller, mandlig håndboldspiller: medium teint, medium teint
🤾🏾‍♂	håndbold, håndboldspiller, mand, mandlig håndboldspiller, mandlig håndboldspiller: medium til mørk teint, medium til mørk teint
🤾🏿‍♂	håndbold, håndboldspiller, mand, mandlig håndboldspiller, mandlig håndboldspiller: mørk teint, mørk teint
🤾🏻‍♀	håndbold, håndboldspiller, kvinde, kvindelig håndboldspiller, kvindelig håndboldspiller: lys teint, lys teint
🤾🏼‍♀	håndbold, håndboldspiller, kvinde, kvindelig håndboldspiller, kvindelig håndboldspiller: medium til lys teint, medium til lys teint
🤾🏽‍♀	håndbold, håndboldspiller, kvinde, kvindelig håndboldspiller, kvindelig håndboldspiller: medium teint, medium teint
🤾🏾‍♀	håndbold, håndboldspiller, kvinde, kvindelig håndboldspiller, kvindelig håndboldspiller: medium til mørk teint, medium til mørk teint
🤾🏿‍♀	håndbold, håndboldspiller, kvinde, kvindelig håndboldspiller, kvindelig håndboldspiller: mørk teint, mørk teint
🤹🏻	Jonglør, Jonglør: lys teint, balance, behændighed, dygtighed, jonglere, jonglerer, jonglør, lys teint, multitaske, multitasking
🤹🏼	Jonglør, Jonglør: medium til lys teint, balance, behændighed, dygtighed, jonglere, jonglerer, jonglør, medium til lys teint, multitaske, multitasking
🤹🏽	Jonglør, Jonglør: medium teint, balance, behændighed, dygtighed, jonglere, jonglerer, jonglør, medium teint, multitaske, multitasking
🤹🏾	Jonglør, Jonglør: medium til mørk teint, balance, behændighed, dygtighed, jonglere, jonglerer, jonglør, medium til mørk teint, multitaske, multitasking
🤹🏿	Jonglør, Jonglør: mørk teint, balance, behændighed, dygtighed, jonglere, jonglerer, jonglør, multitaske, multitasking, mørk teint
🤹🏻‍♂	bolde, jonglere, lys teint, mand, mandlig jonglør, mandlig jonglør: lys teint, multitakse, multitasking
🤹🏼‍♂	bolde, jonglere, mand, mandlig jonglør, mandlig jonglør: medium til lys teint, medium til lys teint, multitakse, multitasking
🤹🏽‍♂	bolde, jonglere, mand, mandlig jonglør, mandlig jonglør: medium teint, medium teint, multitakse, multitasking
🤹🏾‍♂	bolde, jonglere, mand, mandlig jonglør, mandlig jonglør: medium til mørk teint, medium til mørk teint, multitakse, multitasking
🤹🏿‍♂	bolde, jonglere, mand, mandlig jonglør, mandlig jonglør: mørk teint, multitakse, multitasking, mørk teint
🤹🏻‍♀	bolde, jonglere, kvinde, kvindelig jonglør, kvindelig jonglør: lys teint, lys teint, multitaske, multitasking
🤹🏼‍♀	bolde, jonglere, kvinde, kvindelig jonglør, kvindelig jonglør: medium til lys teint, medium til lys teint, multitaske, multitasking
🤹🏽‍♀	bolde, jonglere, kvinde, kvindelig jonglør, kvindelig jonglør: medium teint, medium teint, multitaske, multitasking
🤹🏾‍♀	bolde, jonglere, kvinde, kvindelig jonglør, kvindelig jonglør: medium til mørk teint, medium til mørk teint, multitaske, multitasking
🤹🏿‍♀	bolde, jonglere, kvinde, kvindelig jonglør, kvindelig jonglør: mørk teint, multitaske, multitasking, mørk teint
👩‍❤‍💋‍👨	kvinde, kys, kys: kvinde og mand, kærlighed, mand, par med hjerte, romantik
👨‍❤‍💋‍👨	kys, kys: mand og mand, kærlighed, mand, par med hjerte, romantik
👩‍❤‍💋‍👩	kvinde, kys, kys: kvinde og kvinde, kærlighed, par med hjerte, romantik
👩‍❤‍👨	kvinde, kærlighed, mand, par med hjerte, par med hjerte: kvinde og mand, romantik
👨‍❤‍👨	kærlighed, mand, par med hjerte, par med hjerte: mand og mand, romantik
👩‍❤‍👩	kvinde, kærlighed, par med hjerte, par med hjerte: kvinde og kvinde, romantik
👨‍👩‍👦	barn, dreng, familie, familie: mand, kvinde og dreng, far, kvinde, mand, menneske, mor
👨‍👩‍👧	barn, familie, familie: mand, kvinde og pige, far, kvinde, mand, menneske, mor, pige
👨‍👩‍👧‍👦	barn, dreng, familie, familie: mand, kvinde, pige og dreng, far, kvinde, mand, menneske, mor, pige
👨‍👩‍👦‍👦	barn, dreng, familie, familie: mand, kvinde, dreng og dreng, far, kvinde, mand, menneske, mor
👨‍👩‍👧‍👧	barn, familie, familie: mand, kvinde, pige og pige, far, kvinde, mand, menneske, mor, pige
👨‍👨‍👦	barn, dreng, familie, familie: mand, mand og dreng, far, mand, menneske, mor
👨‍👨‍👧	barn, familie, familie: mand, mand og pige, far, mand, menneske, mor, pige
👨‍👨‍👧‍👦	barn, dreng, familie, familie: mand, mand, pige og dreng, far, mand, menneske, mor, pige
👨‍👨‍👦‍👦	barn, dreng, familie, familie: mand, mand, dreng og dreng, far, mand, menneske, mor
👨‍👨‍👧‍👧	barn, familie, familie: mand, mand, pige og pige, far, mand, menneske, mor, pige
👩‍👩‍👦	barn, dreng, familie, familie: kvinde, kvinde og dreng, far, kvinde, menneske, mor
👩‍👩‍👧	barn, familie, familie: kvinde, kvinde og pige, far, kvinde, menneske, mor, pige
👩‍👩‍👧‍👦	barn, dreng, familie, familie: kvinde, kvinde, pige og dreng, far, kvinde, menneske, mor, pige
👩‍👩‍👦‍👦	barn, dreng, familie, familie: kvinde, kvinde, dreng og dreng, far, kvinde, menneske, mor
👩‍👩‍👧‍👧	barn, familie, familie: kvinde, kvinde, pige og pige, far, kvinde, menneske, mor, pige
👨‍👦	barn, dreng, familie, familie: mand og dreng, far, mand, menneske, mor
👨‍👦‍👦	barn, dreng, familie, familie: mand, dreng og dreng, far, mand, menneske, mor
👨‍👧	barn, familie, familie: mand og pige, far, mand, menneske, mor, pige
👨‍👧‍👦	barn, dreng, familie, familie: mand, pige og dreng, far, mand, menneske, mor, pige
👨‍👧‍👧	barn, familie, familie: mand, pige og pige, far, mand, menneske, mor, pige
👩‍👦	barn, dreng, familie, familie: kvinde og dreng, far, kvinde, menneske, mor
👩‍👦‍👦	barn, dreng, familie, familie: kvinde, dreng og dreng, far, kvinde, menneske, mor
👩‍👧	barn, familie, familie: kvinde og pige, far, kvinde, menneske, mor, pige
👩‍👧‍👦	barn, dreng, familie, familie: kvinde, pige og dreng, far, kvinde, menneske, mor, pige
👩‍👧‍👧	barn, familie, familie: kvinde, pige og pige, far, kvinde, menneske, mor, pige
🤳🏻	arm, foto, fotograf, fotograferer, fotografi, kamera, lys teint, mobil, mobiltelefon, selfie, selfie: lys teint, tager billeder, telefon
🤳🏼	arm, foto, fotograf, fotograferer, fotografi, kamera, medium til lys teint, mobil, mobiltelefon, selfie, selfie: medium til lys teint, tager billeder, telefon
🤳🏽	arm, foto, fotograf, fotograferer, fotografi, kamera, medium teint, mobil, mobiltelefon, selfie, selfie: medium teint, tager billeder, telefon
🤳🏾	arm, foto, fotograf, fotograferer, fotografi, kamera, medium til mørk teint, mobil, mobiltelefon, selfie, selfie: medium til mørk teint, tager billeder, telefon
🤳🏿	arm, foto, fotograf, fotograferer, fotografi, kamera, mobil, mobiltelefon, mørk teint, selfie, selfie: mørk teint, tager billeder, telefon
💪🏻	armmuskler, armmuskler: lys teint, lys teint, muskel, stærk
💪🏼	armmuskler, armmuskler: medium til lys teint, medium til lys teint, muskel, stærk
💪🏽	armmuskler, armmuskler: medium teint, medium teint, muskel, stærk
💪🏾	armmuskler, armmuskler: medium til mørk teint, medium til mørk teint, muskel, stærk
💪🏿	armmuskler, armmuskler: mørk teint, muskel, mørk teint, stærk
👈🏻	finger, finger peger til venstre, lys teint, pegefinger, peger mod venstre, peger mod venstre: lys teint, peger til venstre
👈🏼	finger, finger peger til venstre, medium til lys teint, pegefinger, peger mod venstre, peger mod venstre: medium til lys teint, peger til venstre
👈🏽	finger, finger peger til venstre, medium teint, pegefinger, peger mod venstre, peger mod venstre: medium teint, peger til venstre
👈🏾	finger, finger peger til venstre, medium til mørk teint, pegefinger, peger mod venstre, peger mod venstre: medium til mørk teint, peger til venstre
👈🏿	finger, finger peger til venstre, mørk teint, pegefinger, peger mod venstre, peger mod venstre: mørk teint, peger til venstre
👉🏻	finger, finger peger til højre, lys teint, pegefinger, peger mod højre, peger mod højre: lys teint, peger til højre
👉🏼	finger, finger peger til højre, medium til lys teint, pegefinger, peger mod højre, peger mod højre: medium til lys teint, peger til højre
👉🏽	finger, finger peger til højre, medium teint, pegefinger, peger mod højre, peger mod højre: medium teint, peger til højre
👉🏾	finger, finger peger til højre, medium til mørk teint, pegefinger, peger mod højre, peger mod højre: medium til mørk teint, peger til højre
👉🏿	finger, finger peger til højre, mørk teint, pegefinger, peger mod højre, peger mod højre: mørk teint, peger til højre
☝🏻	finger, hånd, krop, lys teint, op, opadvendt, pege, pegefinger, rækker finger op, rækker finger op: lys teint
☝🏼	finger, hånd, krop, medium til lys teint, op, opadvendt, pege, pegefinger, rækker finger op, rækker finger op: medium til lys teint
☝🏽	finger, hånd, krop, medium teint, op, opadvendt, pege, pegefinger, rækker finger op, rækker finger op: medium teint
