🦵🏻	ben, ben: lys teint, halte, humpe, lys teint, sparke
👩🏾‍🍳	kok, kvinde, kvindelig kok, kvindelig kok: medium til mørk teint, madlavning, medium til mørk teint, stegepande
👩🏿‍🍳	kok, kvinde, kvindelig kok, kvindelig kok: mørk teint, madlavning, mørk teint, stegepande
👨🏻‍🔧	håndværker, lys teint, mand, mandlig mekaniker, mandlig mekaniker: lys teint, mekaniker, skruenøgle, værktøj
👨🏼‍🔧	håndværker, mand, mandlig mekaniker, mandlig mekaniker: medium til lys teint, medium til lys teint, mekaniker, skruenøgle, værktøj
👨🏽‍🔧	håndværker, mand, mandlig mekaniker, mandlig mekaniker: medium teint, medium teint, mekaniker, skruenøgle, værktøj
👨🏾‍🔧	håndværker, mand, mandlig mekaniker, mandlig mekaniker: medium til mørk teint, medium til mørk teint, mekaniker, skruenøgle, værktøj
👨🏿‍🔧	håndværker, mand, mandlig mekaniker, mandlig mekaniker: mørk teint, mekaniker, mørk teint, skruenøgle, værktøj
👩🏻‍🔧	håndværker, kvinde, kvindelig mekaniker, kvindelig mekaniker: lys teint, lys teint, mekaniker, skruenøgle, værktøj
👩🏼‍🔧	håndværker, kvinde, kvindelig mekaniker, kvindelig mekaniker: medium til lys teint, medium til lys teint, mekaniker, skruenøgle, værktøj
👩🏽‍🔧	håndværker, kvinde, kvindelig mekaniker, kvindelig mekaniker: medium teint, medium teint, mekaniker, skruenøgle, værktøj
👩🏾‍🔧	håndværker, kvinde, kvindelig mekaniker, kvindelig mekaniker: medium til mørk teint, medium til mørk teint, mekaniker, skruenøgle, værktøj
👩🏿‍🔧	håndværker, kvinde, kvindelig mekaniker, kvindelig mekaniker: mørk teint, mekaniker, mørk teint, skruenøgle, værktøj
👨🏻‍🏭	arbejder, fabrik, industri, lys teint, mand, mandlig fabriksarbejder, mandlig fabriksarbejder: lys teint
👨🏼‍🏭	arbejder, fabrik, industri, mand, mandlig fabriksarbejder, mandlig fabriksarbejder: medium til lys teint, medium til lys teint
👨🏽‍🏭	arbejder, fabrik, industri, mand, mandlig fabriksarbejder, mandlig fabriksarbejder: medium teint, medium teint
👨🏾‍🏭	arbejder, fabrik, industri, mand, mandlig fabriksarbejder, mandlig fabriksarbejder: medium til mørk teint, medium til mørk teint
👨🏿‍🏭	arbejder, fabrik, industri, mand, mandlig fabriksarbejder, mandlig fabriksarbejder: mørk teint, mørk teint
👩🏻‍🏭	arbejder, fabrik, industri, kvinde, kvindelig fabriksarbejder, kvindelig fabriksarbejder: lys teint, lys teint
👩🏼‍🏭	arbejder, fabrik, industri, kvinde, kvindelig fabriksarbejder, kvindelig fabriksarbejder: medium til lys teint, medium til lys teint
👩🏽‍🏭	arbejder, fabrik, industri, kvinde, kvindelig fabriksarbejder, kvindelig fabriksarbejder: medium teint, medium teint
👩🏾‍🏭	arbejder, fabrik, industri, kvinde, kvindelig fabriksarbejder, kvindelig fabriksarbejder: medium til mørk teint, medium til mørk teint
👩🏿‍🏭	arbejder, fabrik, industri, kvinde, kvindelig fabriksarbejder, kvindelig fabriksarbejder: mørk teint, mørk teint
👨🏻‍💼	business, jakkesæt, kontor, kontormand, lys teint, mandlig kontoransat, mandlig kontoransat: lys teint, mappe
👨🏼‍💼	business, jakkesæt, kontor, kontormand, mandlig kontoransat, mandlig kontoransat: medium til lys teint, mappe, medium til lys teint
👨🏽‍💼	business, jakkesæt, kontor, kontormand, mandlig kontoransat, mandlig kontoransat: medium teint, mappe, medium teint
👨🏾‍💼	business, jakkesæt, kontor, kontormand, mandlig kontoransat, mandlig kontoransat: medium til mørk teint, mappe, medium til mørk teint
👨🏿‍💼	business, jakkesæt, kontor, kontormand, mandlig kontoransat, mandlig kontoransat: mørk teint, mappe, mørk teint
👩🏻‍💼	business, kontor, kvinde, kvindelig kontoransat, kvindelig kontoransat: lys teint, lys teint, mappe
👩🏼‍💼	business, kontor, kvinde, kvindelig kontoransat, kvindelig kontoransat: medium til lys teint, mappe, medium til lys teint
👩🏽‍💼	business, kontor, kvinde, kvindelig kontoransat, kvindelig kontoransat: medium teint, mappe, medium teint
👩🏾‍💼	business, kontor, kvinde, kvindelig kontoransat, kvindelig kontoransat: medium til mørk teint, mappe, medium til mørk teint
👩🏿‍💼	business, kontor, kvinde, kvindelig kontoransat, kvindelig kontoransat: mørk teint, mappe, mørk teint
👨🏻‍🔬	lys teint, mandlig forsker, mandlig forsker: lys teint, naturvidenskab, naturvidenskabsmand, videnskab, videnskabsmand
👨🏼‍🔬	mandlig forsker, mandlig forsker: medium til lys teint, medium til lys teint, naturvidenskab, naturvidenskabsmand, videnskab, videnskabsmand
👨🏽‍🔬	mandlig forsker, mandlig forsker: medium teint, medium teint, naturvidenskab, naturvidenskabsmand, videnskab, videnskabsmand
👨🏾‍🔬	mandlig forsker, mandlig forsker: medium til mørk teint, medium til mørk teint, naturvidenskab, naturvidenskabsmand, videnskab, videnskabsmand
👨🏿‍🔬	mandlig forsker, mandlig forsker: mørk teint, mørk teint, naturvidenskab, naturvidenskabsmand, videnskab, videnskabsmand
👩🏻‍🔬	kvinde, kvindelig forsker, kvindelig forsker: lys teint, lys teint, naturvidenskab, videnskab, videnskabsmand
👩🏼‍🔬	kvinde, kvindelig forsker, kvindelig forsker: medium til lys teint, medium til lys teint, naturvidenskab, videnskab, videnskabsmand
👩🏽‍🔬	kvinde, kvindelig forsker, kvindelig forsker: medium teint, medium teint, naturvidenskab, videnskab, videnskabsmand
👩🏾‍🔬	kvinde, kvindelig forsker, kvindelig forsker: medium til mørk teint, medium til mørk teint, naturvidenskab, videnskab, videnskabsmand
👩🏿‍🔬	kvinde, kvindelig forsker, kvindelig forsker: mørk teint, mørk teint, naturvidenskab, videnskab, videnskabsmand
👨🏻‍💻	computer, it, lys teint, mand, mandlig IT-medarbejder, mandlig IT-medarbejder: lys teint, pc, programmør, skærm, software, teknologi, udvikler
👨🏼‍💻	computer, it, mand, mandlig IT-medarbejder, mandlig IT-medarbejder: medium til lys teint, medium til lys teint, pc, programmør, skærm, software, teknologi, udvikler
👨🏽‍💻	computer, it, mand, mandlig IT-medarbejder, mandlig IT-medarbejder: medium teint, medium teint, pc, programmør, skærm, software, teknologi, udvikler
👨🏾‍💻	computer, it, mand, mandlig IT-medarbejder, mandlig IT-medarbejder: medium til mørk teint, medium til mørk teint, pc, programmør, skærm, software, teknologi, udvikler
👨🏿‍💻	computer, it, mand, mandlig IT-medarbejder, mandlig IT-medarbejder: mørk teint, mørk teint, pc, programmør, skærm, software, teknologi, udvikler
👩🏻‍💻	computer, it, kvinde, kvindelig IT-medarbejder, kvindelig IT-medarbejder: lys teint, lys teint, pc, programmør, skærm, software, udvikler
👩🏼‍💻	computer, it, kvinde, kvindelig IT-medarbejder, kvindelig IT-medarbejder: medium til lys teint, medium til lys teint, pc, programmør, skærm, software, udvikler
👩🏽‍💻	computer, it, kvinde, kvindelig IT-medarbejder, kvindelig IT-medarbejder: medium teint, medium teint, pc, programmør, skærm, software, udvikler
👩🏾‍💻	computer, it, kvinde, kvindelig IT-medarbejder, kvindelig IT-medarbejder: medium til mørk teint, medium til mørk teint, pc, programmør, skærm, software, udvikler
👩🏿‍💻	computer, it, kvinde, kvindelig IT-medarbejder, kvindelig IT-medarbejder: mørk teint, mørk teint, pc, programmør, skærm, software, udvikler
👨🏻‍🎤	entertainer, karaoke, lys teint, mand, sang, sanger, sanger: lys teint, skuespiller, stjerne, synge
👨🏼‍🎤	entertainer, karaoke, mand, medium til lys teint, sang, sanger, sanger: medium til lys teint, skuespiller, stjerne, synge
👨🏽‍🎤	entertainer, karaoke, mand, medium teint, sang, sanger, sanger: medium teint, skuespiller, stjerne, synge
👨🏾‍🎤	entertainer, karaoke, mand, medium til mørk teint, sang, sanger, sanger: medium til mørk teint, skuespiller, stjerne, synge
👨🏿‍🎤	entertainer, karaoke, mand, mørk teint, sang, sanger, sanger: mørk teint, skuespiller, stjerne, synge
👩🏻‍🎤	entertainer, karaoke, kvinde, lys teint, sang, sangerinde, sangerinde: lys teint, skuespiller, stjerne, synge
👩🏼‍🎤	entertainer, karaoke, kvinde, medium til lys teint, sang, sangerinde, sangerinde: medium til lys teint, skuespiller, stjerne, synge
👩🏽‍🎤	entertainer, karaoke, kvinde, medium teint, sang, sangerinde, sangerinde: medium teint, skuespiller, stjerne, synge
👩🏾‍🎤	entertainer, karaoke, kvinde, medium til mørk teint, sang, sangerinde, sangerinde: medium til mørk teint, skuespiller, stjerne, synge
