🏻	1–2. mota, azalaren tonua
👫	bikote, emakume, esku, eutsi, gizon, gizon-emakumeak batak bestearen eskuari eusten
👬	bi gizon batak bestearen eskuari eusten, biki, bikote, esku, eutsi, gemini, gizon, zodiako
👭	bi emakume batak bestearen eskuari eusten, bikote, emakume, esku, eutsi
💏	bikote, musu
💑	bihotz, bihotza erdian duen bikotea, bikote, maitasun
🤳	autoargazki, autoargazkia, kamera, telefono
💪	bizeps, bizepsak, flexio, gihar, gorputz, komiki
🦵	gorputz-adar, hanka, ostikada
🦶	oina, ostikada, zanpatu
🖕	erdiko hatza, esku, gorputz, hatz
🤞	esku, gurutzatu, hatz, hatz gurutzatuak, zorte
🖖	agur vulkaniar, esku, hatz, spock, vulkaniar, vulkaniar agurra
🤘	adar, adarrak adierazten dituen eskua, esku, gorputz, hatz
🤙	deitu, deitzeko esku-keinua, esku
✋	esku, esku altxatua, gorputz
👌	ados, adostasuna adierazten duen eskua, esku, gorputz, ok
✊	esku, estutu, ukabil, ukabil altxatua, ukabilkada
👊	esku, estutu, gorputz, ukabil, ukabilkada
🤛	ezkerrera, ukabil, ukabila ezkerrera begira
🤜	eskuinera, ukabil, ukabila eskuinera begira
🤚	altxatuta, esku-azpi, esku-azpia altxatuta
👋	esku, gorputz, mugitu, mugitzen ari den eskua
🤟	adarren keinu, adarren keinua, esku
👏	esku, gorputz, txalo, txaloka ari diren eskuak
👐	esku, esku irekiak, gorputz, ireki
🙌	altxatu, esku, eskuak altxatzen ari den pertsona, keinu, ospakizun
🤲	esku-azpiak elkartuta, otoitza
🙏	erregutzen ari diren eskuak, eskatu, eskerrak, mesedez, otoitz
🤝	adostasun, bilera, esku, esku-emate, esku-ematea
💅	azazkal, azazkaletako esmaltea, edertasun, esmalte, gorputz, kosmetika, manikura
👃	gorputz, sudurra
👣	arropa, aztarna, gorputz, oin, oin-aztarnak
👀	aurpegi, begi, begiak, gorputz
👁‍🗨	begi, begi bat duen bunbuiloa, bunbuilo, lekuko
🧠	adimentsu, argi, azkar, burmuina
🦴	eskeleto, hezurra
🦷	dentista, hortza
👅	gorputz, mingaina
👄	ahoa, ezpainak, gorputz
🦰	ilegorri, kaskagorri
🦱	afro, ile kizkur, kiribil, kizkur
🦳	gris, ile, ilezuri, zahar, zuri
🦲	burusoil, ilegabe, ilerik gabe, kimioterapia, soildu
💋	ezpainak, musu, musu-aztarna
💘	bihotz, bihotza geziarekin, gezi, kupido
💝	begizta, bihotz, bihotza begiztarekin, valentin
💖	bihotz, bihotz distiratsua, distira, urduri
💗	bihotz, handitu, handitzen ari den bihotza, taupada, urduri, urduritasun
💓	bihotz, bihotz-taupada, taupada
💞	bihotz, biraka, biraka ari diren bihotzak
💕	bi bihotz, bihotz, maitasun
💌	bihotz, gutun, maitasun, maitasun-gutuna, posta
💔	bihotz, bihotz hautsia, hautsi, hautsita
🧡	bihotz laranja, laranja
💛	bihotz, bihotz horia, hori
💚	berde, bihotz, bihotz berdea
💙	bihotz, bihotz urdina, urdin
💜	bihotz, bihotz morea, more
🖤	beltz, bihotz, bihotz beltza, zital, zorigaitz
💟	bihotz, bihotz apaindua
💤	komiki, lo, zzz
💢	amorruaren ikurra, haserre, komiki, sutan
💥	bum, eztanda, komiki
💦	izerdi, izerdi-tantatxoak, komiki, zipriztin
💨	bizi, komiki, korrika, lasterka, ziztu bizian
💫	izar, komiki, zorabiatuta
💬	bunbuilo, bunbuiloa, elkarrizketa, hizketa, komiki
💭	bunbuilo, burutazio, burutazio-bunbuiloa, komiki, pentsamendu
🥽	begien babes, igeriketa, igeriketako betaurrekoak, soldadura
🥼	esperimentu, laborategiko jantzia, mediku, zientzialari
👔	arropa, gorbata
👕	alkandora, arropa, elastiko, elastikoa
👖	arropa, galtza bakeroak, galtzak, prakak
🧣	lepoa, zapi
🧤	esku, eskularruak
🧥	berokia, jaka
🧦	galtzerdiak, galtzeta
👗	arropa, soinekoa
👘	arropa, kimonoa
👙	arropa, bikinia, igeri
👚	arropa, emakume, emakumeentzako arropa
👛	arropa, diru-zorroa, txanpon
👜	arropa, eskuko poltsa, poltsa
👝	arropa, poltsa, zorroa
🎒	bizkar-zorro, eskola, eskolako bizkar-zorroa, poltsa
👞	arropa, gizon, gizonentzako oinetakoa, oinetako
👟	arropa, kirol, korrika egiteko oinetakoa, oinetako
🥾	bota, kanpin, mendiko bota, motxila, xendazaletasun
🥿	mokasin, zapata lau, zapata laua, zapatila
👠	arropa, emakume, oinetako, oinetako takoidunak, takoi
👡	arropa, emakume, emakumeentzako sandalia, oinetako, sandalia
👢	arropa, bota, emakume, emakumeentzako bota, oinetako
👑	arropa, errege, erregina, koroa
👒	arropa, emakume, emakumeentzako kapelua, kapelu
🎩	altu, arropa, kapelu, kapelu altua
🧢	bixera
📿	arrosario, arrosarioa, erlijio, lepoko, otoitz
💄	ezpain-margoa, kosmetika, makillaje
💍	diamante, eraztuna
💎	bitxi, diamante, harribitxia
🐵	aurpegi, tximu, tximu-aurpegia
🐒	tximu, tximua
🦍	animalia, gorila
🐶	aurpegi, maskota, txakur, txakur-aurpegia
🐩	canichea, txakur
🐺	aurpegi, otso, otso-aurpegia
🦊	animalia, aurpegi, azeri, azeria
🦝	kuxkuxero, maltzur, mapatxe
🐱	aurpegi, katu, katu-aurpegia, maskota
🦁	aurpegi, lehoi, lehoi-aurpegia, leo, zodiako
🐯	aurpegi, tigre, tigre-aurpegia
🐅	tigrea
🐆	lehoinabar, lehoinabarra
🐴	aurpegi, zaldi, zaldi-aurpegia
🐎	lasterketa, zaldi, zaldia
🦄	adarbakar, adarbakar-aurpegia, aurpegi
🦓	marra, zebra
🦌	animalia, orein, oreina
🐮	aurpegi, behi, behi-aurpegi
🐂	idia, taurus, zezen, zodiako
🐃	bufalo, ur, ur-bufaloa
🐄	behi, behia
🐷	aurpegi, txerri, txerri-aurpegia
🐖	eme, txerri, txerria
🐗	ar, basurdea, txerri
🐽	aurpegi, sudur, txerri, txerri-sudurra
🐏	ardi, aries, zikiroa, zodiako
🐑	ardi, ardia, eme
🐐	ahuntza, capricornus, zodiako
🐪	dromedario, gamelua, tontor
🐫	bactria, bi tontorreko gamelua, gamelu, tontor
🦙	alpaka, artile, bikuina, guanako, llama
🦒	jirafa, orbanak
🐘	elefante, elefantea
🦏	animalia, errinozero, errinozeroa
🦛	hipopotamo
🐭	aurpegi, sagu, sagu-aurpegia
🐁	sagu, sagua
🐀	arratoi, arratoia
🐹	aurpegi, hamster, hamster-aurpegia, maskota
🐰	aurpegi, maskota, untxi, untxi-aurpegia
