_	dolna smužka, pódsmužka, smužka
🫱🏼	napšawo, ruka, ruka napšawo: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
🫱🏽	napšawo, ruka, ruka napšawo: wósrědna barwa kóže, wósrědna barwa kóže
🫱🏾	napšawo, ruka, ruka napšawo: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže
🫱🏿	napšawo, ruka, ruka napšawo: śamna barwa kóže, śamna barwa kóže
🫱🏻‍🫲🏼	dojadnanje, pódaśe ruki, pódaśe ruki: swětła barwa kóže, srjejźnoswětła barwa kóže, ruki, srjejźnoswětła barwa kóže, swětła barwa kóže, tśěsenje rukowu
🫱🏻‍🫲🏽	dojadnanje, pódaśe ruki, pódaśe ruki: swětła barwa kóže, wósrědna barwa kóže, ruki, swětła barwa kóže, tśěsenje rukowu, wósrědna barwa kóže
🫱🏻‍🫲🏾	dojadnanje, pódaśe ruki, pódaśe ruki: swětła barwa kóže, srjejźnośamna barwa kóže, ruki, srjejźnośamna barwa kóže, swětła barwa kóže, tśěsenje rukowu
🫱🏻‍🫲🏿	dojadnanje, pódaśe ruki, pódaśe ruki: swětła barwa kóže, śamna barwa kóže, ruki, swětła barwa kóže, tśěsenje rukowu, śamna barwa kóže
🫱🏼‍🫲🏻	dojadnanje, pódaśe ruki, pódaśe ruki: srjejźnoswětła barwa kóže, swětła barwa kóže, ruki, srjejźnoswětła barwa kóže, swětła barwa kóže, tśěsenje rukowu
🫱🏼‍🫲🏽	dojadnanje, pódaśe ruki, pódaśe ruki: srjejźnoswětła barwa kóže, wósrědna barwa kóže, ruki, srjejźnoswětła barwa kóže, tśěsenje rukowu, wósrědna barwa kóže
🫱🏼‍🫲🏾	dojadnanje, pódaśe ruki, pódaśe ruki: srjejźnoswětła barwa kóže, srjejźnośamna barwa kóže, ruki, srjejźnoswětła barwa kóže, srjejźnośamna barwa kóže, tśěsenje rukowu
