‾	siqisqa, takay, vinculum
👋🏽	maki, qinquykachasqa, qinquykachasqa maki: tunpa qara niraq, qinquykachay, tunpa qara niraq
👋🏾	maki, qinquykachasqa, qinquykachasqa maki: tunpa yana qara niraq, qinquykachay, tunpa yana qara niraq
👋🏿	maki, qinquykachasqa, qinquykachasqa maki: yana qara niraq, qinquykachay, yana qara niraq
🤚	jinchʼa, juqharisqa, juqharisqa maki
🤚🏻	chuya qara niraq, jinchʼa, juqharisqa, juqharisqa maki, juqharisqa maki: chuya qara niraq
🤚🏼	jinchʼa, juqharisqa, juqharisqa maki, juqharisqa maki: tunpa chuya qara niraq, tunpa chuya qara niraq
🤚🏽	jinchʼa, juqharisqa, juqharisqa maki, juqharisqa maki: tunpa qara niraq, tunpa qara niraq
🤚🏾	jinchʼa, juqharisqa, juqharisqa maki, juqharisqa maki: tunpa yana qara niraq, tunpa yana qara niraq
🤚🏿	jinchʼa, juqharisqa, juqharisqa maki, juqharisqa maki: yana qara niraq, yana qara niraq
🖐️	maki, maki iskay rukanakunawa mastasqa, maki iskay ruk’anakunawa mast’asqa, mastasqa, rukana
🖐🏻	chuya qara niraq, maki, maki iskay rukanakunawa mastasqa, maki iskay ruk’anakunawa mast’asqa, maki iskay ruk’anakunawa mast’asqa: chuya qara niraq, mastasqa, rukana
🖐🏼	maki, maki iskay rukanakunawa mastasqa, maki iskay ruk’anakunawa mast’asqa, maki iskay ruk’anakunawa mast’asqa: tunpa chuya qara niraq, mastasqa, rukana, tunpa chuya qara niraq
🖐🏽	maki, maki iskay rukanakunawa mastasqa, maki iskay ruk’anakunawa mast’asqa, maki iskay ruk’anakunawa mast’asqa: tunpa qara niraq, mastasqa, rukana, tunpa qara niraq
🖐🏾	maki, maki iskay rukanakunawa mastasqa, maki iskay ruk’anakunawa mast’asqa, maki iskay ruk’anakunawa mast’asqa: tunpa yana qara niraq, mastasqa, rukana, tunpa yana qara niraq
🖐🏿	maki, maki iskay rukanakunawa mastasqa, maki iskay ruk’anakunawa mast’asqa, maki iskay ruk’anakunawa mast’asqa: yana qara niraq, mastasqa, rukana, yana qara niraq
✋	huqharisqa maki, maki
✋🏻	chuya qara niraq, huqharisqa maki, huqharisqa maki: chuya qara niraq, maki
✋🏼	huqharisqa maki, huqharisqa maki: tunpa chuya qara niraq, maki, tunpa chuya qara niraq
✋🏽	huqharisqa maki, huqharisqa maki: tunpa qara niraq, maki, tunpa qara niraq
✋🏾	huqharisqa maki, huqharisqa maki: tunpa yana qara niraq, maki, tunpa yana qara niraq
✋🏿	huqharisqa maki, huqharisqa maki: yana qara niraq, maki, yana qara niraq
🖖	maki, rukana, spock, vulcano, vulcano napay
🖖🏻	chuya qara niraq, maki, rukana, spock, vulcano, vulcano napay, vulcano napay: chuya qara niraq
🖖🏼	maki, rukana, spock, tunpa chuya qara niraq, vulcano, vulcano napay, vulcano napay: tunpa chuya qara niraq
🖖🏽	maki, rukana, spock, tunpa qara niraq, vulcano, vulcano napay, vulcano napay: tunpa qara niraq
🖖🏾	maki, rukana, spock, tunpa yana qara niraq, vulcano, vulcano napay, vulcano napay: tunpa yana qara niraq
🖖🏿	maki, rukana, spock, vulcano, vulcano napay, vulcano napay: yana qara niraq, yana qara niraq
🫱	maki, paña, pañaman, pañaman maki
🫱🏻	chuya qara niraq, maki, paña, pañaman, pañaman maki: chuya qara niraq
🫱🏼	maki, paña, pañaman, pañaman maki: tunpa chuya qara niraq, tunpa chuya qara niraq
🫱🏽	maki, paña, pañaman, pañaman maki: tunpa qara niraq, tunpa qara niraq
🫱🏾	maki, paña, pañaman, pañaman maki: tunpa yana qara niraq, tunpa yana qara niraq
🫱🏿	maki, paña, pañaman, pañaman maki: yana qara niraq, yana qara niraq
🫱🏻‍🫲🏼	chuya qara niraq, huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: chuya qara niraq, tunpa chuya qara niraq, pipuyasqa makukunapura, tunpa chuya qara niraq, uyniy
🫱🏻‍🫲🏽	chuya qara niraq, huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: chuya qara niraq, tunpa qara niraq, pipuyasqa makukunapura, tunpa qara niraq, uyniy
🫱🏻‍🫲🏾	chuya qara niraq, huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: chuya qara niraq, tunpa yana qara niraq, pipuyasqa makukunapura, tunpa yana qara niraq, uyniy
🫱🏻‍🫲🏿	chuya qara niraq, huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: chuya qara niraq, yana qara niraq, pipuyasqa makukunapura, uyniy, yana qara niraq
🫱🏼‍🫲🏻	chuya qara niraq, huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa chuya qara niraq, chuya qara niraq, pipuyasqa makukunapura, tunpa chuya qara niraq, uyniy
🫱🏼‍🫲🏽	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa chuya qara niraq, tunpa qara niraq, pipuyasqa makukunapura, tunpa chuya qara niraq, tunpa qara niraq, uyniy
🫱🏼‍🫲🏾	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa chuya qara niraq, tunpa yana qara niraq, pipuyasqa makukunapura, tunpa chuya qara niraq, tunpa yana qara niraq, uyniy
🫱🏼‍🫲🏿	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa chuya qara niraq, yana qara niraq, pipuyasqa makukunapura, tunpa chuya qara niraq, uyniy, yana qara niraq
🫱🏽‍🫲🏻	chuya qara niraq, huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa qara niraq, chuya qara niraq, pipuyasqa makukunapura, tunpa qara niraq, uyniy
🫱🏽‍🫲🏼	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa qara niraq, tunpa chuya qara niraq, pipuyasqa makukunapura, tunpa chuya qara niraq, tunpa qara niraq, uyniy
🫱🏽‍🫲🏾	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa qara niraq, tunpa yana qara niraq, pipuyasqa makukunapura, tunpa qara niraq, tunpa yana qara niraq, uyniy
🫱🏽‍🫲🏿	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa qara niraq, yana qara niraq, pipuyasqa makukunapura, tunpa qara niraq, uyniy, yana qara niraq
🫱🏾‍🫲🏻	chuya qara niraq, huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa yana qara niraq, chuya qara niraq, pipuyasqa makukunapura, tunpa yana qara niraq, uyniy
🫱🏾‍🫲🏼	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa yana qara niraq, tunpa chuya qara niraq, pipuyasqa makukunapura, tunpa chuya qara niraq, tunpa yana qara niraq, uyniy
🫱🏾‍🫲🏽	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa yana qara niraq, tunpa qara niraq, pipuyasqa makukunapura, tunpa qara niraq, tunpa yana qara niraq, uyniy
🫱🏾‍🫲🏿	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: tunpa yana qara niraq, yana qara niraq, pipuyasqa makukunapura, tunpa yana qara niraq, uyniy, yana qara niraq
🫱🏿‍🫲🏻	chuya qara niraq, huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: yana qara niraq, chuya qara niraq, pipuyasqa makukunapura, uyniy, yana qara niraq
🫱🏿‍🫲🏼	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: yana qara niraq, tunpa chuya qara niraq, pipuyasqa makukunapura, tunpa chuya qara niraq, uyniy, yana qara niraq
🫱🏿‍🫲🏽	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: yana qara niraq, tunpa qara niraq, pipuyasqa makukunapura, tunpa qara niraq, uyniy, yana qara niraq
🫱🏿‍🫲🏾	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makikunapura: yana qara niraq, tunpa yana qara niraq, pipuyasqa makukunapura, tunpa yana qara niraq, uyniy, yana qara niraq
🫲	lluqi, lluqiman, lluqiman maki, maki
🫲🏻	chuya qara niraq, lluqi, lluqiman, lluqiman maki: chuya qara niraq, maki
🫲🏼	lluqi, lluqiman, lluqiman maki: tunpa chuya qara niraq, maki, tunpa chuya qara niraq
🫲🏽	lluqi, lluqiman, lluqiman maki: tunpa qara niraq, maki, tunpa qara niraq
🫲🏾	lluqi, lluqiman, lluqiman maki: tunpa yana qara niraq, maki, tunpa yana qara niraq
🫲🏿	lluqi, lluqiman, lluqiman maki: yana qara niraq, maki, yana qara niraq
🫳	chinkachiy, kachaykuy, uranman maki pampa
🫳🏻	chinkachiy, chuya qara niraq, kachaykuy, uranman maki pampa, uranman maki pampa: chuya qara niraq
🫳🏼	chinkachiy, kachaykuy, tunpa chuya qara niraq, uranman maki pampa, uranman maki pampa: tunpa chuya qara niraq
🫳🏽	chinkachiy, kachaykuy, tunpa qara niraq, uranman maki pampa, uranman maki pampa: tunpa qara niraq
🫳🏾	chinkachiy, kachaykuy, tunpa yana qara niraq, uranman maki pampa, uranman maki pampa: tunpa yana qara niraq
🫳🏿	chinkachiy, kachaykuy, uranman maki pampa, uranman maki pampa: yana qara niraq, yana qara niraq
🫴	hamuy, hanaqman maki pampa, hapiy, mañay, quy
🫴🏻	chuya qara niraq, hamuy, hanaqman maki pampa, hanaqman maki pampa: chuya qara niraq, hapiy, mañay, quy
🫴🏼	hamuy, hanaqman maki pampa, hanaqman maki pampa: tunpa chuya qara niraq, hapiy, mañay, quy, tunpa chuya qara niraq
🫴🏽	hamuy, hanaqman maki pampa, hanaqman maki pampa: tunpa qara niraq, hapiy, mañay, quy, tunpa qara niraq
🫴🏾	hamuy, hanaqman maki pampa, hanaqman maki pampa: tunpa yana qara niraq, hapiy, mañay, quy, tunpa yana qara niraq
🫴🏿	hamuy, hanaqman maki pampa, hanaqman maki pampa: yana qara niraq, hapiy, mañay, quy, yana qara niraq
👌	UYAKUY, UYAKUY maki, maki
👌🏻	UYAKUY, UYAKUY maki: chuya qara niraq, chuya qara niraq, maki
👌🏼	UYAKUY, UYAKUY maki: tunpa chuya qara niraq, maki, tunpa chuya qara niraq
👌🏽	UYAKUY, UYAKUY maki: tunpa qara niraq, maki, tunpa qara niraq
👌🏾	UYAKUY, UYAKUY maki: tunpa yana qara niraq, maki, tunpa yana qara niraq
👌🏿	UYAKUY, UYAKUY maki: yana qara niraq, maki, yana qara niraq
🤌	maki gestu, rukanakuna, sawkalli, tapurikuy, tʼipisqa, tʼipsisqa rukanakuna
🤌🏻	chuya qara niraq, maki gestu, rukanakuna, sawkalli, tapurikuy, tʼipisqa, tʼipsisqa rukanakuna, tʼipsisqa rukanakuna: chuya qara niraq
🤌🏼	maki gestu, rukanakuna, sawkalli, tapurikuy, tunpa chuya qara niraq, tʼipisqa, tʼipsisqa rukanakuna, tʼipsisqa rukanakuna: tunpa chuya qara niraq
🤌🏽	maki gestu, rukanakuna, sawkalli, tapurikuy, tunpa qara niraq, tʼipisqa, tʼipsisqa rukanakuna, tʼipsisqa rukanakuna: tunpa qara niraq
🤌🏾	maki gestu, rukanakuna, sawkalli, tapurikuy, tunpa yana qara niraq, tʼipisqa, tʼipsisqa rukanakuna, tʼipsisqa rukanakuna: tunpa yana qara niraq
🤌🏿	maki gestu, rukanakuna, sawkalli, tapurikuy, tʼipisqa, tʼipsisqa rukanakuna, tʼipsisqa rukanakuna: yana qara niraq, yana qara niraq
🤏	huchuy chanin, tʼipsisqa maki
🤏🏻	chuya qara niraq, huchuy chanin, tʼipsisqa maki, tʼipsisqa maki: chuya qara niraq
🤏🏼	huchuy chanin, tunpa chuya qara niraq, tʼipsisqa maki, tʼipsisqa maki: tunpa chuya qara niraq
🤏🏽	huchuy chanin, tunpa qara niraq, tʼipsisqa maki, tʼipsisqa maki: tunpa qara niraq
🤏🏾	huchuy chanin, tunpa yana qara niraq, tʼipsisqa maki, tʼipsisqa maki: tunpa yana qara niraq
🤏🏿	huchuy chanin, tʼipsisqa maki, tʼipsisqa maki: yana qara niraq, yana qara niraq
✌️	maki, v, yalli, yalli maki
✌🏻	chuya qara niraq, maki, v, yalli, yalli maki: chuya qara niraq
✌🏼	maki, tunpa chuya qara niraq, v, yalli, yalli maki: tunpa chuya qara niraq
✌🏽	maki, tunpa qara niraq, v, yalli, yalli maki: tunpa qara niraq
✌🏾	maki, tunpa yana qara niraq, v, yalli, yalli maki: tunpa yana qara niraq
✌🏿	maki, v, yalli, yalli maki: yana qara niraq, yana qara niraq
🤞	chakatasqa rukanakuna, chakatay, maki, rukana, suerte
🤞🏻	chakatasqa rukanakuna, chakatasqa rukanakuna: chuya qara niraq, chakatay, chuya qara niraq, maki, rukana, suerte
🤞🏼	chakatasqa rukanakuna, chakatasqa rukanakuna: tunpa chuya qara niraq, chakatay, maki, rukana, suerte, tunpa chuya qara niraq
🤞🏽	chakatasqa rukanakuna, chakatasqa rukanakuna: tunpa qara niraq, chakatay, maki, rukana, suerte, tunpa qara niraq
🤞🏾	chakatasqa rukanakuna, chakatasqa rukanakuna: tunpa yana qara niraq, chakatay, maki, rukana, suerte, tunpa yana qara niraq
🤞🏿	chakatasqa rukanakuna, chakatasqa rukanakuna: yana qara niraq, chakatay, maki, rukana, suerte, yana qara niraq
🫰	chanin, maki chakatasqa iskay rukanawan, munay, qullqi, sunqu
🫰🏻	chanin, chuya qara niraq, maki chakatasqa iskay rukanawan, maki chakatasqa iskay rukanawan: chuya qara niraq, munay, qullqi, sunqu
🫰🏼	chanin, maki chakatasqa iskay rukanawan, maki chakatasqa iskay rukanawan: tunpa chuya qara niraq, munay, qullqi, sunqu, tunpa chuya qara niraq
🫰🏽	chanin, maki chakatasqa iskay rukanawan, maki chakatasqa iskay rukanawan: tunpa qara niraq, munay, qullqi, sunqu, tunpa qara niraq
🫰🏾	chanin, maki chakatasqa iskay rukanawan, maki chakatasqa iskay rukanawan: tunpa yana qara niraq, munay, qullqi, sunqu, tunpa yana qara niraq
🫰🏿	chanin, maki chakatasqa iskay rukanawan, maki chakatasqa iskay rukanawan: yana qara niraq, munay, qullqi, sunqu, yana qara niraq
🤟	ILY, maki, munanki yupi
🤟🏻	ILY, chuya qara niraq, maki, munanki yupi, munanki yupi: chuya qara niraq
🤟🏼	ILY, maki, munanki yupi, munanki yupi: tunpa chuya qara niraq, tunpa chuya qara niraq
🤟🏽	ILY, maki, munanki yupi, munanki yupi: tunpa qara niraq, tunpa qara niraq
🤟🏾	ILY, maki, munanki yupi, munanki yupi: tunpa yana qara niraq, tunpa yana qara niraq
🤟🏿	ILY, maki, munanki yupi, munanki yupi: yana qara niraq, yana qara niraq
🤘	maki, rock, rukana, waqrakuna, waqrakuna unancha
🤘🏻	chuya qara niraq, maki, rock, rukana, waqrakuna, waqrakuna unancha, waqrakuna unancha: chuya qara niraq
🤘🏼	maki, rock, rukana, tunpa chuya qara niraq, waqrakuna, waqrakuna unancha, waqrakuna unancha: tunpa chuya qara niraq
🤘🏽	maki, rock, rukana, tunpa qara niraq, waqrakuna, waqrakuna unancha, waqrakuna unancha: tunpa qara niraq
🤘🏾	maki, rock, rukana, tunpa yana qara niraq, waqrakuna, waqrakuna unancha, waqrakuna unancha: tunpa yana qara niraq
🤘🏿	maki, rock, rukana, waqrakuna, waqrakuna unancha, waqrakuna unancha: yana qara niraq, yana qara niraq
🤙	maki, qayana, waqyawani maki
🤙🏻	chuya qara niraq, maki, qayana, waqyawani maki, waqyawani maki: chuya qara niraq
🤙🏼	maki, qayana, tunpa chuya qara niraq, waqyawani maki, waqyawani maki: tunpa chuya qara niraq
🤙🏽	maki, qayana, tunpa qara niraq, waqyawani maki, waqyawani maki: tunpa qara niraq
🤙🏾	maki, qayana, tunpa yana qara niraq, waqyawani maki, waqyawani maki: tunpa yana qara niraq
🤙🏿	maki, qayana, waqyawani maki, waqyawani maki: yana qara niraq, yana qara niraq
👈️	chimpuy, indice, jinchʼa, maki, rukana, tʼupsi rukʼanawan lluqʼiman chimpuy
👈🏻	chimpuy, chuya qara niraq, indice, jinchʼa, maki, rukana, tʼupsi rukʼanawan lluqʼiman chimpuy, tʼupsi rukʼanawan lluqʼiman chimpuy: chuya qara niraq
👈🏼	chimpuy, indice, jinchʼa, maki, rukana, tunpa chuya qara niraq, tʼupsi rukʼanawan lluqʼiman chimpuy, tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa chuya qara niraq
👈🏽	chimpuy, indice, jinchʼa, maki, rukana, tunpa qara niraq, tʼupsi rukʼanawan lluqʼiman chimpuy, tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa qara niraq
👈🏾	chimpuy, indice, jinchʼa, maki, rukana, tunpa yana qara niraq, tʼupsi rukʼanawan lluqʼiman chimpuy, tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa yana qara niraq
👈🏿	chimpuy, indice, jinchʼa, maki, rukana, tʼupsi rukʼanawan lluqʼiman chimpuy, tʼupsi rukʼanawan lluqʼiman chimpuy: yana qara niraq, yana qara niraq
👉️	chimpuy, indice, jinchʼa, maki, rukana, tʼupsi rukʼanawan pañaman chimpuy
👉🏻	chimpuy, chuya qara niraq, indice, jinchʼa, maki, rukana, tʼupsi rukʼanawan pañaman chimpuy, tʼupsi rukʼanawan pañaman chimpuy: chuya qara niraq
👉🏼	chimpuy, indice, jinchʼa, maki, rukana, tunpa chuya qara niraq, tʼupsi rukʼanawan pañaman chimpuy, tʼupsi rukʼanawan pañaman chimpuy: tunpa chuya qara niraq
👉🏽	chimpuy, indice, jinchʼa, maki, rukana, tunpa qara niraq, tʼupsi rukʼanawan pañaman chimpuy, tʼupsi rukʼanawan pañaman chimpuy: tunpa qara niraq
👉🏾	chimpuy, indice, jinchʼa, maki, rukana, tunpa yana qara niraq, tʼupsi rukʼanawan pañaman chimpuy, tʼupsi rukʼanawan pañaman chimpuy: tunpa yana qara niraq
👉🏿	chimpuy, indice, jinchʼa, maki, rukana, tʼupsi rukʼanawan pañaman chimpuy, tʼupsi rukʼanawan pañaman chimpuy: yana qara niraq, yana qara niraq
👆️	chimpuy, hanaq, jinchʼa, maki, rukana, tʼupsi rukʼanawan hanaqman chimpuy
👆🏻	chimpuy, chuya qara niraq, hanaq, jinchʼa, maki, rukana, tʼupsi rukʼanawan hanaqman chimpuy, tʼupsi rukʼanawan hanaqman chimpuy: chuya qara niraq
👆🏼	chimpuy, hanaq, jinchʼa, maki, rukana, tunpa chuya qara niraq, tʼupsi rukʼanawan hanaqman chimpuy, tʼupsi rukʼanawan hanaqman chimpuy: tunpa chuya qara niraq
👆🏽	chimpuy, hanaq, jinchʼa, maki, rukana, tunpa qara niraq, tʼupsi rukʼanawan hanaqman chimpuy, tʼupsi rukʼanawan hanaqman chimpuy: tunpa qara niraq
👆🏾	chimpuy, hanaq, jinchʼa, maki, rukana, tunpa yana qara niraq, tʼupsi rukʼanawan hanaqman chimpuy, tʼupsi rukʼanawan hanaqman chimpuy: tunpa yana qara niraq
👆🏿	chimpuy, hanaq, jinchʼa, maki, rukana, tʼupsi rukʼanawan hanaqman chimpuy, tʼupsi rukʼanawan hanaqman chimpuy: yana qara niraq, yana qara niraq
🖕	chawpi rukana, maki, rukana
🖕🏻	chawpi rukana, chawpi rukana: chuya qara niraq, chuya qara niraq, maki, rukana
🖕🏼	chawpi rukana, chawpi rukana: tunpa chuya qara niraq, maki, rukana, tunpa chuya qara niraq
🖕🏽	chawpi rukana, chawpi rukana: tunpa qara niraq, maki, rukana, tunpa qara niraq
🖕🏾	chawpi rukana, chawpi rukana: tunpa yana qara niraq, maki, rukana, tunpa yana qara niraq
🖕🏿	chawpi rukana, chawpi rukana: yana qara niraq, maki, rukana, yana qara niraq
👇️	chimpuy, jinchʼa, maki, rukana, tʼupsi rukʼanawan uranman chimpuy, uran
👇🏻	chimpuy, chuya qara niraq, jinchʼa, maki, rukana, tʼupsi rukʼanawan uranman chimpuy, tʼupsi rukʼanawan uranman chimpuy: chuya qara niraq, uran
👇🏼	chimpuy, jinchʼa, maki, rukana, tunpa chuya qara niraq, tʼupsi rukʼanawan uranman chimpuy, tʼupsi rukʼanawan uranman chimpuy: tunpa chuya qara niraq, uran
👇🏽	chimpuy, jinchʼa, maki, rukana, tunpa qara niraq, tʼupsi rukʼanawan uranman chimpuy, tʼupsi rukʼanawan uranman chimpuy: tunpa qara niraq, uran
👇🏾	chimpuy, jinchʼa, maki, rukana, tunpa yana qara niraq, tʼupsi rukʼanawan uranman chimpuy, tʼupsi rukʼanawan uranman chimpuy: tunpa yana qara niraq, uran
👇🏿	chimpuy, jinchʼa, maki, rukana, tʼupsi rukʼanawan uranman chimpuy, tʼupsi rukʼanawan uranman chimpuy: yana qara niraq, uran, yana qara niraq
☝️	chimpuy, hanaq, indice, maki, rukana, rukʼanawan hanaqman chimpuy
☝🏻	chimpuy, chuya qara niraq, hanaq, indice, maki, rukana, rukʼanawan hanaqman chimpuy, rukʼanawan hanaqman chimpuy: chuya qara niraq
☝🏼	chimpuy, hanaq, indice, maki, rukana, rukʼanawan hanaqman chimpuy, rukʼanawan hanaqman chimpuy: tunpa chuya qara niraq, tunpa chuya qara niraq
☝🏽	chimpuy, hanaq, indice, maki, rukana, rukʼanawan hanaqman chimpuy, rukʼanawan hanaqman chimpuy: tunpa qara niraq, tunpa qara niraq
☝🏾	chimpuy, hanaq, indice, maki, rukana, rukʼanawan hanaqman chimpuy, rukʼanawan hanaqman chimpuy: tunpa yana qara niraq, tunpa yana qara niraq
☝🏿	chimpuy, hanaq, indice, maki, rukana, rukʼanawan hanaqman chimpuy, rukʼanawan hanaqman chimpuy: yana qara niraq, yana qara niraq
🫵	chimpuy, indice rukanawan chimpusqa qawaqman, qam
🫵🏻	chimpuy, chuya qara niraq, indice rukanawan chimpusqa qawaqman, indice rukanawan chimpusqa qawaqman: chuya qara niraq, qam
🫵🏼	chimpuy, indice rukanawan chimpusqa qawaqman, indice rukanawan chimpusqa qawaqman: tunpa chuya qara niraq, qam, tunpa chuya qara niraq
🫵🏽	chimpuy, indice rukanawan chimpusqa qawaqman, indice rukanawan chimpusqa qawaqman: tunpa qara niraq, qam, tunpa qara niraq
🫵🏾	chimpuy, indice rukanawan chimpusqa qawaqman, indice rukanawan chimpusqa qawaqman: tunpa yana qara niraq, qam, tunpa yana qara niraq
🫵🏿	chimpuy, indice rukanawan chimpusqa qawaqman, indice rukanawan chimpusqa qawaqman: yana qara niraq, qam, yana qara niraq
👍️	+1, hanaq, hanaqpi rukʼana, maki, rukʼana
👍🏻	+1, chuya qara niraq, hanaq, hanaqpi rukʼana, hanaqpi rukʼana: chuya qara niraq, maki, rukʼana
👍🏼	+1, hanaq, hanaqpi rukʼana, hanaqpi rukʼana: tunpa chuya qara niraq, maki, rukʼana, tunpa chuya qara niraq
👍🏽	+1, hanaq, hanaqpi rukʼana, hanaqpi rukʼana: tunpa qara niraq, maki, rukʼana, tunpa qara niraq
👍🏾	+1, hanaq, hanaqpi rukʼana, hanaqpi rukʼana: tunpa yana qara niraq, maki, rukʼana, tunpa yana qara niraq
👍🏿	+1, hanaq, hanaqpi rukʼana, hanaqpi rukʼana: yana qara niraq, maki, rukʼana, yana qara niraq
👎️	-1, maki, rukʼana, uran, uranpi rukʼana
👎🏻	-1, chuya qara niraq, maki, rukʼana, uran, uranpi rukʼana, uranpi rukʼana: chuya qara niraq
👎🏼	-1, maki, rukʼana, tunpa chuya qara niraq, uran, uranpi rukʼana, uranpi rukʼana: tunpa chuya qara niraq
👎🏽	-1, maki, rukʼana, tunpa qara niraq, uran, uranpi rukʼana, uranpi rukʼana: tunpa qara niraq
👎🏾	-1, maki, rukʼana, tunpa yana qara niraq, uran, uranpi rukʼana, uranpi rukʼana: tunpa yana qara niraq
👎🏿	-1, maki, rukʼana, uran, uranpi rukʼana, uranpi rukʼana: yana qara niraq, yana qara niraq
✊	ch’uqmi, juqharisqa saqma, maki, pipuyasqa, saqma
✊🏻	chuya qara niraq, ch’uqmi, juqharisqa saqma, juqharisqa saqma: chuya qara niraq, maki, pipuyasqa, saqma
