‾	siqisqa, takay, vinculum
⊗	muyupi mirana, ruru, tensor
⊘	matematicas, muyupi rakina warra, rakina hina
⊙	muyupi chusu llamkaq
⊚	muyupi siwi llamkaq
⊛	asterisku, llamkaq, muyupi asterisku llamkaq
⊞	matematicas, tawakuchupi yapana, yapana hina
⊟	matematicas, qichuna hina, tawakuchupi qichuna
⊥	eet, falsum, hanaqman tachuela, tachuela
⊮	manam kallpa kanchu
⊰	huñu llamkaq, matematicas, ñawpaqman tinkuywan
⊱	huñu llamkaq, matematica, qipaman tinkuywan
⋭	huñu teoria, manam kaqlla hina ichuy huñu kikinwan tiyanchu, manam kaqlla hina uchuy huñu kikinwan tiyanchu, matematicas
⊶	kikinchay
⊹	ermitaño muyuchiy sapin, kikin huñusqa sapin, matematicas, tawakuchusqapa sapin
⊿	matematicas, paña kimsa kuchu, paña kimsa kuchuwan
⋁	disyuncion, logico, n-ary logico utaq
⋂	huñu llamkaq, interseccion, matematicas, n-ary interseccion
⋃	huñu llamkaq, matematicas, n-ary tinkiy, tinkiy
⋅	chusu llamkaq, llamkaq
⋆	llamkaq, quyllur llamkaq
⋈	iskaychasqa llamkaq, kawsaq tikuy, kawsaq tinkuy, moñowan corbata
⋒	huñu llamkaq, iskay tinkuy, matematicas, tinkuy
⋘	ancha aswan pisin, mana kikin, matematicas
⋙	ancha aswan kuraqnin, mana kikin, matematicas
⋮	elipsis, matematicas, sayampa kimsa qatipasqa chusukuna
⋯	chawpipi kinrampa kimsa qatipasqa chusukuna, elipsis
⋰	elipsis, hanaq pañaman siqi kimsa qatipasqa chusukuna, matematicas
⋱	elipsis, matematicas, sa qatipasqa chusukuna, uran pañaman siqi kimsa qatipasqa chusukuna
■	huntasqa tawakuchu
□	ukunwan tawakuchu
▢	ukunwan tawakuchu muyusqa kuchukunawan
▣	ukunwan tawakuchu huntasqa tawakuchuyuqwan
▤	tawakuchu kinrampawan huntasqa
▥	tawakuchu sayampawan huntasqa
▦	tawakuchu pusaq chakanawan huntasqa
▧	tawakuchu siqikunawan ukun lluqiman
▨	tawakuchu siqikunawan ukun pañaman
▩	tawakuchu huntasqa chiqa siqikunawan
▬	huntasqa saytu
▭	chusaq saytu
▮	huntasqa sayampa saytu
▰	huntasqa paralelogramo
▲	hanaq, huntasqa, huntasqa hanaqman ñawpiwan kimsakuchu, kimsakuchu, wachi
△	chusaq kimsakuchu ñawpi hanaqman
▴	huntasqa uchuy kimsakuchu ñawpi hanaqman
▵	chusaq uchuy kimsakuchu ñawpi hanaqman
▷	chusaq kimsakuchu ñawpi pañaman
▸	huntasqa uchuy kimsakuchu ñawpi pañaman
▹	chusaq uchuy kimsakuchu ñawpi pañaman, huntasqa uchuy kimsakuchu ñawpi pañaman
►	huntasqa ñawpi pañaman
▻	chusaq ñawpi pañaman
▼	huntasqa, huntasqa uranman ñawpiwan kimsakuchu, kimsakuchu, uran, wachi
▽	chusaq kimsakuchu ñawpi uranman
▾	huntasqa uchuy kimsakuchu ñawpi uranman
▿	chusaq uchuy kimsakuchu ñawpi uranman
◁	chusaq kimsakuchu ñawpi lluqiman
◂	huntasqa uchuy kimsakuchu ñawpi lluqiman
◃	chusaq uchuy kimsakuchu ñawpi lluqiman
◄	huntasqa ñawpi lluqiman
◅	chusaq ñawpi lluqiman
◆	huntasqa puytu
◇	chusaq puytu
◈	chusaq puytu huntasqa puytuwan
◉	chusaq muyu huntasqa muyuwan, concentricu huntasqa muyukuna, muyusqa chusu, ojo de pez
◊	puytu, rumbu
○	chusaq muyu, muyu, siwi
◌	chusuwan muyu
◍	muyu sayampa siqiwan
◎	concentruku muyukuna, concetriku muyukuna, iskay muyu, objetivo
●	huntasqa muyu, muyu
◐	muyu kuska chusaq huntasqa lluqipi
◑	muyu kuska chusaq huntasqa pañapi
◒	muyu kuska chusaq huntasqa uranpi
◓	muyu kuska chusaq huntasqa hanaqpi
◔	muyu huntasqa hanaq pañaman
◕	llapan huntasqa muyu ichaqa chusaq hanaq lluqiman
◖	lluqi kusqa muyupi huntasqa
◗	paña kusqa muyupi huntasqa
◘	tikrasqa siqichana yupi
◙	ukun tawakuchupi huntasqa muyuwan
◜	hanaq lluqipi muyusqa siqi
