🦵🏻	kick, limb, uhlobo-1-2, umlenze, umlenze: uhlobo-1-2
👩🏼‍🔧	odayisayo, owesifazane, uhlobo-3, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-3, umkhandi kagesi, uplamba
👩🏽‍🔧	odayisayo, owesifazane, uhlobo-4, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-4, umkhandi kagesi, uplamba
👩🏾‍🔧	odayisayo, owesifazane, uhlobo-5, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-5, umkhandi kagesi, uplamba
👩🏿‍🔧	odayisayo, owesifazane, uhlobo-6, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-6, umkhandi kagesi, uplamba
👨🏻‍🏭	ifemu, owesilisa, uhlobo-1-2, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-1-2
👨🏼‍🏭	ifemu, owesilisa, uhlobo-3, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-3
👨🏽‍🏭	ifemu, owesilisa, uhlobo-4, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-4
👨🏾‍🏭	ifemu, owesilisa, uhlobo-5, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-5
👨🏿‍🏭	ifemu, owesilisa, uhlobo-6, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-6
👩🏻‍🏭	ifemu, owesifazane, uhlobo-1-2, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-1-2
👩🏼‍🏭	ifemu, owesifazane, uhlobo-3, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-3
👩🏽‍🏭	ifemu, owesifazane, uhlobo-4, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-4
👩🏾‍🏭	ifemu, owesifazane, uhlobo-5, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-5
👩🏿‍🏭	ifemu, owesifazane, uhlobo-6, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-6
👨🏻‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-1-2, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-1-2, usomabhizinisi
👨🏼‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-3, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-3, usomabhizinisi
👨🏽‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-4, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-4, usomabhizinisi
👨🏾‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-5, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-5, usomabhizinisi
👨🏿‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-6, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-6, usomabhizinisi
👩🏻‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-1-2, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-1-2, usomabhizinisi
👩🏼‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-3, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-3, usomabhizinisi
👩🏽‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-4, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-4, usomabhizinisi
👩🏾‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-5, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-5, usomabhizinisi
👩🏿‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-6, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-6, usomabhizinisi
👨🏻‍🔬	indoda, uhlobo-1-2, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-1-2
👨🏼‍🔬	indoda, uhlobo-3, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-3
👨🏽‍🔬	indoda, uhlobo-4, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-4
👨🏾‍🔬	indoda, uhlobo-5, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-5
