🦵🏻	բաց գույնի մաշկ, հարվածել, ոտք, ոտք՝ բաց գույնի մաշկ, վերջույթ
👵🏽	ծեր, կին, միջին գույնի մաշկ, տարեց, տարեց կին՝ միջին գույնի մաշկ
👵🏾	ծեր, կին, միջին մուգ գույնի մաշկ, տարեց, տարեց կին՝ միջին մուգ գույնի մաշկ
👵🏿	ծեր, կին, մուգ գույնի մաշկ, տարեց, տարեց կին՝ մուգ գույնի մաշկ
👨🏻‍⚕	առողջապահություն, բաց գույնի մաշկ, բժիշկ, բժիշկ՝ բաց գույնի մաշկ, բժշկություն, տղամարդ
👨🏼‍⚕	առողջապահություն, բժիշկ, բժիշկ՝ միջին բաց գույնի մաշկ, բժշկություն, միջին բաց գույնի մաշկ, տղամարդ
👨🏽‍⚕	առողջապահություն, բժիշկ, բժիշկ՝ միջին գույնի մաշկ, բժշկություն, միջին գույնի մաշկ, տղամարդ
👨🏾‍⚕	առողջապահություն, բժիշկ, բժիշկ՝ միջին մուգ գույնի մաշկ, բժշկություն, միջին մուգ գույնի մաշկ, տղամարդ
👨🏿‍⚕	առողջապահություն, բժիշկ, բժիշկ՝ մուգ գույնի մաշկ, բժշկություն, մուգ գույնի մաշկ, տղամարդ
👩🏻‍⚕	առողջապահություն, բաց գույնի մաշկ, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ բաց գույնի մաշկ, կին
👩🏼‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
👩🏽‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
👩🏾‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
👩🏿‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ
👨🏻‍🎓	բաց գույնի մաշկ, ուսանող, ուսանող տղա՝ բաց գույնի մաշկ, տղա
👨🏼‍🎓	միջին բաց գույնի մաշկ, ուսանող, ուսանող տղա՝ միջին բաց գույնի մաշկ, տղա
👨🏽‍🎓	միջին գույնի մաշկ, ուսանող, ուսանող տղա՝ միջին գույնի մաշկ, տղա
👨🏾‍🎓	միջին մուգ գույնի մաշկ, ուսանող, ուսանող տղա՝ միջին մուգ գույնի մաշկ, տղա
👨🏿‍🎓	մուգ գույնի մաշկ, ուսանող, ուսանող տղա՝ մուգ գույնի մաշկ, տղա
👩🏻‍🎓	աղջիկ, բաց գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ բաց գույնի մաշկ
👩🏼‍🎓	աղջիկ, միջին բաց գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ միջին բաց գույնի մաշկ
👩🏽‍🎓	աղջիկ, միջին գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ միջին գույնի մաշկ
👩🏾‍🎓	աղջիկ, միջին մուգ գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ միջին մուգ գույնի մաշկ
👩🏿‍🎓	աղջիկ, մուգ գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ մուգ գույնի մաշկ
👨🏻‍🏫	բաց գույնի մաշկ, դասատու, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ բաց գույնի մաշկ
👨🏼‍🏫	դասատու, միջին բաց գույնի մաշկ, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ միջին բաց գույնի մաշկ
👨🏽‍🏫	դասատու, միջին գույնի մաշկ, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ միջին գույնի մաշկ
👨🏾‍🏫	դասատու, միջին մուգ գույնի մաշկ, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ միջին մուգ գույնի մաշկ
👨🏿‍🏫	դասատու, մուգ գույնի մաշկ, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ մուգ գույնի մաշկ
👩🏻‍🏫	բաց գույնի մաշկ, դասատու, կին, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ բաց գույնի մաշկ
👩🏼‍🏫	դասատու, կին, միջին բաց գույնի մաշկ, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ միջին բաց գույնի մաշկ
👩🏽‍🏫	դասատու, կին, միջին գույնի մաշկ, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ միջին գույնի մաշկ
👩🏾‍🏫	դասատու, կին, միջին մուգ գույնի մաշկ, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ միջին մուգ գույնի մաշկ
👩🏿‍🏫	դասատու, կին, մուգ գույնի մաշկ, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ մուգ գույնի մաշկ
👨🏻‍⚖	բաց գույնի մաշկ, դատավոր, տղամարդ, տղամարդ դատավոր՝ բաց գույնի մաշկ, օրենք
👨🏼‍⚖	դատավոր, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ դատավոր՝ միջին բաց գույնի մաշկ, օրենք
👨🏽‍⚖	դատավոր, միջին գույնի մաշկ, տղամարդ, տղամարդ դատավոր՝ միջին գույնի մաշկ, օրենք
👨🏾‍⚖	դատավոր, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ դատավոր՝ միջին մուգ գույնի մաշկ, օրենք
👨🏿‍⚖	դատավոր, մուգ գույնի մաշկ, տղամարդ, տղամարդ դատավոր՝ մուգ գույնի մաշկ, օրենք
👩🏻‍⚖	բաց գույնի մաշկ, դատավոր, կին, կին դատավոր՝ բաց գույնի մաշկ, օրենք
👩🏼‍⚖	դատավոր, կին, կին դատավոր՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, օրենք
👩🏽‍⚖	դատավոր, կին, կին դատավոր՝ միջին գույնի մաշկ, միջին գույնի մաշկ, օրենք
👩🏾‍⚖	դատավոր, կին, կին դատավոր՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, օրենք
👩🏿‍⚖	դատավոր, կին, կին դատավոր՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, օրենք
👨🏻‍🌾	ագարակատեր, այգեգործ, բաց գույնի մաշկ, գյուղացի, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ բաց գույնի մաշկ, ֆերմեր
👨🏼‍🌾	ագարակատեր, այգեգործ, գյուղացի, միջին բաց գույնի մաշկ, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ միջին բաց գույնի մաշկ, ֆերմեր
👨🏽‍🌾	ագարակատեր, այգեգործ, գյուղացի, միջին գույնի մաշկ, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ միջին գույնի մաշկ, ֆերմեր
