🦵🏻	բաց գույնի մաշկ, հարվածել, ոտք, ոտք՝ բաց գույնի մաշկ, վերջույթ
👩‍👧‍👧	աղջիկ, երեխա, ընտանիք, ընտանիք՝ կին աղջիկ և աղջիկ, կին, հայր, մայր
🤳🏻	բաց գույնի մաշկ, լուսանկար, հեռախոս, սելֆի, սելֆի՝ բաց գույնի մաշկ
🤳🏼	լուսանկար, հեռախոս, միջին բաց գույնի մաշկ, սելֆի, սելֆի՝ միջին բաց գույնի մաշկ
🤳🏽	լուսանկար, հեռախոս, միջին գույնի մաշկ, սելֆի, սելֆի՝ միջին գույնի մաշկ
🤳🏾	լուսանկար, հեռախոս, միջին մուգ գույնի մաշկ, սելֆի, սելֆի՝ միջին մուգ գույնի մաշկ
🤳🏿	լուսանկար, հեռախոս, մուգ գույնի մաշկ, սելֆի, սելֆի՝ մուգ գույնի մաշկ
💪🏻	բաց գույնի մաշկ, բիցեպս, կոմիքս, ձգել, ձգված բիցեպս, ձգված բիցեպս՝ բաց գույնի մաշկ, մարմին, մկան
💪🏼	բիցեպս, կոմիքս, ձգել, ձգված բիցեպս, ձգված բիցեպս՝ միջին բաց գույնի մաշկ, մարմին, միջին բաց գույնի մաշկ, մկան
💪🏽	բիցեպս, կոմիքս, ձգել, ձգված բիցեպս, ձգված բիցեպս՝ միջին գույնի մաշկ, մարմին, միջին գույնի մաշկ, մկան
💪🏾	բիցեպս, կոմիքս, ձգել, ձգված բիցեպս, ձգված բիցեպս՝ միջին մուգ գույնի մաշկ, մարմին, միջին մուգ գույնի մաշկ, մկան
💪🏿	բիցեպս, կոմիքս, ձգել, ձգված բիցեպս, ձգված բիցեպս՝ մուգ գույնի մաշկ, մարմին, մկան, մուգ գույնի մաշկ
👈🏻	բաց գույնի մաշկ, դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին, ուղղված, ցուցամատ
👈🏼	դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, ցուցամատ
👈🏽	դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ, ուղղված, ցուցամատ
👈🏾	դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, ցուցամատ
👈🏿	դեպի ձախ ուղղված ցուցամատ, դեպի ձախ ուղղված ցուցամատ՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, ցուցամատ
👉🏻	բաց գույնի մաշկ, դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին, ուղղված, ցուցամատ
👉🏼	դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, ցուցամատ
👉🏽	դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ, ուղղված, ցուցամատ
👉🏾	դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, ցուցամատ
👉🏿	դեպի աջ ուղղված ցուցամատ, դեպի աջ ուղղված ցուցամատ՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, ցուցամատ
☝🏻	բաց գույնի մաշկ, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ բաց գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, ուղղված, վեր, ցուցամատ
☝🏼	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ միջին բաց գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, վեր, ցուցամատ
☝🏽	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ միջին գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, միջին գույնի մաշկ, ուղղված, վեր, ցուցամատ
☝🏾	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ միջին մուգ գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, վեր, ցուցամատ
☝🏿	դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից, դեպի վեր ուղղված ցուցամատ ձեռքի ափի կողմից՝ մուգ գույնի մաշկ, ձեռք, ձեռքի ափ, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, վեր, ցուցամատ
👆🏻	բաց գույնի մաշկ, դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին, ուղղված, վեր, ցուցամատ
👆🏼	դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, վեր, ցուցամատ
👆🏽	դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ, ուղղված, վեր, ցուցամատ
👆🏾	դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, վեր, ցուցամատ
👆🏿	դեպի վեր ուղղված ցուցամատ, դեպի վեր ուղղված ցուցամատ՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, վեր, ցուցամատ
🖕🏻	բաց գույնի մաշկ, ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ բաց գույնի մաշկ
🖕🏼	ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🖕🏽	ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🖕🏾	ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🖕🏿	ձեռք, մատ, մարմին, մեջտեղի մատ, մեջտեղի մատ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
👇🏻	բաց գույնի մաշկ, դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին, ուղղված, վար, ցուցամատ
👇🏼	դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, ուղղված, վար, ցուցամատ
👇🏽	դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ, ուղղված, վար, ցուցամատ
👇🏾	դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, ուղղված, վար, ցուցամատ
👇🏿	դեպի վար ուղղված ցուցամատ, դեպի վար ուղղված ցուցամատ՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ, ուղղված, վար, ցուցամատ
✌🏻	v, բաց գույնի մաշկ, հաղթական ձեռք, հաղթական ձեռք՝ բաց գույնի մաշկ, հաղթանակ, ձեռք, մարմին
✌🏼	v, հաղթական ձեռք, հաղթական ձեռք՝ միջին բաց գույնի մաշկ, հաղթանակ, ձեռք, մարմին, միջին բաց գույնի մաշկ
✌🏽	v, հաղթական ձեռք, հաղթական ձեռք՝ միջին գույնի մաշկ, հաղթանակ, ձեռք, մարմին, միջին գույնի մաշկ
✌🏾	v, հաղթական ձեռք, հաղթական ձեռք՝ միջին մուգ գույնի մաշկ, հաղթանակ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
✌🏿	v, հաղթական ձեռք, հաղթական ձեռք՝ մուգ գույնի մաշկ, հաղթանակ, ձեռք, մարմին, մուգ գույնի մաշկ
🤞🏻	բաց գույնի մաշկ, խաչած մատներ, խաչած մատներ՝ բաց գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ
🤞🏼	խաչած մատներ, խաչած մատներ՝ միջին բաց գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ, միջին բաց գույնի մաշկ
🤞🏽	խաչած մատներ, խաչած մատներ՝ միջին գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ, միջին գույնի մաշկ
🤞🏾	խաչած մատներ, խաչած մատներ՝ միջին մուգ գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ, միջին մուգ գույնի մաշկ
🤞🏿	խաչած մատներ, խաչած մատներ՝ մուգ գույնի մաշկ, խաչել, հաջողություն, ձեռք, մատ, մուգ գույնի մաշկ
🖖🏻	բաց գույնի մաշկ, ձեռք, մատ, մարմին, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ բաց գույնի մաշկ
🖖🏼	ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ միջին բաց գույնի մաշկ
🖖🏽	ձեռք, մատ, մարմին, միջին գույնի մաշկ, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ միջին գույնի մաշկ
🖖🏾	ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ միջին մուգ գույնի մաշկ
🖖🏿	ձեռք, մատ, մարմին, մուգ գույնի մաշկ, վուլկան, վուլկանցիների ողջույն, վուլկանցիների ողջույն՝ մուգ գույնի մաշկ
🤘🏻	բաց գույնի մաշկ, եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին
🤘🏼	եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ
🤘🏽	եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ
🤘🏾	եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ
🤘🏿	եղջյուրներ, եղջյուրների նշան, եղջյուրների նշան՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ
🤙🏻	բաց գույնի մաշկ, զանգել, զանգիր ինձ, զանգիր ինձ՝ բաց գույնի մաշկ, ձեռք
🤙🏼	զանգել, զանգիր ինձ, զանգիր ինձ՝ միջին բաց գույնի մաշկ, ձեռք, միջին բաց գույնի մաշկ
🤙🏽	զանգել, զանգիր ինձ, զանգիր ինձ՝ միջին գույնի մաշկ, ձեռք, միջին գույնի մաշկ
🤙🏾	զանգել, զանգիր ինձ, զանգիր ինձ՝ միջին մուգ գույնի մաշկ, ձեռք, միջին մուգ գույնի մաշկ
🤙🏿	զանգել, զանգիր ինձ, զանգիր ինձ՝ մուգ գույնի մաշկ, ձեռք, մուգ գույնի մաշկ
🖐🏻	բաց գույնի մաշկ, բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ բաց գույնի մաշկ, ձեռք, մատ, մարմին
🖐🏼	բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մատ, մարմին, միջին բաց գույնի մաշկ
🖐🏽	բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ միջին գույնի մաշկ, ձեռք, մատ, մարմին, միջին գույնի մաշկ
🖐🏾	բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մատ, մարմին, միջին մուգ գույնի մաշկ
🖐🏿	բացված, բացված մատներով բարձրացված ձեռք, բացված մատներով բարձրացված ձեռք՝ մուգ գույնի մաշկ, ձեռք, մատ, մարմին, մուգ գույնի մաշկ
✋🏻	բարձրացված ձեռք, բարձրացված ձեռք՝ բաց գույնի մաշկ, բաց գույնի մաշկ, ձեռք, մարմին
✋🏼	բարձրացված ձեռք, բարձրացված ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
✋🏽	բարձրացված ձեռք, բարձրացված ձեռք՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
✋🏾	բարձրացված ձեռք, բարձրացված ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
✋🏿	բարձրացված ձեռք, բարձրացված ձեռք՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
👌🏻	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ բաց գույնի մաշկ, բաց գույնի մաշկ, ձեռք, մարմին
👌🏼	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
👌🏽	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
👌🏾	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
👌🏿	ok, ok ցույց տվող ձեռք, ok ցույց տվող ձեռք՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
👍🏻	+1, բաց գույնի մաշկ, բութ, բութ մատը վեր, բութ մատը վեր՝ բաց գույնի մաշկ, ձեռք, մարմին, վեր
👍🏼	+1, բութ, բութ մատը վեր, բութ մատը վեր՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ, վեր
👍🏽	+1, բութ, բութ մատը վեր, բութ մատը վեր՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ, վեր
👍🏾	+1, բութ, բութ մատը վեր, բութ մատը վեր՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ, վեր
👍🏿	+1, բութ, բութ մատը վեր, բութ մատը վեր՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ, վեր
👎🏻	-1, բաց գույնի մաշկ, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ բաց գույնի մաշկ, ձեռք, մարմին, ներքև
👎🏼	-1, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ, ներքև
👎🏽	-1, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ, ներքև
👎🏾	-1, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ, ներքև
👎🏿	-1, բութ մատ, բութ մատը ներքև, բութ մատը ներքև՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ, ներքև
✊🏻	բարձրացված բռունցք, բարձրացված բռունցք՝ բաց գույնի մաշկ, բաց գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, սեղմված
✊🏼	բարձրացված բռունցք, բարձրացված բռունցք՝ միջին բաց գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, միջին բաց գույնի մաշկ, սեղմված
✊🏽	բարձրացված բռունցք, բարձրացված բռունցք՝ միջին գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, միջին գույնի մաշկ, սեղմված
✊🏾	բարձրացված բռունցք, բարձրացված բռունցք՝ միջին մուգ գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, միջին մուգ գույնի մաշկ, սեղմված
✊🏿	բարձրացված բռունցք, բարձրացված բռունցք՝ մուգ գույնի մաշկ, բռունցք, հարված, ձեռք, մարմին, մուգ գույնի մաշկ, սեղմված
👊🏻	բաց գույնի մաշկ, բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ բաց գույնի մաշկ, հարված, ձեռք, մարմին, սեղմված
👊🏼	բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ միջին բաց գույնի մաշկ, հարված, ձեռք, մարմին, միջին բաց գույնի մաշկ, սեղմված
👊🏽	բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ միջին գույնի մաշկ, հարված, ձեռք, մարմին, միջին գույնի մաշկ, սեղմված
👊🏾	բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ միջին մուգ գույնի մաշկ, հարված, ձեռք, մարմին, միջին մուգ գույնի մաշկ, սեղմված
👊🏿	բռունցք, հանդիպակաց բռունցք, հանդիպակաց բռունցք՝ մուգ գույնի մաշկ, հարված, ձեռք, մարմին, մուգ գույնի մաշկ, սեղմված
🤛🏻	բաց գույնի մաշկ, բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ բաց գույնի մաշկ, ձախ
🤛🏼	բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ միջին բաց գույնի մաշկ, ձախ, միջին բաց գույնի մաշկ
🤛🏽	բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ միջին գույնի մաշկ, ձախ, միջին գույնի մաշկ
🤛🏾	բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ միջին մուգ գույնի մաշկ, ձախ, միջին մուգ գույնի մաշկ
🤛🏿	բռունցք, բռունցքը ձախ, բռունցքը ձախ՝ մուգ գույնի մաշկ, ձախ, մուգ գույնի մաշկ
🤜🏻	աջ, բաց գույնի մաշկ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ բաց գույնի մաշկ
🤜🏼	աջ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🤜🏽	աջ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🤜🏾	աջ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🤜🏿	աջ, բռունցք, բռունցքը աջ, բռունցքը աջ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🤚🏻	բարձրացրած, բաց գույնի մաշկ, ձեռքի ափ, ձեռքի ափ՝ բաց գույնի մաշկ
🤚🏼	բարձրացրած, ձեռքի ափ, ձեռքի ափ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🤚🏽	բարձրացրած, ձեռքի ափ, ձեռքի ափ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🤚🏾	բարձրացրած, ձեռքի ափ, ձեռքի ափ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🤚🏿	բարձրացրած, ձեռքի ափ, ձեռքի ափ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
👋🏻	բաց գույնի մաշկ, թափահարել, թափահարող, թափահարող ձեռք՝ բաց գույնի մաշկ, ձեռք, մարմին
👋🏼	թափահարել, թափահարող, թափահարող ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
👋🏽	թափահարել, թափահարող, թափահարող ձեռք՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
👋🏾	թափահարել, թափահարող, թափահարող ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
👋🏿	թափահարել, թափահարող, թափահարող ձեռք՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
🤟🏻	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ բաց գույնի մաշկ, բաց գույնի մաշկ, ձեռք, սեռ
🤟🏼	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ միջին բաց գույնի մաշկ, ձեռք, միջին բաց գույնի մաշկ, սեռ
🤟🏽	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ միջին գույնի մաշկ, ձեռք, միջին գույնի մաշկ, սեռ
🤟🏾	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ միջին մուգ գույնի մաշկ, ձեռք, միջին մուգ գույնի մաշկ, սեռ
🤟🏿	« սիրում եմ քեզ» նշան, « սիրում եմ քեզ» նշան՝ մուգ գույնի մաշկ, ձեռք, մուգ գույնի մաշկ, սեռ
✍🏻	բաց գույնի մաշկ, գրել, գրող ձեռք, գրող ձեռք՝ բաց գույնի մաշկ, ձեռք, մարմին
✍🏼	գրել, գրող ձեռք, գրող ձեռք՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
✍🏽	գրել, գրող ձեռք, գրող ձեռք՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
✍🏾	գրել, գրող ձեռք, գրող ձեռք՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
✍🏿	գրել, գրող ձեռք, գրող ձեռք՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
👏🏻	բաց գույնի մաշկ, ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ բաց գույնի մաշկ, ձեռք, մարմին
👏🏼	ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
👏🏽	ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
👏🏾	ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
👏🏿	ծափահարել, ծափահարող ձեռքեր, ծափահարող ձեռքեր՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
👐🏻	բաց, բաց գույնի մաշկ, բաց ձեռքեր, բաց ձեռքեր՝ բաց գույնի մաշկ, ձեռք, մարմին
👐🏼	բաց, բաց ձեռքեր, բաց ձեռքեր՝ միջին բաց գույնի մաշկ, ձեռք, մարմին, միջին բաց գույնի մաշկ
👐🏽	բաց, բաց ձեռքեր, բաց ձեռքեր՝ միջին գույնի մաշկ, ձեռք, մարմին, միջին գույնի մաշկ
👐🏾	բաց, բաց ձեռքեր, բաց ձեռքեր՝ միջին մուգ գույնի մաշկ, ձեռք, մարմին, միջին մուգ գույնի մաշկ
👐🏿	բաց, բաց ձեռքեր, բաց ձեռքեր՝ մուգ գույնի մաշկ, ձեռք, մարմին, մուգ գույնի մաշկ
🙌🏻	բարձրացված, բաց գույնի մաշկ, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ բաց գույնի մաշկ, մարմին, ուռա, տոն
🙌🏼	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ միջին բաց գույնի մաշկ, մարմին, միջին բաց գույնի մաշկ, ուռա, տոն
🙌🏽	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ միջին գույնի մաշկ, մարմին, միջին գույնի մաշկ, ուռա, տոն
🙌🏾	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ միջին մուգ գույնի մաշկ, մարմին, միջին մուգ գույնի մաշկ, ուռա, տոն
🙌🏿	բարձրացված, ժեստ, ձեռք, ձեռքերը բարձրացնող անձ, ձեռքերը բարձրացնող անձ՝ մուգ գույնի մաշկ, մարմին, մուգ գույնի մաշկ, ուռա, տոն
🤲🏻	աղոթք, բաց գույնի մաշկ, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ բաց գույնի մաշկ
🤲🏼	աղոթք, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🤲🏽	աղոթք, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🤲🏾	աղոթք, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🤲🏿	աղոթք, ձեռքերի ափերը վեր, ձեռքերի ափերը վեր՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🙏🏻	աղոթել, բաց գույնի մաշկ, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ բաց գույնի մաշկ, մարմին, միացված, շնորհակալություն
🙏🏼	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ միջին բաց գույնի մաշկ, մարմին, միացված, միջին բաց գույնի մաշկ, շնորհակալություն
🙏🏽	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ միջին գույնի մաշկ, մարմին, միացված, միջին գույնի մաշկ, շնորհակալություն
🙏🏾	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ միջին մուգ գույնի մաշկ, մարմին, միացված, միջին մուգ գույնի մաշկ, շնորհակալություն
🙏🏿	աղոթել, ժեստ, խնդրել, խնդրում եմ, խոնարհվել, ձեռք, ձեռքերի ափերը միացված, ձեռքերի ափերը միացված՝ մուգ գույնի մաշկ, մարմին, միացված, մուգ գույնի մաշկ, շնորհակալություն
💅🏻	բաց գույնի մաշկ, եղունգ, եղունգների լաքապատում, եղունգների լաքապատում՝ բաց գույնի մաշկ, խնամք, կոսմետիկա, հղկել, մատնահարդարում, մարմին
💅🏼	եղունգ, եղունգների լաքապատում, եղունգների լաքապատում՝ միջին բաց գույնի մաշկ, խնամք, կոսմետիկա, հղկել, մատնահարդարում, մարմին, միջին բաց գույնի մաշկ
💅🏽	եղունգ, եղունգների լաքապատում, եղունգների լաքապատում՝ միջին գույնի մաշկ, խնամք, կոսմետիկա, հղկել, մատնահարդարում, մարմին, միջին գույնի մաշկ
💅🏾	եղունգ, եղունգների լաքապատում, եղունգների լաքապատում՝ միջին մուգ գույնի մաշկ, խնամք, կոսմետիկա, հղկել, մատնահարդարում, մարմին, միջին մուգ գույնի մաշկ
