👩🏿‍🍳	6 odos tipas, moteris, virėja, virėja: 6 odos tipas, šefė
👨🏻‍🔧	1 ir 2 odos tipai, elektrikas, mechanikas, mechanikas: 1 ir 2 odos tipai, prekybininkas, santechnikas, vyras
👨🏼‍🔧	3 odos tipas, elektrikas, mechanikas, mechanikas: 3 odos tipas, prekybininkas, santechnikas, vyras
👨🏽‍🔧	4 odos tipas, elektrikas, mechanikas, mechanikas: 4 odos tipas, prekybininkas, santechnikas, vyras
👨🏾‍🔧	5 odos tipas, elektrikas, mechanikas, mechanikas: 5 odos tipas, prekybininkas, santechnikas, vyras
👨🏿‍🔧	6 odos tipas, elektrikas, mechanikas, mechanikas: 6 odos tipas, prekybininkas, santechnikas, vyras
👩🏻‍🔧	1 ir 2 odos tipai, elektrikė, mechanikė, mechanikė: 1 ir 2 odos tipai, moteris, prekybininkė, santechnikė
👩🏼‍🔧	3 odos tipas, elektrikė, mechanikė, mechanikė: 3 odos tipas, moteris, prekybininkė, santechnikė
👩🏽‍🔧	4 odos tipas, elektrikė, mechanikė, mechanikė: 4 odos tipas, moteris, prekybininkė, santechnikė
👩🏾‍🔧	5 odos tipas, elektrikė, mechanikė, mechanikė: 5 odos tipas, moteris, prekybininkė, santechnikė
👩🏿‍🔧	6 odos tipas, elektrikė, mechanikė, mechanikė: 6 odos tipas, moteris, prekybininkė, santechnikė
👨🏻‍🏭	1 ir 2 odos tipai, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 1 ir 2 odos tipai, gamyba, susirinkimas, vyras
👨🏼‍🏭	3 odos tipas, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 3 odos tipas, gamyba, susirinkimas, vyras
👨🏽‍🏭	4 odos tipas, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 4 odos tipas, gamyba, susirinkimas, vyras
👨🏾‍🏭	5 odos tipas, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 5 odos tipas, gamyba, susirinkimas, vyras
👨🏿‍🏭	6 odos tipas, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 6 odos tipas, gamyba, susirinkimas, vyras
👩🏻‍🏭	1 ir 2 odos tipai, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 1 ir 2 odos tipai, gamyba, moteris, susirinkimas
👩🏼‍🏭	3 odos tipas, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 3 odos tipas, gamyba, moteris, susirinkimas
👩🏽‍🏭	4 odos tipas, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 4 odos tipas, gamyba, moteris, susirinkimas
👩🏾‍🏭	5 odos tipas, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 5 odos tipas, gamyba, moteris, susirinkimas
👩🏿‍🏭	6 odos tipas, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 6 odos tipas, gamyba, moteris, susirinkimas
👨🏻‍💼	1 ir 2 odos tipai, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 1 ir 2 odos tipai, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏼‍💼	3 odos tipas, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 3 odos tipas, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏽‍💼	4 odos tipas, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 4 odos tipas, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏾‍💼	5 odos tipas, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 5 odos tipas, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏿‍💼	6 odos tipas, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 6 odos tipas, darbas įstaigoje, vadybininkas, verslas, vyras
👩🏻‍💼	1 ir 2 odos tipai, architektė, biuro darbuotoja, biuro darbuotoja: 1 ir 2 odos tipai, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏼‍💼	3 odos tipas, architektė, biuro darbuotoja, biuro darbuotoja: 3 odos tipas, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏽‍💼	4 odos tipas, architektė, biuro darbuotoja, biuro darbuotoja: 4 odos tipas, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏾‍💼	5 odos tipas, architektė, biuro darbuotoja, biuro darbuotoja: 5 odos tipas, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏿‍💼	6 odos tipas, architektė, biuro darbuotoja, biuro darbuotoja: 6 odos tipas, darbas įstaigoje, moteris, vadybininkė, verslas
👨🏻‍🔬	1 ir 2 odos tipai, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 1 ir 2 odos tipai, vyras
👨🏼‍🔬	3 odos tipas, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 3 odos tipas, vyras
👨🏽‍🔬	4 odos tipas, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 4 odos tipas, vyras
👨🏾‍🔬	5 odos tipas, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 5 odos tipas, vyras
👨🏿‍🔬	6 odos tipas, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 6 odos tipas, vyras
👩🏻‍🔬	1 ir 2 odos tipai, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 1 ir 2 odos tipai, moteris
👩🏼‍🔬	3 odos tipas, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 3 odos tipas, moteris
👩🏽‍🔬	4 odos tipas, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 4 odos tipas, moteris
👩🏾‍🔬	5 odos tipas, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 5 odos tipas, moteris
👩🏿‍🔬	6 odos tipas, biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: 6 odos tipas, moteris
👨🏻‍💻	1 ir 2 odos tipai, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 1 ir 2 odos tipai, vyras
👨🏼‍💻	3 odos tipas, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 3 odos tipas, vyras
👨🏽‍💻	4 odos tipas, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 4 odos tipas, vyras
👨🏾‍💻	5 odos tipas, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 5 odos tipas, vyras
👨🏿‍💻	6 odos tipas, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: 6 odos tipas, vyras
👩🏻‍💻	1 ir 2 odos tipai, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 1 ir 2 odos tipai
👩🏼‍💻	3 odos tipas, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 3 odos tipas
👩🏽‍💻	4 odos tipas, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 4 odos tipas
👩🏾‍💻	5 odos tipas, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 5 odos tipas
👩🏿‍💻	6 odos tipas, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: 6 odos tipas
👨🏻‍🎤	1 ir 2 odos tipai, aktorius, dainininkas, dainininkas: 1 ir 2 odos tipai, daininkas, linksmintojas, rokas, vyras, žvaigždė
👨🏼‍🎤	3 odos tipas, aktorius, dainininkas, dainininkas: 3 odos tipas, daininkas, linksmintojas, rokas, vyras, žvaigždė
