🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
🎅	باپ, جشن, سانتا, سانتا کلاز, کرسمس
🤶	مدر, مدر کرسمس, کرسمس
🦸	اچھا, سپر پاور, سپر ہیرو, ہیرو, ہیروئن
🦸‍♀	اچھا, خاتون سپر ہیرو, سپر پاور, عورت, ہیرو, ہیروئن
🦸‍♂	اچھا, سپر پاور, مرد, مرد سپر ہیرو, ہیرو
🦹	برائی, سپر ولن, سپر پاور, مجرم, ولن
🦹‍♀	برائی, خاتون سپر ولن, سپر پاور, عورت, مجرم, ولن
🦹‍♂	برائی, سپر پاور, مجرم, مرد, مرد سپر ولن, ولن
🧙	جادوگر, چادوگرنی
🧙‍♀	جادوگر عورت, جادوگرنی, چڑیل
🧙‍♂	جادوگر, جادوگر آدمی
🧚	اوبیران, ٹائٹینیا, پری, پک
🧚‍♀	ٹائٹینیا, پری عورت
🧚‍♂	اوبیران, مرد پری, پک
🧛	خون خوار, زندہ, ڈریکلا
🧛‍♀	خون خوار عورت, زندہ
🧛‍♂	خون خوار آدمی, زندہ, ڈریکلا
🧜	جل پری, پانی کے جاندار
🧜‍♀	جل پری, سمندری عورت
🧜‍♂	جل مانس, سمندری دیوتا
🧝	جادوئی, پریت
🧝‍♀	جادوئی, پریت عورت
🧝‍♂	جادوئی, پریت آدمی
🧞	جن
🧞‍♀	جن, عورت جن
🧞‍♂	جن, مرد جن
🧟	زندہ, زندہ مردہ, چلتا پھرتا مردہ
🧟‍♀	زندہ, زندہ مردہ عورت, چلتا پھرتا مردہ
🧟‍♂	زندہ, زندہ مردہ مرد, چلتا پھرتا مردہ
🙍	اشارہ, تیوری, تیوری چڑھائے شخص
🙍‍♂	مرد, ناراضگی ظاہر کرتا ہوا مرد, گھورتا ہوا مرد, گھورنا
🙍‍♀	عورت, ناراضگی ظاہر کرتی ہوئی عورت, گھورتی ہوئی عورت, گھورنا
🙎	اشارہ, نا شاد, نا شاد شخص
🙎‍♂	اداسی ظاہر کرنا, مرد, منھ بسورنا, منہ بسورتا ہوا مرد, ہونٹ دبانا
🙎‍♀	اداسی ظاہر کرنا, عورت, منھ بسورنا, منہ بسورتی ہوا عورت, ہونٹ دبانا
🙅	منع کرنا, نہیں, نہیں کا اشارہ, ہاتھ
🙅‍♂	اشارہ, روکنا, مرد, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد
🙅‍♀	اشارہ, روکنا, عورت, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت
🙆	ٹھیک ہے, ہاتھ, ہاں کا اشارہ
🙆‍♂	اجازت دینا, اشارہ, اوکے, مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد
🙆‍♀	اجازت دینا, اشارہ, اوکے, عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت
💁	مدد, معلومات, معلوماتی ڈیسک والا بندہ
💁‍♂	تجویر, تجویز دیتا ہوا مرد, رائے, مرد, معلومات
💁‍♀	تجویر, تجویز دیتی ہوئی عورت, رائے, عورت, معلومات
🙋	اٹھانا, خوش, ہاتھ, ہاتھ بلند کیے خوش شخص
🙋‍♂	اشارہ, مرد, ہاتھ اٹھاتا ہوا مرد, ہاتھ اٹھانا
🙋‍♀	اشارہ, عورت, ہاتھ اٹھاتی ہوئی عورت, ہاتھ اٹھانا
🙇	اشارہ, جھکنا, جھکے ہوئے شخص, معافی
🙇‍♂	افسوس, بہت زیادہ جھکا ہوا مرد, مرد, معافی, معذرت
🙇‍♀	افسوس, بہت زیادہ جھکی ہوئی عورت, عورت, معافی, معذرت
🤦	بے یقینی, غصہ, پیشانی, پیشانی پر ہاتھ, چہرہ, ہاتھ
🤦‍♂	بے یقینی, شرمندگی, شرمندگی ظاہر کرتا ہوا مرد, مرد, پیشانی
🤦‍♀	بے یقینی, شرمندگی, شرمندگی ظاہر کرتی ہوئی عورت, عورت, پیشانی
🤷	بے پرواہی, لا علمی, کندھے اچکانا
🤷‍♂	بے پرواہی, شک, لا علمی, کندھے اچکاتا ہوا مرد, کندھے اچکانا
🤷‍♀	بے پرواہی, شک, لا علمی, کندھے اچکاتی ہوئی عورت, کندھے اچکانا
💆	مساج, چہرے کا مساج
💆‍♂	مالش, مرد, مساج, چہرا, چہرے کی مالش کراتا ہوا مرد
💆‍♀	عورت, مالش, مساج, چہرا, چہرے کی مالش کراتی ہوئی عورت
💇	حجام, حجامت
💇‍♂	بال کٹواتا ہوا مرد, بال کٹوانا, حجام, مرد
💇‍♀	بال کٹواتی ہوئی عورت, بال کٹوانا, حجام, عورت
🚶	شخص, پیدل, پیدل چلتا شخص
🚶‍♂	مرد, ٹہلنا, پیدل چلتا ہوا مرد, پیدل چلنا, چہل قدمی کرنا
🚶‍♀	عورت, ٹہلنا, پیدل چلتی ہوئی عورت, پیدل چلنا, چہل قدمی کرنا
🏃	دوڑتا ہوا شخص, دوڑنا, شخص
🏃‍♂	بھاگنا, تیز چلنا, دوڑتا ہوا مرد, دوڑنا, مرد
🏃‍♀	بھاگنا, تیز چلنا, دوڑتی ہوئی عورت, دوڑنا, عورت
💃	لڑکی, ڈانس, ڈانسر
🕺	آدمی, ناچ, ناچتا ہوا شخص
👯	عورت, لڑکی, پارٹی کرتی عورتیں, ڈانس
👯‍♂	تفریح, مرد, پارٹی, ڈانس, ڈانس کرتے ہوئے مرد
👯‍♀	تفریح, عورت, پارٹی, ڈانس, ڈانس کرتی ہوئی عورتیں
🧖	ایک شخص بھاپ سے بھرے کمرے میں, بھاپ سے بھرا, غسل خانہ
🧖‍♀	ایک خاتون بھاپ سے بھرے کمرے میں, بھاپ سے بھرا, غسل خانہ
🧖‍♂	ایک مرد بھاپ سے بھرے کمرے میں, بھاپ سے بھرا, غسل خانہ
🧗	چڑھتا ہوا شخص, چڑھنے والا
🧗‍♀	چرھنے والی, چڑھتی ہوئی عورت
🧗‍♂	چڑھتا ہوا آدمی, چڑھنے والا
🧘	مراقبہ, پالتی مار کر بیٹھا شخص, یوگا
🧘‍♀	مراقبہ, پالتی مار کر بیٹھی عورت, یوگا
🧘‍♂	مراقبہ, پالتی مار کر بیٹھا آدمی, یوگا
🛀	باتھ ٹب, نہاتا ہوا شخص
🛌	بستر میں لیٹا شخص, نیند, ہوٹل
👤	آدمی کا خاکہ, خاکہ
👥	آدمیوں کے خاکے, خاکہ
🤺	بندہ, تلوار, تلوار بازی, کھیل
🏇	دوڑ, کھیل, گھوڑا, گھڑ دوڑ
🏌‍♂	مرد, کھلاڑی, کھیلنا, گالف, گالف کھیلتا ہوا مرد
🏌‍♀	عورت, کھلاڑی, کھیلنا, گالف, گالف کھیلتی ہوئی عورت
🏄‍♂	تختہ, سرفنگ کرتا ہوا مرد, مرد, پانی, کھیلنا
🏄‍♀	تختہ, سرفنگ کرتی ہوئی عورت, عورت, پانی, کھیلنا
🚣	سواری, چپوؤں والی کشتی, کشتی
🚣‍♂	سواری, مرد, پانی, کشتی, کشتی چلاتا ہوا مرد
🚣‍♀	سواری, عورت, پانی, کشتی, کشتی چلاتی ہوئی عورت
🏊‍♂	تیراکی, تیراکی کرتا ہوا مرد, مرد, پانی
🏊‍♀	تیراکی, تیراکی کرتی ہوئی عورت, عورت, پانی
⛹‍♂	بال, بال سے کھیلتا ہوا مرد, مرد, میدان, کھیلنا
⛹‍♀	بال, بال سے کھیلتی ہوئی عورت, عورت, میدان, کھیلنا
🏋‍♂	اٹھانا, جم, مرد, وزن, وزن اٹھاتا ہوا مرد
🏋‍♀	اٹھانا, جم, عورت, وزن, وزن اٹھاتی ہوئی عورت
🚴	سائیکل, سائیکل سوار, سوار
🚴‍♂	سائیکل, سائیکل سوار مرد, سڑک, مرد, چلانا
🚴‍♀	سائیکل, سائیکل سوار عورت, سڑک, عورت, چلانا
🚵	بائیک, سائیکل, سوار, ماؤنٹین, ماؤنٹین بائیک
🚵‍♂	سائیکل, ماؤنٹین, ماؤنٹین بائیک پر سوار مرد, مرد, چلانا
🚵‍♀	سائیکل, عورت, ماؤنٹین, ماؤنٹین بائیک پر سوار عورت, چلانا
🤸	بندہ, جمناسٹکس, قلابازی, قلابازی لگاتا شخص, کھیل
🤸‍♂	جمناسٹکس, قلابازی, قلابازی کھاتا ہوا مرد, مرد, کھیل
🤸‍♀	جمناسٹکس, عورت, قلابازی, قلابازی کھاتی ہوئی عورت, کھیل
🤼	بندہ, پہلوان, کشتی, کھیل
🤼‍♂	مرد, مردوں کی کشتی, پہلوان, کشتی, کھیل
🤼‍♀	عورت, عورتوں کی کشتی, پہلوان, کشتی, کھیل
🤽	بندہ, واٹر پولو, پانی, پولو, کھیل
🤽‍♂	مرد, واٹر پولو کھیلتا ہوا مرد, پانی, پولو, کھیل
🤽‍♀	عورت, واٹر پولو کھیلتی ہوئی عورت, پانی, پولو, کھیل
🤾	بال, بندہ, کھیل, ہینڈ بال
🤾‍♂	مرد, میدان, کھیل, ہینڈ بال, ہینڈ بال کھیلتا ہوا مرد
🤾‍♀	عورت, میدان, کھیل, ہینڈ بال, ہینڈ بال کھیلتی ہوئی عورت
🤹	توازن, شعبدہ بازی, مداری, مہارت
🤹‍♂	شعبدہ باز مرد, شعبدہ بازی, مداری, مرد, کھیل
🤹‍♀	شعبدہ باز عورت, شعبدہ بازی, عورت, مداری, کھیل
👫	تھامنا, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت
👬	تھامنا, جوڑا, مرد, ہاتھ, ہاتھ تھامے دو مرد
👭	تھامنا, جوڑا, عورتیں, ہاتھ, ہاتھ تھامے دو عورتیں
💏	بوسہ, جوڑا, رومانس
💑	جوڑا, دل, دل اور جوڑا, رومانس
🤳	تصویر, سیلفی, فون, کیمرہ
💪	بازوؤں کے ڈولے, جسم, ڈولے
🦵	عضو, ٹانگ, ٹھوکر
🦶	ٹھوکر, پاؤں, پاؤں مارنا
🖕	جسم, درمیانی انگلی, ہاتھ
🤞	امید, انگلی, قسمت, کراس, کراس بناتی انگلیاں
🖖	انگلی, اَتش فشاں, جسم, وولکن سلیوٹ, ہاتھ
🤘	انگلی, جسم, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان
🤙	اشارہ, کال, کال کرنے کا اشارہ, ہاتھ
✋	بلند ہاتھ, جسم, ہاتھ
👌	اوکے, اوکے کا نشان بناتا ہاتھ, جسم, نشان, ہاتھ
✊	بلند مُٹھی, جسم, مٹھی, ہاتھ
👊	آتا ہوا مُکا, جسم, مکا, ہاتھ
🤛	بائیں سمت, بائیں سمت میں مکا, مکا
🤜	دائیں سمت, دائیں سمت میں مکا, مکا
🤚	پشت, کھڑا, کھڑے ہاتھ کی پشت, ہاتھ
👋	جسم, لہرانا, ہاتھ, ہاتھ لہرانا
🤟	آپ سے محبت, آپ سے محبت کا اشارہ, ہاتھ
👏	تالی, تالیاں بجاتے ہاتھ, جسم, ہاتھ
👐	جسم, کھلے ہاتھ, کھولے, ہاتھ
🙌	جسم, جشن, ہاتھ, ہاتھ بلند کیے ہوئے شخص
🤲	ایک ساتھ ہتھیلیاں اٹھانا, نماز
🙏	اشارہ, بندھے ہاتھ, دعا, شکریہ
🤝	ملانا, ہاتھ, ہاتھ ملانا
💅	جسم, خیال, ناخن, نیل پالش, پالش
👃	جسم, ناک
👣	جسم, قدم, قدموں کے نشانات, نشان
👀	آنکھیں, جسم
👁‍🗨	آنکھ, دھمکی, دھمکی روکنے کی مہم, مہم
🧠	دماغ, ذہین
🦴	ڈھانچا, ہڈی
🦷	دانت, معالج دندان
👅	جسم, زبان
👄	جسم, منہ
🦰	ادرک, سرخ بال, سرخ سر
🦱	افریقی, گھنگھریالے, گھنگھریالے بال, گیسو
🦳	بال, بوڑھا, خاکستری, سفید, سفید بال
🦲	شیو کیا ہوا, کوئی بال نہیں, کیمیائی علاج, گنجا
💋	بوسہ, بوسے کا نشان, ہونٹ
💘	تیر, تیر پیوست ہوا دل, دل, زخمی
💝	دل, ربن, ربن باندھے دل
💖	دل, پر جوش, چمکتا دل
💗	بڑھتا ہوا دل, دل, نروس, پر جوش
💓	دل, دھڑکتا دل, دھڑکن
💞	دل, گھومتے دل, گھومنا
💕	دل, دو دل, پیار
💌	خط, رومانس, محبت بھرا خط, پیار
💔	دل, ٹوٹا ہوا, ٹوٹا ہوا دل
🧡	نارنجی, نارنجی دل
💛	دل, پیلا, پیلا دل
💚	دل, سبز, سبز دل
💙	دل, نیلا, نیلا دل
💜	ارغوانی, ارغوانی دل, دل
🖤	برا, دل, شیطانی, کالا, کالا دل
💟	دل, دل کی ڈیکوریشن, ڈیکوریشن
💤	زززززز, لفظی علامت, نیند
💢	علامت, غصہ, غصے کی علامت
💥	تصادم, ٹکر
💦	قطرے, پسینہ, پسینے کے قطرے
💨	تیزی, تیزی سے دوڑنا, دوڑنا
💫	سر چکرانا, علامت
💬	علامت, غبارہ, گفتگو, گفتگو غبارہ
💭	سوچ, سوچ غبارہ, علامت, غبارہ
🥽	آنکھوں کا تحفظ, تیراکی, ویلڈنگ, گاگل
🥼	تجربہ, سائنسدان, لیب میں پہننے والا کوٹ, ڈاکٹر
👔	لباس, نیک ٹائی, نیکٹائی
👕	لباس, ٹی شرٹ
👖	جینز, لباس
🧣	اسکارف, گردن
🧤	دستانے
🧥	جیکٹ, کوٹ
🧦	جراب, جرابیں
👗	لباس, ڈریس, کپڑے
👘	خواتین کا روایتی جاپانی لباس, لباس
👙	بکنی, لباس
👚	عورت, عورتوں کے کپڑے, لباس
👛	لباس, پرس, پیسہ
👜	بیگ, لباس, ہینڈ بیگ
👝	بیگ, لباس
🎒	اسکول, اسکول کا بستہ, بیگ
👞	آدمی, جوتا, لباس, مرد کا جوتا
👟	جوتے, دوڑنے والا جوتا, لباس
🥾	بوٹ, بیک پیکنگ, کیمپنگ, ہائکنگ, ہائکنگ بوٹ
🥿	آسانی سے پہنا جا سکنے والا, بیلے فلیٹ, سلیپر, ہموار جوتا
👠	اونچی ایڑی, اونچی ایڑی والا جوتا, جوتا, عورت, لباس
👡	جوتا, سینڈل, عورت, عورت کی سینڈل, لباس
👢	بوٹ, جوتا, عورت, عورت کا بوٹ, لباس
👑	بادشاہ, تاج, لباس, ملکہ
👒	عورت, عورت کا ہیٹ, لباس, ہیٹ
🎩	اوپری ٹوپ, لباس, ٹاپ ہیٹ
🧢	بلڈ کیپ, بیس بال ٹوپی
📿	تسبیح کے دانے, لباس, مذہب
💄	لپ اسٹک, میک اپ
💍	انگوٹھی, رومانس, ہیرا
💎	رومانس, قیمتی پتھر, ہیرا
🐵	بندر, بندر کا چہرہ, جانور
🐒	بندر, جانور
🦍	جانور, گوریلا
🐶	جانور, چہرہ, کتا, کتے کا چہرہ
🐩	جانور, پوڈل
🐺	بھیڑیا, بھیڑیے کا چہرہ, جانور
🦊	جانور, لومڑی, لومڑی کا چہرہ, چہرہ
🦝	راکون, متجسس, مکار
🐱	بلی, بلی کا چہرہ, جانور, پالتو
🦁	اسد, ببر شیر کا چہرہ, ببرشیر, جانور, شیر کا چہرہ
🐯	جانور, ٹائیگر, ٹائیگر کا چہرہ
🐅	جانور, ٹائیگر
🐆	تیندوا, جانور
🐴	جانور, گھوڑا, گھوڑے کا چہرہ
🐎	جانور, گھوڑا
🦄	جانور, چہرہ, یونیکارن, یونیکارن کا چہرہ
🦓	دھاری, زیبرا
🦌	جانور, ہرن
🐮	جانور, گائے, گائے کا چہرہ
🐂	بیل, جانور
🐃	بھینس, جانور, پانی کی بھینس
🐄	جانور, گائے
🐷	جانور, سور, سور کا چہرہ
🐖	جانور, سور
🐗	جانور, جنگلی سور, سوؤر
🐽	سور, سور کی ناک, ناک, چہرہ
🐏	بھیڑ, جانور, نر بھیڑ
🐑	جانور, مادہ بھیڑ
🐐	برج, بکری, جانور, جدی
🐪	اونٹ, جانور, کوہان
🐫	اونٹ, جانور, دو کوہانوں والا اونٹ, کوہان
🦙	الپاکا, اون, لاما, ویکونیا, گوآناکو
🦒	دھبے, زرافہ
🐘	جانور, ہاتھی
🦏	جانور, گینڈا
🦛	دریائی گھوڑا
🐭	جانور, چوہا, چوہے کا چہرہ, چہرہ
🐁	جانور, سفید چوہا, چوہا
🐀	جانور, چوہا
🐹	جانور, چہرہ, ہیمسٹر, ہیمسٹر کا چہرہ
🐰	جانور, خرگوش, خرگوش کا چہرہ, چہرہ
🐇	جانور, خرگوش
🦔	خار پشت, خاردار
🦇	جانور, چمگادڑ
🐻	جانور, ریچھ, ریچھ کا چہرہ
🐨	جانور, ریچھ, کوآلا
🐼	جانور, پانڈا, پانڈا کا چہرہ
🦘	آسٹریلیا, مارسوپئیل, ننھا کینگرو, چھلانگ, کینگرو
🦡	افریقی بجو, بجو, پریشان کرنا
🐾	جانور, نشان, پنجوں کے نشانات, پنجے
🦃	جانور, ٹرکی
🐔	جانور, چکن
🐓	جانور, مرغ, مرغی
🐣	انڈے سے نکلتا چوزہ, بچہ, جانور, چوزہ
🐤	بببی چوزہ, بچہ, جانور, چوزہ
🐥	بچہ, جانور, سامنے دیکھتا بیبی چوزہ, چوزہ
🐧	پنگوئن
🦅	عقاب, پرندہ
🦆	بطخ, پرندہ
🦢	بدصورت بط بچہ, جوان ہنس, راج ہنس, پرندہ
🦉	الو, عقلمند, پرندہ
🦚	مغرور, مور, مورنی, نمائشی, پرندہ
🦜	طوطا, قزاق, پرندہ, گفتگو
🐸	مینڈک, مینڈک کا چہرہ, چہرہ
🐊	جانور, مگرمچھ
🐢	جانور, کچھوا
🦎	جانور, رینگنا, چھپکلی
🐍	جانور, سانپ
🐲	جانور, چہرہ, ڈریگن, ڈریگن کا چہرہ
🐉	جانور, ڈریگن
🦕	جسیم سبزی خور ڈائنوساروں کا ایک طبقہ, سارپا
🦖	ٹائرانوسرس ریکس, ٹی ریکس
🐳	جانور, وہیل, پانی کا فوارہ نکالتی وہیل
🐋	جانور, وہیل
🐬	جانور, ڈولفن
🐠	مچھلی, ٹراپکل, ٹراپکل مچھلی
🐡	بلو مچھلی, مچھلی
🦈	شارک, مچھلی
🐙	آکٹوپس, جانور
🐚	جانور, شیل, مرغولے دار شیل
🦀	جانور, کیکڑا
🦞	سمندری غذا, لوبسٹر, پنجے, گاڑھا سوپ
🦐	جھینگا, خوراک
🦑	خوراک, قیر ماہی
🐌	جانور, گھونگھا
🦋	تتلی, خوبصورت, کیڑہ
🐛	کن کھجورا, کیڑا
🐜	چیونٹی
🐝	شہد, شہد کی مکھی, مکھی
🐞	کھٹمل, کیڑا
🦗	ٹڈا, گرگٹ
🦂	بچھو, جانور
🦟	بخار, بیماری, ملیریا, مچھر, وائرس, کیڑا
🦠	امیبا, بیکٹیریا, جرثومہ, وائرس
💐	پودہ, پھول, گلدستہ
🌸	بلاسم, پودہ, پھول, چیری, چیری بلاسم
💮	سفید پھول, پھول
🌹	پودا, پھول, گلاب
🥀	مرجھایا, مرجھایا ہوا پھول, پھول
🌺	پودا, پھول, گل خطمی
🌻	سورج, سورج مکھی کا پھول, پودا, پھول
🌼	شگوفہ, پودا, پھول
🌷	نرگس کا پھول, پودا, پھول
🌱	ننھا, ننھا پودا, پودا
🌲	درخت, سدا بہار, پودا
🌳	درخت, پت جھڑ, پت جھڑ درخت, پودا
🌴	درخت, پام, پام کا درخت, پودا
🌵	پودا, کیکٹس
🌾	پودا, چاول, چاولوں کا گٹھا
🌿	جڑی بوٹی, پتا, پودا
🍀	پتا, پودا, چار, چار پتیوں والی گھاس
🍁	میپل, میپل کے پتے, پودا, گرنا
🍂	پتا, پودا, گرنا, گرے ہوئے پتے
🍃	پتا, پودا, ہوا, ہوا میں پھڑپھڑاتے پتے
🍇	انگور, پھل
🍈	خربوزہ, پھل
🍉	تربوز, پھل
🍊	سنترہ, پھل, چھوٹا سنگترہ
🍋	لیموں, پھل
🍌	پھل, کیلا
🍍	انناس, پھل
🥭	آم, ٹروپیکل, پھل
🍎	سرخ, سرخ سیب, سیب, پھل
🍏	سبز, سبز سیب, سیب, پھل
🍐	ناشپاتی, پھل
🍑	آڑو, پھل
🍒	پھل, چیریاں
🍓	اسٹابری, پھل
🥝	خوراک, پھل, کیوی, کیوی فروٹ
🍅	ٹماٹر, پھل
🥥	ناریل, پینا کولاڈا, کھجور
🥑	ایوو کیڈو, خوراک, پھل
🍆	بینگن, سبزی
🥔	آلو, خوراک, سبزی
🥕	خوراک, سبزی, گاجر
🌽	پودا, چھلی
🥒	خوراک, سبزی, سلاد, کھیرا
🥬	بند گوبھی, سلاد پتہ, چینی بند گوبھی, ہرے پتوں والی سبزی
🥦	جنگلی گوبھی, شاخ گوبھی
🍄	پودا, کھمبی
🥜	خوراک, سبزی, مونگ پھلی
🌰	شاہ بلوط, شاہ بلوط کا پھل, پودا
🍞	بریڈ, روٹی, نان, ڈبل روٹی
🥐	خوراک, روٹی, فرنچ, ہلال نما, ہلال نما روٹی
🥖	بریڈ, بیگٹ, بیگٹ ڈبل روٹی, خوراک, فرنچ, ڈبل روٹی
🥨	موڑی ہوئی, گانٹھ کی شکل کی بسکٹ
🥯	بیکری, بیگل, شمئیر
🥞	خوراک, پین کیک, پین کیکس
🧀	ٹکڑا, پنیر, پنیر کا ٹکڑا
🍖	اسنیک, گوشت, ہڈی, ہڈی پر گوشت
🍗	اسنیک, ٹانگ, چکن, چکن کی ٹانگ
🥩	سوّر کا گوشت, چاپ, گوشت کا ٹکڑا
🥓	خوراک, سور, سور کا نمکین گوشت, نمکین, گوشت
🍔	اسنیک, برگر, ہیم برگر
🍟	اسنیک, فرائز, فرنچ, فرنچ فرائز
🍕	اسنیک, ٹکڑا, پزا, پنیر
🌭	اسنیک, بریڈ, ہاٹ ڈاگ
🥪	سینڈوچ, ڈبل روٹی
🌮	اسنیک, مسالہ, مسالے بھرا پراٹھا, میکسیکن, پراٹھا
🌯	اسنیک, بریٹو, مسالہ, میکسیکن
🥙	بھری ہوئی, بھری ہوئی چپاتی, خوراک, چپاتی, کباب
🥚	انڈا, خوراک
🍳	انڈا, پکتا ہوا انڈہ, پین
🥘	خوراک, پین, کم گہرا, کم گہرے پین میں خوراک
🍲	برتن, خوراک, خوراک کا برتن
🥣	اناج, دلیہ, ناشتہ, چمچ اور کٹورا
🥗	خوراک, سبز, سبز سلاد, سلاد
🍿	اسنیک, پاپ کارن
🧂	مصالحہ, نمک, نمک دانی
🥫	ڈبہ, ڈبہ بند کھانا
🍱	بنٹو, بنٹو باکس, ڈبہ
🍘	پاپڑ, چاول, چاولوں کے پاپڑ
🍙	جاپانی, چاول, چاولوں کے بالز, گیند
🍚	پکے ہوئے, پکے ہوئے چاول, چاول
🍛	شوربہ, شوربے والے چاول, چاول
🍜	بھاپ نکالتا پیالہ, نوڈل, پیالہ
🍝	اسپیگٹی, کھانا
🍠	آلو, بُھنا ہوا, بُھنا ہوا میٹھا آلو, میٹھا
🍢	اوڈن, سمندری کھانا, سٹک, کباب
🍣	جاپانی, سوشی, کھانا
🍤	تلا ہوا, تلا ہوا شرمپ, شرمپ
🍥	بگولا بنا مچھلی کا کیک, مچھلی, پیسٹری, کیک
🥮	تہوار, خزاں, چاند نما کیک
🍡	جاپانی, سٹک, میٹھا, ڈینگو
🥟	پاٹ سٹیکر, پکوڑی
🥠	قسمت والا بسکٹ, پروفیسی
🥡	صدف کی بالٹی, پارسل کا ڈبہ
🍦	برف, سافٹ آئس کریم, میٹھی, نرم, کریم
🍧	برف, تراشی ہوئی, تراشیدہ برف, میٹھی
🍨	آئس کریم, برف, میٹھی, کریم
🍩	میٹھا, ڈونٹ
🍪	میٹھا, کوکی
🎂	جشن, سالگرہ کا کیک, میٹھا, پیسٹری, کیک
🍰	میٹھا, ٹکڑا, پیسٹری, کیک, کیک کا ٹکڑا
🧁	بیکری, میٹھا, کپ کیک
🥧	بھرنا, پائي, پیسری
🍫	بار, میٹھی, چاکلیٹ, چاکلیٹ بار
🍬	میٹھی, کینڈی
🍭	لالی پاپ, میٹھی, کینڈی
🍮	میٹھا, کسٹرڈ
🍯	برتن, شہد, شہد کا برتن, میٹھا
🍼	بوتل, بچہ, دودھ, فیڈر
🥛	دودھ, دودھ کا گلاس, مشروب, گلاس
🍵	ٹی کپ, چائے, کپ, ہینڈل کے بغیر چائے کا کپ
🍶	بار, بوتل, جاپانی شراب, شراب, پینا
🍾	بار, بوتل, پینا, کارک, کارک لگی بوتل
🍷	بار, شراب, شراب کا گلاس, پینا, گلاس
🍹	بار, ٹراپکل, ٹراپکل مشروب, پینا
🍺	بار, بیئر کا مگ, شراب, مگ
🍻	بار, شراب, مگ, ٹکراتے بیئر کے مگ
🥂	آپس میں ٹکراتے گلاس, خوشی منانا, مشروب, ٹکرانا, گلاس
🥃	شراب, وہسکی, وہسکی والا گلاس, گلاس
🥤	جوس, سوڈا, کپ اور اسٹرا
🥢	چینی کانٹا
🍴	چھری, کانٹا, کانٹا اور چھری
🥄	چمچ, کھانے کی میز
🔪	آلہ, چھری, کُکنگ, کچن کی چھری
🏺	اوزار, ایمفورا, بُرج دِلو, جگ, پانی, ہتھیار
🌍	افریقہ, دنیا, زمین, گلوب, یورپ اور افریقہ کو دکھاتا گلوب
🌏	آسٹریلیا, ایشیا, ایشیا اور آسٹریلیا کو دکھاتا گلوب, زمین, گلوب
🌐	دنیا, زمین, طول البلد, طول البلد کو دکھاتا گلوب, گلوب
🗾	جاپان, جاپان کا نقشہ, نقشہ
🧭	قُطب نُما, مقناطیسی, نقشے کی مدد سے راستہ تلاش کرنا, نیویگیشن
🌋	آتش فشاں, آگ, موسم, پھٹنا, پہاڑ
🗻	فیوجی, ماؤنٹ فیوجی, پہاڑ
🧱	اینٹ, اینٹیں, تعمیراتی مادہ, دیوار, گارا
🏡	باغ, باغ والا گھر, عمارت, گھر
🏢	آفس کی عمارت, عمارت
🏣	جاپانی, جاپانی پوسٹ آفس, عمارت, پوسٹ
🏤	عمارت, پوسٹ, پوسٹ آفس
🏥	اسپتال, دوائی, عمارت, ڈاکٹر
🏦	بینک, عمارت
🏨	عمارت, ہوٹل
🏩	عمارت, محبت, محبت کا ہوٹل, ہوٹل
🏪	اسٹور, سہولت بخش اسٹور, عمارت
🏫	اسکول, عمارت
🏬	اسٹور, عمارت, ڈپارٹمنٹ, ڈپارٹمنٹ اسٹور
🏯	جاپانی, جاپانی قلعہ, عمارت, قلعہ
🏰	عمارت, قلعہ
💒	شادی, عمارت, گرجہ
🗼	ٹاور, ٹوکیو, ٹوکیو ٹاور
🗽	آزادی, مجسمہ, مجسمہ آزادی
🕌	عبادت, عمارت, مسجد, مسلمان
🕍	عبادت گاہ, یہودی, یہودیوں کی عبادت گاہ
🕋	عبادت, عمارت, مسلمان, مکہ, کعبہ
🌁	دھند, موسم, کُہر آلود
🌃	رات, ستاروں بھری رات, ستارے, موسم
🌄	سورج, طلوع, موسم, پہاڑ, پہاڑوں پر طلوع آفتاب
🌅	سورج, صبح, طلوع آفتاب, موسم
🌆	سورج, شام, شام کے وقت اونچی عمارتیں, عمارت, موسم
🌇	سورج, عمارت, غروب, غروبِ آفتاب, موسم
🌉	رات, رات کے وقت پُل, موسم, پل
🌌	خلا, کہکشاں
🎠	جھولا, گھومتے جھولے کا گھوڑا, گھومنا, گھوڑا
🎡	آسمانی جھولا, جھولا, پارک, پہیہ
🎢	رولر, رولر کوسٹر, پارک, کوسٹر
💈	حجام, حجام کا پول, پول
🎪	سرکس, سرکس کا ٹینٹ, ٹینٹ
🚂	انجن, بھاپ, ریل, ریل کا انجن
🚃	بجلی, ریل گاڑی, پٹری, گاڑی
🚄	تیز رفتار ٹرین, رفتار, ریل, پٹری
🚅	بلٹ, بلٹ کے ناک والی تیز رفتار ٹرین, رفتار, ٹرین
🚆	سواری, ٹرین
🚈	ریلوے, سواری, لائٹ ریل
