🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
👩🏾‍🏫	استانی, استانی: جلد کی درمیانی سیاہ رنگت, اسکول, جلد کی درمیانی سیاہ رنگت, پروفیسر
👩🏿‍🏫	استانی, استانی: جلد کی سیاہ رنگت, اسکول, جلد کی سیاہ رنگت, پروفیسر
👨🏻‍⚖	انصاف, جلد کی ہلکی رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی ہلکی رنگت, کورٹ
👨🏼‍⚖	انصاف, جلد کی درمیانی -ہلکی رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی درمیانی -ہلکی رنگت, کورٹ
👨🏽‍⚖	انصاف, جلد کی درمیانی رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی درمیانی رنگت, کورٹ
👨🏾‍⚖	انصاف, جلد کی درمیانی سیاہ رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی درمیانی سیاہ رنگت, کورٹ
👨🏿‍⚖	انصاف, جلد کی سیاہ رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی سیاہ رنگت, کورٹ
👩🏻‍⚖	انصاف, جلد کی ہلکی رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی ہلکی رنگت, کورٹ
👩🏼‍⚖	انصاف, جلد کی درمیانی -ہلکی رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی درمیانی -ہلکی رنگت, کورٹ
👩🏽‍⚖	انصاف, جلد کی درمیانی رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی درمیانی رنگت, کورٹ
👩🏾‍⚖	انصاف, جلد کی درمیانی سیاہ رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی درمیانی سیاہ رنگت, کورٹ
👩🏿‍⚖	انصاف, جلد کی سیاہ رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی سیاہ رنگت, کورٹ
👨🏻‍🌾	باغبان, جلد کی ہلکی رنگت, مرد, مرد کاشت کار, مرد کاشت کار: جلد کی ہلکی رنگت, کاشت کار, کسان
👨🏼‍🌾	باغبان, جلد کی درمیانی -ہلکی رنگت, مرد, مرد کاشت کار, مرد کاشت کار: جلد کی درمیانی -ہلکی رنگت, کاشت کار, کسان
👨🏽‍🌾	باغبان, جلد کی درمیانی رنگت, مرد, مرد کاشت کار, مرد کاشت کار: جلد کی درمیانی رنگت, کاشت کار, کسان
