👨🏾‍💼	hudtype 5, kontor, mann, mannlig kontorarbeider, mannlig kontorarbeider: hudtype 5, næringsliv
👨🏿‍💼	hudtype 6, kontor, mann, mannlig kontorarbeider, mannlig kontorarbeider: hudtype 6, næringsliv
👩🏻‍💼	hudtype 1–2, kontor, kvinne, kvinnelig kontorarbeider, kvinnelig kontorarbeider: hudtype 1–2, næringsliv
👩🏼‍💼	hudtype 3, kontor, kvinne, kvinnelig kontorarbeider, kvinnelig kontorarbeider: hudtype 3, næringsliv
👩🏽‍💼	hudtype 4, kontor, kvinne, kvinnelig kontorarbeider, kvinnelig kontorarbeider: hudtype 4, næringsliv
👩🏾‍💼	hudtype 5, kontor, kvinne, kvinnelig kontorarbeider, kvinnelig kontorarbeider: hudtype 5, næringsliv
👩🏿‍💼	hudtype 6, kontor, kvinne, kvinnelig kontorarbeider, kvinnelig kontorarbeider: hudtype 6, næringsliv
👨🏻‍🔬	hudtype 1–2, kjemi, laboratorium, mann, mannlig forsker, mannlig forsker: hudtype 1–2, vitenskap
👨🏼‍🔬	hudtype 3, kjemi, laboratorium, mann, mannlig forsker, mannlig forsker: hudtype 3, vitenskap
👨🏽‍🔬	hudtype 4, kjemi, laboratorium, mann, mannlig forsker, mannlig forsker: hudtype 4, vitenskap
👨🏾‍🔬	hudtype 5, kjemi, laboratorium, mann, mannlig forsker, mannlig forsker: hudtype 5, vitenskap
👨🏿‍🔬	hudtype 6, kjemi, laboratorium, mann, mannlig forsker, mannlig forsker: hudtype 6, vitenskap
👩🏻‍🔬	hudtype 1–2, kjemi, kvinne, kvinnelig forsker, kvinnelig forsker: hudtype 1–2, laboratorium, vitenskap
👩🏼‍🔬	hudtype 3, kjemi, kvinne, kvinnelig forsker, kvinnelig forsker: hudtype 3, laboratorium, vitenskap
👩🏽‍🔬	hudtype 4, kjemi, kvinne, kvinnelig forsker, kvinnelig forsker: hudtype 4, laboratorium, vitenskap
👩🏾‍🔬	hudtype 5, kjemi, kvinne, kvinnelig forsker, kvinnelig forsker: hudtype 5, laboratorium, vitenskap
